variable,label,type,value_labels,n_value_labels,n_2017,n_2020,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,26500,23250,,,,
year,Survey year,int16,,0,26500,23250,,,,
wave,Wave (survey year),string,,0,49750,49750,,,,
sample,CS = national sample of agricultural households,string,,0,26500,23250,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,26500,23250,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,26500,23250,,,,
cluster,Sampling segment / cluster (as shipped),string,,0,26500,23250,,,,
hhid,Household id (unique within wave),double,,0,26500,23250,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,26500,23250,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,26500,23250,,,,
s0q3,0.3 Stratum,int8,"11=Intensive cropland on hillsides, 20=Intensive cropland in marshlands, 30=Rangelands, 40=Household/ Village stratum, 41=41 Strate Village …",7,26500,0,,,,
s0q4,0.4 Segment,int8,,0,26500,0,,,,
s11q1,11.1 Animal category,int8,"1=For Cows, 2=For All other animals, 9=NA",3,22129,0,,,,
s11q2,11.2 Amount spent on rent for land grazing,int32,,0,14515,0,,,,
s11q3,11.3 Amount spent on purchasing fodder crop,int32,,0,14515,0,,,,
s11q4,11.4 Amount spent on purchasing feed,int32,,0,14515,0,,,,
s11q5,11.5 Amount spent on purchasing salt and minerals,int32,,0,14515,0,,,,
s11q6,11.6 Amount spent on purchasing artificial insemination,int32,,0,14515,0,,,,
s11q7,"11.7 Amount spent on purchasing vaccines,dips,sprays and medecine",int32,,0,14515,0,,,,
s11q8,11.8 Amount spent on purchasing veterinary services,int32,,0,14515,0,,,,
s11q9,"11.9 Amount spent on purchasing repairs of fencing, sheds",int32,,0,14515,0,,,,
s11q10,"11.10 Amount spent on purchasing new fences, sheds",int32,,0,14515,0,,,,
s11q11,"11.11 Amount spent on purchasing Pesticides used to protect animal from insects,",int32,,0,14515,0,,,,
s11q12,11.12 Amount spent on farm maintenance activities,int32,,0,14515,0,,,,
s11q13,11.13 Amount spent on purchasing payment of Shepherds,int32,,0,14515,0,,,,
s11q14,11.14 purchasing Other expenditures,int32,,0,14511,0,,,,
s0q7,0.7 Household number,int32,,0,0,23250,,,,
s0q9,0.9 Marital status of Household Head,int8,"1=Single, 2=Married with certificate, 3=Married monogamously without certificate, 4=Married Polygamous, 5=Widowed …",7,0,18724,,,,
s0q10,0.10 Ubudehe category the household belongs in,int8,"1=Category 1, 2=Category 2, 3=Category 3, 4=Category 4, 5=Unclassified",5,0,18724,,,,
s0q12,0.12 Is the respondent the Household head,int8,"1=Yes, 2=No",2,0,23250,,,,
s0q15,0.15 Relationship of respondent to the Household head,int8,"1=Spouse, 2=Child, 3=Relative, 4=Parent, 5=Housekeeper/Manager …",6,0,7965,,,,
s0q16_1,0.16.1 Agricultural activity of the Household,int8,"1=Cropping, 2=Livestock, 3=Aquaculture/Pisciculture, 4=Forestry, 5=Apiculture …",7,0,23250,,,,
s0q16_2,0.16.2 Agricultural activity of the Household,int8,"1=Cropping, 2=Livestock, 3=Aquaculture/Pisciculture, 4=Forestry, 5=Apiculture …",7,0,15510,,,,
s0q16_3,0.16.3 Agricultural activity of the Household,int8,"1=Cropping, 2=Livestock, 3=Aquaculture/Pisciculture, 4=Forestry, 5=Apiculture …",7,0,2874,,,,
s0q16_4,0.16.4 Agricultural activity of the Household,int8,"1=Cropping, 2=Livestock, 3=Aquaculture/Pisciculture, 4=Forestry, 5=Apiculture …",7,0,206,,,,
s0q17,0.17 Agriculture is the main livelihood activity of your household,int8,"1=Yes, 2=No",2,0,18724,,,,
s0q18,0.18 The other non-agricultural activity supporting your household,int8,"1=Daily Labour, 2=Fishing, Hunting, Gathering, 3=Skilled labor, 4=Purchase and Sale of agricultural products, 5=Purchase and sale of livestock …",16,0,18724,,,,
s5q2,5.2 Animal reared in last 12 months,int8,"1=Exotic cattle, 2=Cross cattle, 3=Local cattle, 4=Exotic goats, 5=Cross goats …",22,0,20464,,,,
s5q2_o,5.2 Other animal reared in last 12 months,string,,0,26500,23250,,,,
s5q3,5.3. Number of animals reared now,int32,,0,0,20464,,,,
s9q2,9.2 Amount spent on rent for land grazing/kraal/renting animal shelter,int32,,0,0,20440,,,,
s9q3,9.3 Amount spent on purchasing fodder crop,int32,,0,0,19057,,,,
s9q4,9.4 Amount spent on purchasing feeds/water,int32,,0,0,20440,,,,
s9q5,9.5 Amount spent on purchasing salt and minerals,int32,,0,0,19471,,,,
s9q6,9.6 Amount spent on purchasing artificial insemination,int32,,0,0,19471,,,,
s9q7,"9.7 Amount spent on purchasing vaccines, dips, sprays and medicine",int32,,0,0,20440,,,,
s9q8,9.8 Amount spent on purchasing veterinary services,int32,,0,0,20440,,,,
s9q9,9.9 Amount spent on setting new fences/sheds or repairs of fencing/sheds,int32,,0,0,20440,,,,
s9q10,9.10 Amount spent on farm maintenance activities,int32,,0,0,19471,,,,
s9q11,9.11 Amount spent on payment of shepherds,int32,,0,0,20440,,,,
s9q12,9.12 Other expenditures,int32,,0,0,20440,,,,
owner,owner,string,,0,26500,23250,,,,
