variable,label,type,value_labels,n_value_labels,n_2017,n_2020,n_2024,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,16057,10666,5224,,,,
year,Survey year,int16,,0,16057,10666,5224,,,,
wave,Wave (survey year),string,,0,31947,31947,31947,,,,
sample,CS = national sample of agricultural households,string,,0,16057,10666,5224,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,16057,10666,5224,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,16057,10666,5224,,,,
cluster,Sampling segment / cluster (as shipped),string,,0,16057,10666,5224,,,,
hhid,Household id (unique within wave),double,,0,16057,10666,5224,,,,
pid,Person number within the household,int8,,0,0,0,4164,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,16057,10666,5224,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,16057,10666,5224,,,,
s0q3,0.3 Stratum,int8,"11=Intensive cropland on hillsides, 20=Intensive cropland in marshlands, 30=Rangelands, 41=Urban area, 42=Rural settlement",5,16057,0,0,,,,
s0q4,0.4 Segment,int8,,0,16057,0,0,,,,
s4q1,4.1 Does any household member have any bank account?,int8,"1=Yes, 2=No",2,16057,10666,0,,,2017: 4.1 Does the member of your household have an acco,
s4q2,"4.2 During 2016-2017, did any member of the household request a loan?",int8,"1=Yes, 2=No",2,16057,0,0,,,,
s4q3,4.3 From which type of financial Institution was the loan 1 requested?,int8,"1=Commercial Bank, 2=Credit & Saving Cooperative, 3=Microfinance, 4=SACCO, 5=VUP financial services loan …",9,747,0,0,,,,
s4q4_v2,[2017..2017 version] 4.4 Was the requested loan 1 approved?,int8,"1=Yes from 75% and above, 2=Yes but less than 75%, 3=Rejected",3,747,0,0,,s4q4 (2020),,
s4q5_v2,[2017..2017 version] 4.5 If the agricultural loan 1 was requested but not app,int8,"1=Insufficient income, 2=Insufficient collateral, 3=Problems related to debts history, 4=Unclear purpose of the loan, 5=Other reasons",5,25,0,0,,s4q5 (2020),,
s4q6,4.6 From which type of financial Institution was the loan 2 requested?,int8,"0=NA, 1=Commercial Bank, 2=Credit & Saving Cooperative, 3=Microfinance, 4=SACCO …",10,38,0,0,,,,
s4q7,4.7 Was the requested loan 2 approved?,int8,"1=Yes from 75% and above, 2=Yes but less than 75%, 3=Rejected",3,38,0,0,,,,
s4q8_v2,[2017..2017 version] 4.8 If the agricultural loan 2 was requested but not app,int8,"1=Insufficient income, 2=Insufficient collateral, 3=Problems related to debts history, 4=Unclear purpose of the loan, 5=Other reasons",5,3,0,0,,s4q8 (2020),,
s4q9,4.9 From which type of financial Institution was the loan 3 requested?,int8,"0=NA, 1=Commercial Bank, 2=Credit & Saving Cooperative, 3=Microfinance, 4=SACCO …",10,4,0,0,,,,
s4q10,4.10 Was the requested loan 3 approved?,int8,"1=Yes from 75% and above, 2=Yes but less than 75%, 3=Rejected",3,4,0,0,,,,
s4q11_v2,[2017..2017 version] 4.11 If the agricultural loan 3 was requested but not ap,int8,"1=Insufficient income, 2=Insufficient collateral, 3=Problems related to debts history, 4=Unclear purpose of the loan, 5=Other reasons",5,4,0,0,,s4q11 (2020),,
s4q12_v2,[2017..2017 version] 4.12 Have you received any fund for grant for agricultur,int8,"1=Yes, 2=No",2,16057,0,0,,s4q12 (2020),,
s4q13_v2,[2017..2017 version] 4.13 What is the origin of that grant?,int8,"1=Government, 2=NGOs, 3=Friends and relatives, 4=Other",4,787,0,0,,s4q13 (2020),,
s0q7,0.7 Household number,int16,,0,0,10666,0,,,,
s0q9,0.9 Marital status of Household Head,int8,"1=Single, 2=Married with certificate, 3=Married monogamously without certificate, 4=Married Polygamous, 5=Widowed …",7,0,10666,0,,,,
s0q10,0.10 Which Ubudehe category does the household belong in,int8,"1=Category 1, 2=Category 2, 3=Category 3, 4=Category 4, 5=Unclassified",5,0,10666,0,,,,
s0q12,0.12 Is the respondent the Household head,int8,"1=Yes, 2=No",2,0,10666,0,,,,
s0q15,0.15 Relationship of respondent to the Household head,int8,"1=Spouse, 2=Child, 3=Brother&Sister, 4=Parent, 5=Housekeeper/Manager …",6,0,3717,0,,,,
s0q16_1,What is the agricultural activity of the Household?(activity1),int8,"1=Cropping, 2=Livestock, 3=Aquaculture, 4=Forestry, 5=Apiculture …",6,0,10666,0,,,,
s0q16_2,What is the agricultural activity of the Household?(activity2),int8,"1=Cropping, 2=Livestock, 3=Aquaculture, 4=Forestry, 5=Apiculture …",6,0,7766,0,,,,
s0q16_3,What is the agricultural activity of the Household?(activity3),int8,"1=Cropping, 2=Livestock, 3=Aquaculture, 4=Forestry, 5=Apiculture …",6,0,1124,0,,,,
s0q16_4,What is the agricultural activity of the Household?(activity4),int8,"1=Cropping, 2=Livestock, 3=Aquaculture, 4=Forestry, 5=Apiculture …",6,0,63,0,,,,
s0q17,0.17 Is agriculture the main livelihood activity of your household,int8,"1=Yes, 2=No",2,0,10666,0,,,,
s0q18,0.18 What is the other non-agricultural activity which  support your household,int8,"1=Daily Labour, 2=Fishing, Hunting, Gathering, 3=Skilled labor, 4=Purchase and Sale of agricultural products, 5=Purchase and sale of livestock …",16,0,10666,0,,,,
s4q2_1,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,6328,0,,,,
s4q2_2,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,2052,0,,,,
s4q2_3,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,329,0,,,,
s4q2_4,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,124,0,,,,
s4q2_5,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,54,0,,,,
s4q2_6,4.2 member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,18,0,,,,
s4q2_7,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,10,0,,,,
s4q2_8,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,3,0,,,,
s4q2_9,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,1,0,,,,
s4q3_1,4.3 What are main financial institution/s of bank holders(instutition1),int8,"1=Commercial bank, 2=Credit&saving cooperative, 3=Microfinance, 4=Other(specify)",4,0,6328,0,,,,
