variable,label,type,value_labels,n_value_labels,n_2020,n_2024,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,39776,19077,,,,
year,Survey year,int16,,0,39776,19077,,,,
wave,Wave (survey year),string,,0,0,0,,,,
sample,CS = national sample of agricultural households,string,,0,39776,19077,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,39776,18916,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,39776,18916,,,,
cluster,Sampling segment / cluster (as shipped),string,,0,39776,19077,,,,
hhid,Household id (unique within wave),int32,,0,39776,19077,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,39776,19077,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,39776,19077,,,,
s0q7,0.7 Household number,int32,,0,39776,0,,,,
s0q9,0.9 Marital status of Household Head,int8,"1=Single, 2=Married with certificate, 3=Married monogamously without certificate, 4=Married Polygamous, 5=Widowed …",7,33010,0,,,,
s0q10,0.10 Which Ubudehe category does the household belong in,int8,"1=Category 1, 2=Category 2, 3=Category 3, 4=Category 4, 5=Unclassified",5,33010,0,,,,
s0q12,0.12 Is the respondent the Household head,int8,"1=Yes, 2=No",2,33010,0,,,,
s0q15,0.15 Relationship of respondent to the Household head,int8,"1=Spouse, 2=Child, 3=Relative, 4=Parent, 5=Housekeeper/Manager …",6,12369,0,,,,
s0q16_1,What is the agricultural activity of the Household?(activity1),int8,"1=Cropping, 2=Livestock, 3=Aquaculture, 4=Forestry, 5=Apiculture …",6,33010,0,,,,
s0q16_2,What is the agricultural activity of the Household?(activity2),int8,"1=Cropping, 2=Livestock, 3=Aquaculture, 4=Forestry, 5=Apiculture …",6,28401,0,,,,
s0q16_3,What is the agricultural activity of the Household?(activity3),int8,"1=Cropping, 2=Livestock, 3=Aquaculture, 4=Forestry, 5=Apiculture …",6,5240,0,,,,
s0q16_4,What is the agricultural activity of the Household?(activity4),int8,"1=Cropping, 2=Livestock, 3=Aquaculture, 4=Forestry, 5=Apiculture …",6,437,0,,,,
s0q17,0.17 Is agriculture the main livelihood activity of your household,int8,"1=Yes, 2=No",2,33010,0,,,,
s0q18,0.18 What is the other non-agricultural activity which  support your household,int8,"1=Daily Labour, 2=Fishing, Hunting, Gathering, 3=Skilled labor, 4=Purchase and Sale of agricultural products, 5=Purchase and sale of livestock …",16,33010,0,,,,
s1q1,1.1 Total number of household members,int8,,0,33010,0,,,,
s1q4,1.4 What is the household member?s relationship with the household Head?,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,33010,0,,,,
s1q5,1.5 What is the sex of household member?,int8,"1=Male, 2=Female",2,33010,0,,,,
s1q6,1.6 What is the age of household member?,int16,,0,33010,0,,,,
s1q7,1.7 What is the highest level of education attained by the household member?,int8,"1=Some/Still Primary, 2=Completed Primary, 3=Vocational School, 4=some/still secondary, 5=Completed Secondary …",9,33010,0,,,,
s1q8,1.8 What is the main economic activity of hh member,int8,"1=Self-employed in agriculture, 2=Paid daily labor in agriculture, 3=Contribute in household  agriculture activities, 4=Daily labor not in agriculture, 5=Purchase and Sale of agricultural products …",13,33010,0,,,,
s1q9,1.9 Have you been engaged in agricultural activities during last 2019/2020 agric,int8,"1=Yes, 2=No",2,33010,0,,,,
s1q10,s1q10 Has...been/engaged in any of the following agribusiness activities during,int8,"1=Market oriented farming, 2=Agricultural production processing, 3=Import of agricultural products, 4=Export of agricultural products, 5=Supply of agricultural inputs …",6,33010,0,,,,
s7q2_1,7.2.1 Did your household produce eggs during last 12 months?,int8,"1=Yes, 2=No",2,30614,0,,,,
s7q2_2,7.2.2 Month,int8,"1=Month 1, 2=Month 2, 3=Month 3, 4=Month 4, 5=Month 5 …",12,29325,0,,,,
s7q2_3,7.2.3 Number of eggs produced in that month,int32,,0,29320,0,,,,
s7q2_4,7.2.4 Number of eggs consumed in that month,int16,,0,9292,0,,,,
s7q2_5,7.2.5 Number of eggs sold in that month,int32,,0,9288,0,,,,
s7q2_6,7.2.6 Price per egg (price for last sold eggs),int16,,0,5262,0,,,,
s7q2_7,7.2.7 Quantity used in any other way,int32,,0,9278,0,,,,
total_egg,,int32,,0,39776,0,,,,
s11q2_1,11.2.1 did your household produce eggs during the last 6 months,int8,"1=Yes, 2=No",2,0,19037,,,,
s11q2_2,11.2.2 Month,int8,"1=Feb-24, 2=Jan-24, 3=Dec-23, 4=Nov-23, 5=Oct-23 …",12,0,11382,,,,
s11q2_0,Yield,int8,"1=Yes, 2=No",2,0,11382,,,,
s11q2_3,11.2.3 Number of laying hen in the month of ?,int8,,0,0,3382,,,,
s11q2_4,11.2.4 Number of eggs produced in the month of ?,int32,,0,0,5468,,,,
s11q2_5,11.2.5 Number of eggs consumed at home in the month of,int16,,0,0,5468,,,,
s11q2_6,11.2.6 Number of eggs sold in the month of ?,int32,,0,0,5468,,,,
s11q2_7,11.2.7 Price per egg (price for last sold eggs),int16,,0,0,3651,,,,
s11q2_8,11.2.8 Quantity used in hatching in the month of?,int8,,0,0,3382,,,,
s11q2_9,11.2.9 Quantity used in any other way in the month of?,int32,,0,0,5468,,,,
owner,owner,string,,0,39776,19077,,,,
_merge,Matching result from merge,int8,"1=Master only (1), 2=Using only (2), 3=Matched (3), 4=Missing updated (4), 5=Nonmissing conflict (5)",5,0,19077,,,,
