variable,label,type,value_labels,n_value_labels,n_2017,n_2024,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,64228,9286,,,,
year,Survey year,int16,,0,64228,9286,,,,
wave,Wave (survey year),string,,0,73514,73514,,,,
sample,CS = national sample of agricultural households,string,,0,64228,9286,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,64228,9286,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,64228,9286,,,,
cluster,Sampling segment / cluster (as shipped),string,,0,64228,9286,,,,
hhid,Household id (unique within wave),double,,0,64228,9286,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,64228,9286,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,64228,9286,,,,
s0q3,0.3 Stratum,int8,"11=Intensive cropland on hillsides, 20=Intensive cropland in marshlands, 30=Rangelands, 41=Urban area, 42=Rural settlement",5,64228,0,,,,
s0q4,0.4 Segment,int8,,0,64228,0,,,,
s3q1,3.1 Has any member of this household benefited from any extension service during,int8,"1=Yes, 2=No",2,64228,0,,,,
s3q2,3.2 What type of extension service provided?,int8,"1=Cropping, 2=Livestock, 3=Both cropping and livestock, 4=Not benefited",4,64228,0,,,,
s3q3_a,Type of cropping service received,int8,"1=Cropping system, 2=Fertilizers application, 3=Crop protection, 4=Post harvest handling and storage, 5=Mechanization …",12,10764,0,,,,
s3q3_b,Cropping service provider,int8,"1=MINAGRI/RAB/NAEB, 2=District Employees, 3=Cell Employee, 4=Sector Employees, 5=Research institutions …",8,10763,0,,,,
s3q4_a,Type of livestock service received,int8,"1=Animal keeping, 2=Animal feeding, 3=Veterinary services, 4=Sanitation, 5=Fodder storage …",8,1179,0,,,,
s3q4_b,Livestock service provider,int8,"1=MINAGRI/RAB/NAEB, 2=District Employees, 3=Cell Employee, 4=Sector Employees, 5=Research institutions …",8,1179,0,,,,
s3q5,3.5 HH member belong to ?Twigire muhinzi? group,int8,"1=Yes, 2=No",2,64228,0,,,,
s3q6,3.6 HH member benefited from contract farming during 2016-2017,int8,"1=Yes, 2=No",2,64228,0,,,,
s3q7,3.7 HH member reared at least one cow during 2016-2017,int8,"1=Yes, 2=No",2,64228,0,,,,
s3q8,3.8 Was there any  reared  cow received  from  GIRINKA program,int8,"1=Yes, 2=No",2,64228,0,,,,
s3q9,3.9 Was there any  reared  cow donated by  NGOs,int8,"1=Yes, 2=No",2,23628,0,,,,
s3q10,3.10 Was there any reared cow donated by friends during 2016-2017  Agricultural,int8,"1=Yes, 2=No",2,23628,0,,,,
s3q11,3.11 Was there any reared cow bought by any household member during 2016-2017 Ag,int8,"1=Yes, 2=No",2,23628,0,,,,
s3q12,3.12 Was there any reared cow that was neither bought nor donated but own raised,int8,"1=Yes, 2=No",2,25604,0,,,,
s3q13,3.13 Does any member of this household still have cow provided by GIRINKA Progra,int8,"1=Yes, 2=No",2,3940,0,,,,
s3q14,3.14 Why she/he doesn?t still have that cow?,int8,"1=Died, 2=Stolen, 3=Given to other due to lack of fodder and feeding means, 4=replaced, 5=bought …",6,344,0,,,,
s3q15,3.15 Does any child of your household benefit one cup of milk at school last ter,int8,"1=Yes, 2=No",2,64228,0,,,,
s3q16,3.16 Do you have a kitchen garden at your home ?,int8,"1=Yes, 2=No",2,64228,0,,,,
s6q1,Extension service code and name,int8,"1=Improved cropping practices (spacing, intercropping, crop rotation, ), 2=fertilizers application, 3=Irrigation system, 4=Post-harvest handling and storage, 5=Erosion control measures …",16,0,9286,,,,
s6q2,Household members who ever received extension/advisory services.,double,,0,0,8079,,,,
s6q3,Household members who received extension/advisory services in this season,double,,0,0,8079,,,,
s6q4,Source of extension/advisory services?,string,,0,64228,9286,,,,
s6q4_1,Source of extension services (1),int8,"1=Government officials (District, Sector, Cell, village officials), 2=Government extension workers (MINAGRI, NAEB, RAB.), 3=NGO/Companies, 4=Farmer Field School facilitator, 5=Farmer /Livestock promoters …",14,0,8079,,,,
s6q4_2,Source of extension services (2),int8,"1=Government officials (District, Sector, Cell, village officials), 2=Government extension workers (MINAGRI, NAEB, RAB.), 3=NGO/Companies, 4=Farmer Field School facilitator, 5=Farmer /Livestock promoters …",14,0,4646,,,,
s6q4_3,Source of extension services (3),int8,"1=Government officials (District, Sector, Cell, village officials), 2=Government extension workers (MINAGRI, NAEB, RAB.), 3=NGO/Companies, 4=Farmer Field School facilitator, 5=Farmer /Livestock promoters …",14,0,2644,,,,
s6q5,Does any household member belong to ?Twigire muhinzi/mworozi? group?,int8,"1=Yes, 2=No",2,0,9286,,,,
s6q5_a,Household member belong to ?Twigire muhinzi/mworozi? group?,int16,,0,0,709,,,,
s6q6,Does any household member belong to ?Farmer field school??,int8,"1=Yes, 2=No",2,0,9286,,,,
s6q6_a,Does any household member belong to ?Farmer field school??,int16,,0,0,661,,,,
s6q7,Is there any household member who benefited from contract farming in this s,int8,"1=Yes, 2=No",2,0,9286,,,,
s6q7_a,Is there any household member who benefited from contract farming in this s,int16,,0,0,322,,,,
s6q8,Is there any household member who took crop insurance in this season?,int8,"1=Yes, 2=No",2,0,9286,,,,
s6q8_a,Is there any household member who took crop insurance in this season?,int16,,0,0,312,,,,
s6q9,Is there any household member who took livestock insurance in this season?,int8,"1=Yes, 2=No",2,0,9286,,,,
s6q9_a,Is there any household member who took livestock insurance in this season?,int16,,0,0,334,,,,
s6q10, Does any member of this household belong to agricultural cooperatives/Asso,int8,"1=Yes, 2=No",2,0,9286,,,,
s6q10_a, Does any member of this household belong to agricultural cooperatives/Asso,int32,,0,0,1716,,,,
s6q11, Type of cooperative,int8,,0,0,1716,,,,
s6q12, What types of services do you get from these cooperative/or associations?,int16,,0,0,1716,,,,
s6q13, Do you have a kitchen garden at your home?,int8,"1=Yes, 2=No",2,0,9286,,,,
s6q14, Have you received any support/ fund for grant for agricultural purpose in,int8,"1=Yes, 2=No",2,0,9286,,,,
s6q15, What types of support/funds received?,int8,,0,0,686,,,,
s6q16, What is the origin of that support?,int8,,0,0,686,,,,
