variable,label,type,value_labels,n_value_labels,n_2020,n_2024,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,20046,9193,,,,
year,Survey year,int16,,0,20046,9193,,,,
wave,Wave (survey year),string,,0,0,0,,,,
sample,CS = national sample of agricultural households,string,,0,20046,9193,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,20046,9193,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,20046,9193,,,,
cluster,Sampling segment / cluster (as shipped),string,,0,20046,9193,,,,
hhid,Household id (unique within wave),int32,,0,20046,9193,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,20046,9193,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,20046,9193,,,,
s0q7,0.7 Household number,int16,,0,20046,0,,,,
s0q9,0.9 Marital status of Household Head,int8,"1=Single, 2=Married with certificate, 3=Married monogamously without certificate, 4=Married Polygamous, 5=Widowed …",7,20046,0,,,,
s0q10,0.10 Which Ubudehe category does the household belong in,int8,"1=Category 1, 2=Category 2, 3=Category 3, 4=Category 4, 5=Unclassified",5,20046,0,,,,
s0q12,0.12 Is the respondent the Household head,int8,"1=Yes, 2=No",2,20046,0,,,,
s0q15,0.15 Relationship of respondent to the Household head,int8,"1=Spouse, 2=Child, 3=Relative, 4=Parent, 5=Housekeeper/Manager …",6,6905,0,,,,
s0q16_1,0.16 What is the agricultural activity of the Household?(activity1),int8,"1=Cropping, 2=Livestock, 3=Aquaculture, 4=Forestry, 5=Apiculture …",6,20046,0,,,,
s0q16_2,0.16 What is the agricultural activity of the Household?(activity2),int8,"1=Cropping, 2=Livestock, 3=Aquaculture, 4=Forestry, 5=Apiculture …",6,15526,0,,,,
s0q16_3,0.16 What is the agricultural activity of the Household?(activity3),int8,"1=Cropping, 2=Livestock, 3=Aquaculture, 4=Forestry, 5=Apiculture …",6,2843,0,,,,
s0q16_4,0.16 What is the agricultural activity of the Household?(activity4),int8,"1=Cropping, 2=Livestock, 3=Aquaculture, 4=Forestry, 5=Apiculture …",6,193,0,,,,
s0q17,0.17 Is agriculture the main livelihood activity of your household,int8,"1=Yes, 2=No",2,20046,0,,,,
s0q18,0.18 What is the other non-agricultural activity which  support your household,int8,"1=Daily Labour, 2=Fishing, Hunting, Gathering, 3=Skilled labor, 4=Purchase and Sale of agricultural products, 5=Purchase and sale of livestock …",16,20046,0,,,,
s2q34,2.34 Does your household grow fruits?,int8,"1=Yes, 2=No",2,20046,0,,,,
s2q35,2.35 Fruit name,int8,"1=Tree tomato, 2=Pineapple, 3=Avocado, 4=Passion fruits, 5=Palm …",19,17187,0,,,,
s2q36,2.36 Total Number of Fruit trees owned by your household during,int16,,0,15801,0,,,,
s2q37,2.37 How many fruits trees harvested in last agricultural year,int16,,0,15801,0,,,,
s2q38,2.38 What was the total production from harvested fruits? (in kg),int32,,0,10863,0,,,,
s2q39,2.39 Percentage of fruits sold,int8,"1=Below Â½ of production, 2=Â½ of production, 3=above Â½ of production, 9=NA",4,10863,0,,,,
s2q40,2.40 Percentage of fruits consumed,int8,"1=Below Â½ of production, 2=Â½ of production, 3=above Â½ of production, 9=NA",4,10863,0,,,,
cluster_id,Cluster Number,int16,,0,0,9193,,,,
season,Season,int8,"1=Season A, 2=Season B, 3=Season C",3,0,9066,,,,
s5_q1,Did your household have fruits trees scattered in any of your plot during th,int8,"1=Yes, 2=No",2,0,9066,,,,
s5_q2,Fuits Name,int16,"101=Maize, 102=Paddy rice, 103=Sorghum, 104=Wheat, 105=Other cereal(specify) …",96,0,8425,,,,
s5_q3,Nber of fruits trees,int16,,0,0,8383,,,,
s5_q4,Nber of fruits trees to be harvested,int16,,0,0,8383,,,,
s5_q5,Total Production in Kg,int16,,0,0,6889,,,,
s5_q6,On the total production of this fruit what is the quantity that has been sol,int16,,0,0,6825,,,,
s5_q7,What was the selling price per kilogram? (Rwf/Kg),int16,,0,0,1305,,,,
s5_q8,what is the quantity that has been used/ to be used as household consumption,int16,,0,0,6825,,,,
s6_q9,what is the quantity that has been used /to be used in any other way?  (Kg),int16,,0,0,6825,,,,
