variable,label,type,value_labels,n_value_labels,n_2017,n_2020,n_2024,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,16067,13011,9387,,,,
year,Survey year,int16,,0,16067,13011,9387,,,,
wave,Wave (survey year),string,,0,0,0,0,,,,
sample,CS = national sample of agricultural households,string,,0,16067,13011,9387,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,16067,13011,9387,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,16067,13011,9387,,,,
cluster,Sampling segment / cluster (as shipped),string,,0,16067,13011,9387,,,,
hhid,Household id (unique within wave),double,,0,16067,13011,9387,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,16067,13011,9387,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,16067,13011,9387,,,,
s0q3,0.3 Stratum,int8,"11=Intensive cropland on hillsides, 20=Intensive cropland in marshlands, 30=Rangelands, 41=Urban area, 42=Rural settlement",5,16067,0,0,,,,
s0q4,0.4 Segment,int8,,0,16067,0,0,,,,
s10q3_1,10.3.1 Type of bee hive,int8,"1=Traditional hives, 2=Modern hives, 3=NA",3,215,0,0,,,,
s10q3_2,10.3.2 Number of bee hives hung during 12 months,int16,,0,214,0,0,,,,
s10q3_3,10.3.3 Quantity of honey Production during 12 months (Kg),double,,0,214,0,0,,,,
s10q3_4,10.3.4 Quantity of produced honey that has been consumed at home during 12 month,double,,0,214,0,0,,,,
s10q3_5,10.3.5 Sale In last 12 months-Qty,double,,0,214,0,0,,,,
s10q3_6,10.3.6 Sale In last 12 months-Sale price,int16,,0,95,0,0,,,,
s10q3_7,10.3.7 Honey stored at the end of August v2017,double,,0,214,0,0,,,,
s0q7,0.7 Household number,int32,,0,0,13011,0,,,,
s0q9,0.9 Marital status of Household Head,int8,"1=Single, 2=Married with certificate, 3=Married monogamously without certificate, 4=Married Polygamous, 5=Widowed …",7,0,10680,0,,,,
s0q10,0.10 Which Ubudehe category does the household belong in,int8,"1=Category 1, 2=Category 2, 3=Category 3, 4=Category 4, 5=Unclassified",5,0,10680,0,,,,
s0q12,0.12 Is the respondent the Household head,int8,"1=Yes, 2=No",2,0,10680,0,,,,
s0q15,0.15 Relationship of respondent to the Household head,int8,"1=Spouse, 2=Child, 3=Relative, 4=Parent, 5=Housekeeper/Manager …",6,0,3723,0,,,,
s0q16_1,What is the agricultural activity of the Household?(activity1),int8,"1=Cropping, 2=Livestock, 3=Aquaculture, 4=Forestry, 5=Apiculture …",6,0,10680,0,,,,
s0q16_2,What is the agricultural activity of the Household?(activity2),int8,"1=Cropping, 2=Livestock, 3=Aquaculture, 4=Forestry, 5=Apiculture …",6,0,7776,0,,,,
s0q16_3,What is the agricultural activity of the Household?(activity3),int8,"1=Cropping, 2=Livestock, 3=Aquaculture, 4=Forestry, 5=Apiculture …",6,0,1126,0,,,,
s0q16_4,What is the agricultural activity of the Household?(activity4),int8,"1=Cropping, 2=Livestock, 3=Aquaculture, 4=Forestry, 5=Apiculture …",6,0,63,0,,,,
s0q17,0.17 Is agriculture the main livelihood activity of your household,int8,"1=Yes, 2=No",2,0,10680,0,,,,
s0q18,0.18 What is the other non-agricultural activity which  support your household,int8,"1=Daily Labour, 2=Fishing, Hunting, Gathering, 3=Skilled labor, 4=Purchase and Sale of agricultural products, 5=Purchase and sale of livestock …",16,0,10680,0,,,,
s1q1,1.1 Total number of household members,int8,,0,0,10680,0,,,,
s1q4,1.4 What is the household member?s relationship with the household Head?,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,10680,0,,,,
s1q5,1.5 What is the sex of household member?,int8,"1=Male, 2=Female",2,0,10680,0,,,,
s1q6,1.6 What is the age of household member?,int16,,0,0,10680,0,,,,
s1q7,1.7 What is the highest level of education attained by the household member?,int8,"1=Some/Still Primary, 2=Completed Primary, 3=Vocational School, 4=some/still secondary, 5=Completed Secondary …",9,0,10680,0,,,,
s1q8,1.8 What is the main economic activity of hh member,int8,"1=Self-employed in agriculture, 2=Paid daily labor in agriculture, 3=Contribute in household  agriculture activities, 4=Daily labor not in agriculture, 5=Purchase and Sale of agricultural products …",13,0,10680,0,,,,
s1q9,1.9 Have you been engaged in agricultural activities during last 2019/2020 agric,int8,"1=Yes, 2=No",2,0,10680,0,,,,
s1q10,Has  [member name] been engaged in agricultural activities during last 2019/2020,int8,"1=Market oriented farming, 2=Agricultural production processing, 3=Import of agricultural products, 4=Export of agricultural products, 5=Supply of agricultural inputs …",6,0,10680,0,,,,
s7q3_1,7.3.1 Have you done bee keeping in last twelve months,int8,"1=Yes, 2=No",2,0,13008,0,,,,
s7q3_2,7.3.2 Number of traditional bee hives owned now,int16,,0,0,908,0,,,,
s7q3_3,7.3.3 Number of modern bee hives owned now,int16,,0,0,908,0,,,,
s7q3_4,7.3.4 Quantity of honey produced from traditional bee hives during 12 last month,int16,,0,0,908,0,,,,
s7q3_5,7.3.5 Quantity of honey produced from modern bee hive during 12 last months (kg),int16,,0,0,908,0,,,,
s7q3_6,7.3.6 Quantity consumed by your household during last 12 months (kg),int16,,0,0,908,0,,,,
s7q3_7,7.3.7 Quantity sold during last 12 months (kg) (Kg),int16,,0,0,908,0,,,,
s7q3_8,7.3.8  Average selling price per kg (Rwf),int16,,0,0,699,0,,,,
s7q3_9,7.3.9 Quantity used in any other way during last 12 months (kg)?,int8,,0,0,908,0,,,,
honey_produce,,int16,,0,0,2331,0,,,,
s11q3_1,11.3.1 Have you done bee keeping in last Six months?,int8,"1=Yes, 2=No",2,0,0,9387,,,,
s11q3_2,11.3.2 Number of traditional bee hives owned now,int16,,0,0,0,758,,,,
s11q3_3,11.3.3 Number of modern bee hives owned now,int16,,0,0,0,758,,,,
s11q3_4,11.3.4 Quantity of honey produced from traditional bee hives during 6 last month,double,,0,0,0,758,,,,
s11q3_5,11.3.5 Quantity of honey produced from modern bee hive during 6 last months (kg),double,,0,0,0,758,,,,
s11q3_6,11.3.6 Quantity consumed by your household during last 6 months (kg),double,,0,0,0,758,,,,
s11q3_7,11.3.7 Quantity sold during last 6 months (kg),double,,0,0,0,758,,,,
s11q3_8,11.3.8 Average saling price per kg (Rwf) (price for last sold honey),int16,,0,0,0,572,,,,
s11q3_9,11.3.9 Quantity used in any other way during last 6 months (kg)?,double,,0,0,0,758,,,,
owner,owner,string,,0,16067,13011,9387,,,,
_merge,Matching result from merge,int8,"1=Master only (1), 2=Using only (2), 3=Matched (3), 4=Missing updated (4), 5=Nonmissing conflict (5)",5,0,0,9387,,,,
