variable,label,type,value_labels,n_value_labels,n_2017,n_2020,n_2024,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,16057,10666,3724,2017: module s0_general_information; 2020: module section_0; 2024: module section0,,,
year,Survey year,int16,,0,16057,10666,3724,2017: module s0_general_information; 2020: module section_0; 2024: module section0,,,
wave,Wave (survey year),string,,0,0,0,0,2017: module s0_general_information; 2020: module section_0; 2024: module section0,,,
sample,CS = national sample of agricultural households,string,,0,16057,10666,3724,2017: module s0_general_information; 2020: module section_0; 2024: module section0,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,16057,10666,3724,2017: module s0_general_information; 2020: module section_0; 2024: module section0,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,16057,10666,3724,2017: module s0_general_information; 2020: module section_0; 2024: module section0,,,
cluster,Sampling segment / cluster (as shipped),string,,0,16057,10666,3724,2017: module s0_general_information; 2024: module section0,,,
hhid,Household id (unique within wave),double,,0,16057,10666,3724,2017: module s0_general_information; 2020: module section_0; 2024: module section0,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,16057,10666,3724,2017: module s0_general_information; 2020: module section_0; 2024: module section0,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,16057,10666,3724,2017: module s0_general_information; 2020: module section_0; 2024: module section0,,,
s0q0,0.0 Is there any household in the segment?,int8,"1=Yes, 2=No",2,16057,0,0,2017: module s0_general_information,,,
s0q3,0.3 Stratum,int8,"11=Intensive cropland on hillsides, 20=Intensive cropland in marshlands, 30=Rangelands, 41=Urban area, 42=Rural settlement",5,16057,0,0,2017: module s6_agricultural_practices,,,
s0q4,0.4 Segment,int8,,0,16057,0,0,2017: module s6_agricultural_practices,,,
s0q5,0.5 House number,int16,,0,16057,0,0,2017: module s0_general_information,,,
s0q6,0.6 Household Number,int8,,0,16057,0,0,2017: module s0_general_information,,,
