variable,label,type,value_labels,n_value_labels,n_2017,n_2020,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,16057,10666,,,,
year,Survey year,int16,,0,16057,10666,,,,
wave,Wave (survey year),string,,0,0,0,,,,
sample,CS = national sample of agricultural households,string,,0,16057,10666,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,16057,10666,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,16057,10666,,,,
cluster,Sampling segment / cluster (as shipped),string,,0,16057,10666,,,,
hhid,Household id (unique within wave),double,,0,16057,10666,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,16057,10666,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,16057,10666,,,,
s0q3,0.3 Stratum,int8,"11=Intensive cropland on hillsides, 20=Intensive cropland in marshlands, 30=Rangelands, 41=Urban area, 42=Rural settlement",5,16057,0,,,,
s0q4,0.4 Segment,int8,,0,16057,0,,,,
s5q1_1,5.1.1 Did any member of your household use organic fertilizer at least in one of,int8,"1=Yes, 2=No",2,16057,0,,,,
s5q1_2,5.1.2.Quantity of organic fertilizer used  during agricultural Season A 2017 (Kg,int32,,0,11080,0,,,,
s5q1_3,5.1.3 Source of organic fertilizer Season A-Source 1,int8,,0,11080,0,,,,
s5q1_4,5.1.4 Quantity purchased during agricultural Season A 2017 (Kg),double,,0,2216,0,,,,
s5q1_5,5.1.5 Amount paid for purchasing the organic fertilizer during agricultural Seas,int32,,0,2213,0,,,,
s5q1_6_1,5.1.6 Method used for preparing manure Season A-Methode 1,int8,"1=Compost ditch, 2=Ground compost, 3=Manure heap, 4=Prepared in other way",4,8515,0,,,,
s5q1_6_2,5.1.6 Method used for preparing manure Season A-Methode 2,int8,"1=Compost ditch, 2=Ground compost, 3=Manure heap, 4=Prepared in other way",4,494,0,,,,
s5q1_6_3,5.1.6 Method used for preparing manure Season A-Methode 3,int8,"1=Compost ditch, 2=Ground compost, 3=Manure heap, 4=Prepared in other way",4,494,0,,,,
s5q1_7,5.1.7 Quantity of used organic fertilizer that any member of the household recei,int16,,0,897,0,,,,
s5q1_8,5.1.8. Did any member of your household use lime or gypsum at least in one plot,int8,"1=Yes, 2=No",2,16057,0,,,,
s5q1_9,5.1.9 Did any member of your household use organic fertilizer at least in one of,int8,"1=Yes, 2=No",2,16057,0,,,,
s5q1_10,5.1.10.Quantity of organic fertilizer used  during agricultural Season B 2017 (K,double,,0,8336,0,,,,
