variable,label,type,value_labels,n_value_labels,n_2017,n_2020,n_2024,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,32611,23250,9947,,,,
year,Survey year,int16,,0,32611,23250,9947,,,,
wave,Wave (survey year),string,,0,0,0,0,,,,
sample,CS = national sample of agricultural households,string,,0,32611,23250,9947,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,28199,23250,9947,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,28199,23250,9947,,,,
cluster,Sampling segment / cluster (as shipped),string,,0,32611,23250,9947,,,,
hhid,Household id (unique within wave),double,,0,32611,23250,9947,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,28199,23250,9947,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,28199,23250,9947,,,,
s0q3,0.3 Stratum,int8,"11=Intensive cropland on hillsides, 20=Intensive cropland in marshlands, 30=Rangelands, 41=Urban area, 42=Rural settlement",5,28199,0,0,,,,
s0q4,0.4 Segment,int8,,0,28199,0,0,,,,
s9q9_1,9.1 Name of animal reared,int8,"1=Exotic Cattle, 2=Hybrid cattle, 3=Local cattle, 4=Exotic  goats, 6=Local goats …",16,28199,0,0,,,,
s9q9_2,9.2 Did any memnber of your household rear this animal during 2016-2017 agricult,int8,"1=Yes, 2=No",2,28199,0,0,,,,
s9q9_3,9.3 What is the total number of animal reared?,int16,,0,28199,0,0,,,,
s9q9_4_1,9.4.1 Adults,int8,,0,32611,0,0,,,,
s9q9_4_2,9.4.2 Young,int8,,0,32611,0,0,,,,
s9q9_5_1,9.5.1 Adults not lactating,int8,,0,32611,0,0,,,,
s9q9_5_2,9.5.2 Adults Lactating,int8,,0,32611,0,0,,,,
s9q9_5_3,9.5.3 Young,int8,,0,32611,0,0,,,,
s9q9_6,9.6 How many born animals in last 12 months,int16,,0,20185,0,0,,,,
s9q9_7,9.7 How many bought  animals in last 12 months,int8,,0,20185,0,0,,,,
s9q9_8,9.8 Total Amount paid,int32,,0,4048,0,0,,,,
s9q9_9,9.9 Number received as gift in last 12 months,int8,,0,20185,0,0,,,,
s9q9_10,9.10 Number slaughtered for own consumption in last 12 months,int8,,0,20185,0,0,,,,
s9q9_11,9.11 Number of animals sold in last 12 months,int16,,0,20185,0,0,,,,
s9q9_12,9.12 Total Amount received,int32,,0,4224,0,0,,,,
s9q9_13,9.13 Number of animals given away as gift in last 12 months,int8,,0,20185,0,0,,,,
s9q9_14,9.14 Number of animals died for any reasons in last 12 months,int8,,0,20185,0,0,,,,
s9q9_15,9.15 Number of animals lost or stolen in last 12 months,int8,,0,20185,0,0,,,,
s9q9_16,9.16 Number of animals vaccinated in last 12 months,int16,,0,28199,0,0,,,,
s9q9_17,9.17 Number of animals treated for sickness in last 12 months,int16,,0,28199,0,0,,,,
