variable,label,type,value_labels,n_value_labels,n_2017,n_2024,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,3237,12209,,,,
year,Survey year,int16,,0,3237,12209,,,,
wave,Wave (survey year),string,,0,15446,15446,,,,
sample,CS = national sample of agricultural households,string,,0,3237,12209,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,3237,12209,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,3237,12209,,,,
cluster,Sampling segment / cluster (as shipped),string,,0,3237,12209,,,,
hhid,Household id (unique within wave),double,,0,3237,12209,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,3237,12209,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,3237,12209,,,,
s0q3,0.3 Stratum,int8,"11=Intensive cropland on hillsides, 20=Intensive cropland in marshlands, 30=Rangelands, 41=Urban area, 42=Rural settlement",5,3237,0,,,,
s0q4,0.4 Segment,int8,,0,3237,0,,,,
s10q1_1,10.1.1 Lactating cow number,int8,,0,3237,0,,,,
s10q1_2,10.1.2 Lactating cow race,int8,"1=Exotic, 2=Hybrid, 3=Local",3,3237,0,,,,
s10q1_3_1,10.1.3.1 Lactating time  length at high lactation period(in days),int16,,0,3237,0,,,,
s10q1_3_2,10.1.3.2 Lactating time  length at high low period(in days),int16,,0,3237,0,,,,
s10q1_3_3,"10.1.3.3 Lactating time  length, whole lactation period(in days)",int16,,0,3237,0,,,,
s10q1_4_1,10.1.4.1 Dail milk production at high lactating period (in liters),double,,0,3237,0,,,,
s10q1_4_2,10.1.4.2 Dail milk production at low lactating period (in liters),double,,0,3237,0,,,,
s10q1_5,10.1.5 Months and year of calving,int8,,0,3237,0,,,,
s10q1_6,10.1.6 Has your cattle has any problem that caused low milk yield during,int8,"1=Yes, 2=No",2,3237,0,,,,
s10q1_7,10.1.7 What are major problems among the following that caused low milk,int8,"1=Lack of fodder, 2=Health problems, 3=Other",3,2649,0,,,,
s10q1_0,10.1.1 Did your household produce milk during the last 6 months?,int8,"1=Yes, 2=No",2,0,12188,,,,
s11q1_1,11.1.3   Cattle that were lactating in this/that month of ?,int8,"1=Yes, 2=No",2,0,5712,,,,
s11q1_2,11.1.2   Month,int8,"1=Feb-24, 2=Jan-24, 3=Dec-23, 4=Nov-23, 5=Oct-23 …",12,0,5712,,,,
s11q1_3,11.1.3   Cattle that were lactating in this/that month of ?,int8,"1=Exotic cattle, 2=Cross cattle, 3=Local cattle",3,0,3635,,,,
s11q1_4_1,11.1.4   Number (Exotic) of cattle that were lactating in this/that month of ?,int8,,0,0,220,,,,
s11q1_5_1,11.1.5   Number (Exotic) of days that cattle were lactating in this/that month o,int8,,0,0,220,,,,
s11q1_6_1,11.1.6   quantity (Exotic) produced(liter) per day,double,,0,0,220,,,,
s11q1_7_1,11.1.7   Quantity (Exotic) consumed (liter),double,,0,0,220,,,,
s11q1_8_1,11.1.8   Quantity (Exotic) sold (liter),double,,0,0,220,,,,
s11q1_9_1,11.1.9   Price (Exotic) per/ liter,int16,,0,0,158,,,,
s11q1_10_1,11.1.10  Quantity (Exotic) given as gift (liter),double,,0,0,220,,,,
s11q1_11_1,11.1.11  Quantity (Exotic) used in any other way (liter),int8,,0,0,220,,,,
s11q1_4_2,11.2.4   Number (Cross) of cattle that were lactating in this/that month of ?,int8,,0,0,2763,,,,
s11q1_5_2,11.2.5   Number (Cross) of days that cattle were lactating in this/that month of,int8,,0,0,2759,,,,
s11q1_6_2,11.2.6   quantity (Cross) produced(liter) per day,double,,0,0,2759,,,,
s11q1_7_2,11.2.7   Quantity (Cross) consumed (liter),double,,0,0,2759,,,,
s11q1_8_2,11.2.8   Quantity (Cross) sold (liter),double,,0,0,2759,,,,
s11q1_9_2,11.2.9   Price (Cross) per/ liter,int16,,0,0,1755,,,,
s11q1_10_2,11.2.10  Quantity (Cross) given as gift (liter),double,,0,0,2759,,,,
s11q1_11_2,11.2.11  Quantity (Cross) used in any other way (liter),double,,0,0,2759,,,,
s11q1_4_3,11.3.4   Number (Local) of cattle that were lactating in this/that month of ?,int8,,0,0,659,,,,
s11q1_5_3,11.3.5   Number (Local) of days that cattle were lactating in this/that month of,int8,,0,0,659,,,,
s11q1_6_3,11.3.6   quantity (Local) produced(liter) per day,double,,0,0,659,,,,
s11q1_7_3,11.3.7   Quantity (Local) consumed (liter),double,,0,0,659,,,,
s11q1_8_3,11.3.8   Quantity (Local) sold (liter),double,,0,0,659,,,,
s11q1_9_3,11.3.9   Price (Local) per/ liter,int16,,0,0,298,,,,
s11q1_10_3,11.3.10  Quantity (Local) given as gift (liter),double,,0,0,660,,,,
s11q1_11_3,11.3.11  Quantity (Local) used in any other way (liter),double,,0,0,659,,,,
s11q1_4, Total Number of cattle that were lactating in this/that month of ?,int8,,0,0,12209,,,,
s11q1_5, Total Number of days that cattle were lactating in this/that month of ?,int8,,0,0,12209,,,,
s11q1_6, Total quantity produced(liter) per day,double,,0,0,12209,,,,
s11q1_7, Total Quantity consumed (liter),double,,0,0,12209,,,,
s11q1_8, Total Quantity sold (liter),double,,0,0,12209,,,,
s11q1_10, Total Quantity given as gift (liter),double,,0,0,12209,,,,
s11q1_11, Total Quantity used in any other way (liter),double,,0,0,12209,,,,
