variable,label,type,value_labels,n_value_labels,n_2017,n_2020,n_2024,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,73665,48726,16292,,,,
year,Survey year,int16,,0,73665,48726,16292,,,,
wave,Wave (survey year),string,,0,0,0,0,,,,
sample,CS = national sample of agricultural households,string,,0,73665,48726,16292,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,73665,48726,16292,2017: s0q1; 2020: s0q1; 2024: province,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,73665,48726,16292,2017: s0q2; 2020: s0q2; 2024: district,,,
cluster,Sampling segment / cluster (as shipped),string,,0,73665,48726,16292,2017: household key table (['s0_general_information']); 2024: clust,,,
hhid,Household id (unique within wave),double,,0,73665,48726,16292,2017: idquest; 2020: hhuid,,,
pid,Person number within the household,int8,,0,73665,48726,16292,2017: s1q1; 2020: s1q2,,,
sex,"Sex (1 male, 2 female)",int8,"1=Male, 2=Female",2,73665,48726,16292,2017: s1q4; 2020: s1q5; 2024: s1q1,,,
age,Age in years,int16,998=Don't know,1,73665,48726,16292,2017: s1q5; 2020: s1q6; 2024: s1q3y,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,73665,48726,16292,"2017: weight; 2020: weight; 2024: household key table (['section0', 'section8_sustainable_agriculture'])",,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,73665,48726,16292,,,,
s0q3,0.3 Stratum,int8,"11=Intensive cropland on hillsides, 20=Intensive cropland in marshlands, 30=Rangelands, 41=Urban area, 42=Rural settlement",5,73665,0,0,,,,
s0q4,0.4 Segment,int8,,0,73665,0,0,,,,
s1q2,Relation with the head of household,string,,0,73665,48726,16292,,,2017: 1.2 Household member names,
s1q3,1.3 What is the member relationship with the household Head?,int8,"1=Head, 2=Spouse, 3=Son/Daughter, 4=Relatives, 5=Parent …",7,73665,0,0,,,,
s1q6_v2,[2017..2017 version] 1.6 Did this child schooled?,int8,"1=Yes, 2=No",2,22244,0,0,,s1q6 (2024),,
s1q7,1.7 Highest level of education attained by the [the name of household member],int8,"1=Some/Still Primary, 2=Completed Primary, 3=Vocational School, 4=some/still secondary, 5=Completed Secondary …",9,51421,41363,0,,s1q7_v2 (2024),2017: 1.7 What is the highest level of education attaine,"{""1"": [""Primary"", ""Some/Still Primary""], ""2"": [""Completed Primary"", ""Secondary""], ""3"": [""Tertiary"", ""Vocational School""], ""4"": [""No education level"", ""some/still secondary""]}"
s1q8,1.8 What is the main economic activity of [the name of household member],int8,"1=Self-employed in agriculture (Cropping/livestock), 2=Paid daily labor in agriculture, 3=Contribute in household agriculture activities, 4=Daily labor not in agriculture, 5=Purchase and Sale of agricultural products (Cropping/livestock) …",13,51421,41365,0,,s1q8_v2 (2024),2017: 1.8 What is the main economic activity of househol,"{""1"": [""Cropping activity"", ""Self-employed in agriculture (Cropping/livestock)""], ""2"": [""Non farming activity"", ""Paid daily labor in agriculture""], ""3"": [""Contribute in household agriculture activities"", ""Cropping and Livestock activity""], ""4"": [""Daily labor not in agriculture"", ""None of them""], ""5"": [""Livestock activity"", ""Purchase and Sale of agricultural products (Cropping/livestock)""], ""6"": [""Both farming and non-farming activities"", ""Informal sale""]}"
s1q9_v3,[2017..2017 version] 1.9 Where the farming activity is located?,int8,"1=In the household farms only, 2=In others'farms only, 3=Both in  household farms and others",3,26874,0,0,,"s1q9 (2024), s1q9_v2 (2020)",,
s1q10_v2,[2017..2017 version] 1.10 Average number of Hours/day that the household memb,int8,,0,26062,0,0,,s1q10 (2024),,
s1q11_v2,[2017..2017 version] 1.11 Number of days that the household member worked in,int8,,0,25301,0,0,,s1q11 (2024),,
s1q12_v2,[2017..2017 version] 1.12 Number of days that the household member worked in,int8,,0,25301,0,0,,s1q12 (2024),,
s1q13_v2,[2017..2017 version] 1.13 Number of days that the household member worked in,int8,,0,25301,0,0,,s1q13 (2024),,
s1q14_v2,[2017..2017 version] 1.14 Number of days that the household member worked in,int8,,0,25301,0,0,,s1q14 (2024),,
s1q15,1.15 Number of days that the household member worked in Jan-17,int8,,0,25301,0,0,,,,
s1q16,1.16 Average number of Hours/day that the household member worked per day in Sea,int8,,0,26062,0,0,,,,
s1q17,1.17 Number of days that the household member worked in Feb  -17,int8,,0,25507,0,0,,,,
s1q18,1.18 Number of days that the household member worked in March  -17,int8,,0,25507,0,0,,,,
s1q19,1.19 Number of days that the household member worked in April  -17,int8,,0,25507,0,0,,,,
s1q20,1.20 Number of days that the household member worked in May -17,int8,,0,25507,0,0,,,,
s1q21,1.21 Number of days that the household member worked in Jun-17,int8,,0,25507,0,0,,,,
s0q7,0.7 Household number,int16,,0,0,48726,0,,,,
s0q9,0.9 Marital status of Household Head,int8,"1=Single, 2=Married with certificate, 3=Married monogamously without certificate, 4=Married Polygamous, 5=Widowed …",7,0,48726,0,,,,
s0q10,0.10 Ubudehe category the household belongs in,int8,"1=Category 1, 2=Category 2, 3=Category 3, 4=Category 4, 5=Unclassified",5,0,48726,0,,,,
s0q12,0.12 Is the respondent the Household head,int8,"1=Yes, 2=No",2,0,48726,0,,,,
s0q15,0.15 Relationship of respondent to the Household head,int8,"1=Spouse, 2=Child, 3=Relative, 4=Parent, 5=Housekeeper/Manager …",6,0,19208,0,,,,
s0q16_1,0.16.1 Agricultural activity of the Household,int8,"1=Cropping, 2=Livestock, 3=Aquaculture/Pisciculture, 4=Forestry, 5=Apiculture …",7,0,48726,0,,,,
s0q16_2,0.16.2 Agricultural activity of the Household,int8,"1=Cropping, 2=Livestock, 3=Aquaculture/Pisciculture, 4=Forestry, 5=Apiculture …",7,0,36777,0,,,,
s0q16_3,0.16.3 Agricultural activity of the Household,int8,"1=Cropping, 2=Livestock, 3=Aquaculture/Pisciculture, 4=Forestry, 5=Apiculture …",7,0,5629,0,,,,
s0q16_4,0.16.4 Agricultural activity of the Household,int8,"1=Cropping, 2=Livestock, 3=Aquaculture/Pisciculture, 4=Forestry, 5=Apiculture …",7,0,353,0,,,,
s0q17,0.17 Is agriculture the main livelihood activity of your household?,int8,"1=Yes, 2=No",2,0,48726,0,,,,
s0q18,0.18 What is the other non-agricultural activity which  support your household?,int8,"1=Daily Labour, 2=Fishing, Hunting, Gathering, 3=Skilled labor, 4=Purchase and Sale of agricultural products, 5=Purchase and sale of livestock …",16,0,48726,0,,,,
s1q1,1.1 Total number of household members,int8,,0,0,48726,0,,,,
s1q4_v2,[2020..2020 version] 1.4 What is the household member's relationship with the,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,48726,0,,s1q4 (2024),,
s1q9_v2,[2020..2020 version] 1.9 [member name] engaged in agric. activities in 2019/2,int8,"1=Yes, 2=No",2,0,36408,0,,"s1q9 (2024), s1q9_v3 (2017)",,
agribus_n,Agribusiness activities (in numbers) been involved by HH members,int8,,0,0,48726,0,,,,
s1q10_1,1.10.1 [member name] involved in any of the following agribusiness activities,int8,"1=Market oriented farming, 2=Agricultural production Processing, 3=Import of agricultural products, 4=Export of agricultural products, 5=Supply of agricultural inputs …",6,0,2757,0,,,,
s1q10_2,1.10.2 [member name] involved in any of the following agribusiness activities,int8,"1=Market oriented farming, 2=Agricultural production Processing, 3=Import of agricultural products, 4=Export of agricultural products, 5=Supply of agricultural inputs …",6,0,31,0,,,,
