variable,label,type,value_labels,n_value_labels,n_2017,n_2024,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,362203,9981,,,,
year,Survey year,int16,,0,362203,9981,,,,
wave,Wave (survey year),string,,0,0,0,,,,
sample,CS = national sample of agricultural households,string,,0,362203,9981,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,362203,9981,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,362203,9981,,,,
cluster,Sampling segment / cluster (as shipped),string,,0,362203,9981,,,,
hhid,Household id (unique within wave),double,,0,362203,9981,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,362203,9981,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,362203,9981,,,,
s0q3,0.3 Stratum,int8,"11=Intensive cropland on hillsides, 20=Intensive cropland in marshlands, 30=Rangelands, 41=Urban area, 42=Rural settlement",5,362203,0,,,,
s0q4,0.4 Segment,int8,,0,362203,0,,,,
s7q1_v2,[2017..2017 version] 7.1 small tools name,int8,"1=Barrel, 2=Basket, 3=Bowl, 4=Crops Sprayer, 5=Fork hoe …",27,346148,0,,s7q1 (2024),,
s7q2,7.2 Has any member of your household purchased and used this tool during this se,int8,"1=Yes, 2=No",2,346148,8739,,,2017: 7.2 Does any member of your household own this too,
s7q3_v2,[2017..2017 version] 7.3 The number of this tool owned by the household,int16,,0,110406,0,,s7q3 (2024),,
s7q4_v2,[2017..2017 version]  7.4 Number of tools puchased by your household during a,int16,,0,110408,0,,s7q4 (2024),,
s7q5_v2,[2017..2017 version] 7.5 Unit price for the purchased tool,int32,,0,39773,0,,s7q5 (2024),,
s7q6_v2,[2017..2017 version] 7.6 Number of this tool rented by your household,int16,,0,110404,0,,s7q6 (2024),,
s7q7_v2,[2017..2017 version] 7.7 Amount paid for rented small tools,int32,,0,719,0,,s7q7 (2024),,
s7qa,did your household purchased and used any tool during this season?,int8,"1=Yes, 2=No",2,0,9723,,,,
s7q1,tool_name,int8,"1=Barrel, 2=Basket, 3=Bowl, 4=Crops Sprayer, 5=Fork hoe …",24,0,8739,,s7q1_v2 (2017),,
s7q1_o,other tool,string,,0,362203,9981,,,,
s7q3,7.3 Number of tools purchased and used during this season?,int8,,0,0,8739,,s7q3_v2 (2017),,
s7q4,7.4 What was the average unit price for the purchased tools? (RwF),int32,,0,0,8100,,s7q4_v2 (2017),,
s7q5,7.5 What is the number of the tool that any member of your household has rented,int16,,0,0,8716,,s7q5_v2 (2017),,
s7q6,7.6 Amount paid for rented small tools,int32,,0,0,8710,,s7q6_v2 (2017),,
s7q7,tool_name,int8,"1=Barrel, 2=Basket, 3=Bowl, 4=Crops Sprayer, 5=Fork hoe …",24,0,252,,s7q7_v2 (2017),,
s7q7_o,other tool,string,,0,362203,9981,,,,
s7q8,7.8 Has any member of your household purchased this equipment during this season,int8,"1=Yes, 2=No",2,0,252,,,,
s7q9,7.9 What was the number of this equipment purchased by your household in this se,int8,,0,0,252,,,,
s7q10,7.10 What was the unit price for the purchased equipment? (RwF),int32,,0,0,162,,,,
s7q11,7.11 Number of the equipment that any member of your household has rented in thi,int8,,0,0,252,,,,
s7q12,7.12 Amount paid for rented durable tools,int32,,0,0,51,,,,
