scope,wave,native,clean_name,clean_label,native_label
pooled:AHS_pooled_person.dta,"2017,2020,2024",age,ahs_age,AHS: Age in completed years,Age in years
pooled:AHS_pooled_person.dta,2020,agribus_n,ahs_agribusiness_activities_n,AHS 2020: Number of agribusiness activities of the household,Agribusiness activities (in numbers) been involved by HH members
pooled:AHS_pooled_person.dta,"2017,2024",cluster,ahs_cluster,AHS 2017-2024: Sampling cluster or village identifier,Sampling segment / cluster (as shipped)
pooled:AHS_pooled_person.dta,"2017,2020,2024",dist,ahs_district,"AHS: District, NISR code 11-57","District (11-57, NISR current codes)"
pooled:AHS_pooled_person.dta,"2017,2020,2024",hhid,ahs_household_id,AHS: Household identifier,Household id (unique within wave)
pooled:AHS_pooled_person.dta,"2017,2020,2024",pid,ahs_person_id,AHS: Person number within the household,Person number within the household
pooled:AHS_pooled_person.dta,"2017,2020,2024",prov,ahs_province,"AHS: Province, NISR code 1-5","Province (1-5, NISR codes)"
pooled:AHS_pooled_person.dta,2020,s0q10,ahs_ubudehe_category_hh_belongs,AHS 2020: Ubudehe category the household belongs in,0.10 Ubudehe category the household belongs in
pooled:AHS_pooled_person.dta,2020,s0q12,ahs_respondent_household_head,AHS 2020: Is the respondent the Household head,0.12 Is the respondent the Household head
pooled:AHS_pooled_person.dta,2020,s0q15,ahs_relation_resp_household_head,AHS 2020: Relationship of respondent to the Household head,0.15 Relationship of respondent to the Household head
pooled:AHS_pooled_person.dta,2020,s0q16_1,ahs_agri_activity_household_1,AHS 2020: Agricultural activity of the Household,0.16.1 Agricultural activity of the Household
pooled:AHS_pooled_person.dta,2020,s0q16_2,ahs_agri_activity_household_2,AHS 2020: Agricultural activity of the Household,0.16.2 Agricultural activity of the Household
pooled:AHS_pooled_person.dta,2020,s0q16_3,ahs_agri_activity_household_3,AHS 2020: Agricultural activity of the Household,0.16.3 Agricultural activity of the Household
pooled:AHS_pooled_person.dta,2020,s0q16_4,ahs_agri_activity_household_4,AHS 2020: Agricultural activity of the Household,0.16.4 Agricultural activity of the Household
pooled:AHS_pooled_person.dta,2020,s0q17,ahs_agri_livelihood_activity_hh,AHS 2020: Is agriculture the main livelihood activity of your household?,0.17 Is agriculture the main livelihood activity of your household?
pooled:AHS_pooled_person.dta,2020,s0q18,ahs_non_agri_activity_support_hh,AHS 2020: Other non-agricultural activity which support your household,0.18 What is the other non-agricultural activity which  support your household?
pooled:AHS_pooled_person.dta,2017,s0q3,ahs_stratum,AHS 2017: Sampling stratum,0.3 Stratum
pooled:AHS_pooled_person.dta,2017,s0q4,ahs_segment,AHS 2017: Segment,0.4 Segment
pooled:AHS_pooled_person.dta,2020,s0q7,ahs_household_number,AHS 2020: Household number,0.7 Household number
pooled:AHS_pooled_person.dta,2020,s0q9,ahs_marital_household_head,AHS 2020: Marital status of Household Head,0.9 Marital status of Household Head
pooled:AHS_pooled_person.dta,2020,s1q1,ahs_total_number_household,AHS 2020: Total number of household members,1.1 Total number of household members
pooled:AHS_pooled_person.dta,2024,s1q10,ahs_resident_hh_period_2024,AHS 2024: Will be resident in the household during the period of enumeration,Will be resident in the household during the period of enumeration
pooled:AHS_pooled_person.dta,2017,s1q10_v2,ahs_avg_hours_day_hh_worked_2017,AHS 2017: Average number of Hours/day that the household member worked per day,1.10 Average number of Hours/day that the household member worked per day in Sea
pooled:AHS_pooled_person.dta,2020,s1q10_1,ahs_involved_agribusiness_1,AHS 2020: Member name involved in any of the following agribusiness activities,1.10.1 [member name] involved in any of the following agribusiness activities
pooled:AHS_pooled_person.dta,2020,s1q10_2,ahs_involved_agribusiness_2,AHS 2020: Member name involved in any of the following agribusiness activities,1.10.2 [member name] involved in any of the following agribusiness activities
pooled:AHS_pooled_person.dta,2024,s1q11,ahs_prim_n_reason_absence_2024,AHS 2024: Primary n reason for absence during enumeration,primary n reason for absence during enumeration
