variable,label,type,value_labels,n_value_labels,universe,n_2002,n_2012,n_2022,source_by_year,version_years,other_versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,,175737,242461,331917,,,,,
year,Census year,int16,,0,,0,0,0,,,,,
wave,Wave (census year),string,,0,,175737,242461,331917,,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Estern Province",5,,175737,242461,331917,2002: province_code; 2012: l01; 2022: ml01,,,,
dist,"District (11-57, NISR codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,,175737,242461,331917,2002: district_code (3-digit prov*100+seq -> prov*10+seq); 2012: dui; 2022: ml02,,,,
sector,"Sector (1101-5715, NISR codes; names attached)",int16,"1101=Gitega, 1102=Kanyinya, 1103=Kigali, 1104=Kimisagara, 1105=Mageregere, 1106=Muhima …",416,,175737,242461,331917,2002: novsect matched by name to NISR current sector codes (sector_code_file kept); 2012: sui; 2022: ml03,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,,0,242461,331917,"2002: g06_milieu; 2012: rl07 (NISR 2-way recode: urban + semi-urban = 1, rural + peri-urban = 2; l07 kept); 2022: ml07",,,,
cluster,Sampling cluster proxy (year_sector),string,,0,,175737,242461,331917,,,,,
hhid,Household id (unique within year),double,,0,,175737,242461,331917,2002 original label (FR): Household Id,,,,
wt,Household weight (sums to the number of households),double,,0,,175737,242461,331917,2002: weight; 2012: sampleweight_final_; 2022: pop_weight,,,,
wt_hh,Household weight (2022 as shipped; 2002/2012 = person weight of the household sa,double,,0,,175737,242461,331917,"2002: = wt (10% household sample, self-weighting); 2012: = wt (10% household sample, self-weighting); 2022: hh_weight",,,,
novprov,Province name,string,,0,,175737,242461,331917,,,,,
district_code,"District code (3-digit, as shipped)",int16,,0,,175737,0,0,,,,,
novdistr,District name,string,,0,,175737,242461,331917,,,,,
sector_code_file,"Sector code as shipped in the 2002 file (before the name-based correction, see D",int32,,0,,175737,0,0,,,,,
novsect,Sector name,string,,0,,175737,242461,331917,,,,,
h100,Household type (100 = ordinary household),int8,100=Ordinary household,1,,175737,0,0,2002 original label (FR): Type de ménage,,,,
h200,Collective household type (codes 201-214; not filled),int8,"201=Police camp, 202=Home for old persons, 203=Military camp, 204=Religious institution, 205=Street children, 206=Schools …",14,,175737,0,0,2002 original label (FR): Type de ménage2,,,,
h101,Questionnaire serial number in household,int8,,0,,175736,0,0,2002 original label (FR): H101,,,,
h102,Number of questionnaires filled in household,int8,,0,,175735,0,0,2002 original label (FR): H102,,,,
h110,Recap: male residents present,int8,,0,,175737,0,0,2002 original label (FR): H110,,,,
h111,Recap: male residents absent,int8,,0,,175737,0,0,2002 original label (FR): H111,,,,
h112,Recap: male residents total,int8,,0,,175737,0,0,2002 original label (FR): H112,,,,
h113,Recap: male residents aged 17+,int8,,0,,175737,0,0,2002 original label (FR): H113,,,,
h114,Recap: male visitors,int8,,0,,175737,0,0,2002 original label (FR): H114,,,,
h115,Recap: female residents present,int8,,0,,175737,0,0,2002 original label (FR): H115,,,,
h116,Recap: female residents absent,int8,,0,,175737,0,0,2002 original label (FR): H116,,,,
h117,Recap: female residents total,int8,,0,,175737,0,0,2002 original label (FR): H117,,,,
h118,Recap: female residents aged 17+,int8,,0,,175737,0,0,2002 original label (FR): H118,,,,
h119,Recap: female visitors,int8,,0,,175737,0,0,2002 original label (FR): H119,,,,
h120,"Recap: residents present, total",int8,,0,,175737,0,0,2002 original label (FR): H120,,,,
h121,"Recap: residents absent, total",int8,,0,,175737,0,0,2002 original label (FR): H121,,,,
h122,"Recap: residents, total",int8,,0,,175737,0,0,2002 original label (FR): H122,,,,
h123,"Recap: residents aged 17+, total",int8,,0,,175737,0,0,2002 original label (FR): H123,,,,
h124,"Recap: visitors, total",int8,,0,,175737,0,0,2002 original label (FR): H124,,,,
h01,Type of habitant,int8,"1=Planned rural settlement, 2=Integrated Model Village, 3=Old settlement, 4=Unplanned clustered rural housing (Dispersed/Isolated housing), 5=Modern planned urban area, 6=Spontaneous/Squatter housing in Urban area …",9,2002: ordinary (private) households; 2012: private households (repeated on every member); 2022: private households (repeated on every member),175737,242461,331917,2002 original label (FR): Type d'habitat,,,2002: Type of housing; 2012: Type of Housing,"{""1"": [""Planned rural settlement"", ""Umudugudu (new rural agglomeration)"", ""Umudugudu(Clustered rural settlement)""], ""2"": [""Early rural agglomeration"", ""Integrated Model Village"", ""Old settlement""], ""4"": [""Planned urban housing"", ""Planned urban housing (cadastral plot)"", ""Unplanned clustered rural housing (Dispersed/Isolated housing)""], ""9"": [""Not stated"", ""missing""], ""3"": [""Dispersed/Isolated housing"", ""Old settlement""], ""5"": [""Modern planned urban area"", ""Spontaneous/squatter housing""], ""6"": [""Other type of housing"", ""Spontaneous/Squatter housing in Urban area""]}"
h02,Type of Building,int8,"1=House occupied by one household, 2=House occupied by several householdS, 3=Storey building occupied by one household, 4=Storey building occupied by many households, 5=Several buildings in a compound occupied by one  household, 6=Several buildings in a compound occupied by several  households …",8,2002: ordinary (private) households; 2012: private households (repeated on every member); 2022: private households (repeated on every member),175737,242461,331917,2002 original label (FR): Type de construction,,,2002: Type of building; 2012: Type of Housing unit,"{""1"": [""Building occupied by one household"", ""House occupied by one household""], ""2"": [""Building occupied by several households"", ""House occupied by several household"", ""House occupied by several householdS""], ""3"": [""Storey building occupied by one household"", ""Storey building occupied by one or more household"", ""Storey building occupied by one or more households""], ""4"": [""Several buildings in a compound occupied by several househol"", ""Several buildings in a compound occupied by several households"", ""Storey building occupied by many households""], ""5"": [""Other type of building"", ""Several buildings in a compound occupied by one  household""]}"
h03_v3,[2002-2002 version] Roof material,int8,"1=Zinc / iron sheets, 2=Local tiles, 3=Industrial tiles/slates, 4=Concrete, 5=Cartons/sheeting, 6=Grass/straw …",8,ordinary (private) households,175737,0,0,,2002,"h03 (2022–2022), h03_v2 (2012–2012)",,
h04_v3,[2002-2002 version] Outer wall material,int8,"1=Wood / unplastered mud walls, 2=Wood / cemented mud walls, 3=Sun-dried (adobe) bricks, 4=Burnt bricks, 5=Cement blocks / concrete, 6=Stone …",10,ordinary (private) households,175737,0,0,,2002,"h04 (2022–2022), h04_v2 (2012–2012)",,
h05_v3,[2002-2002 version] Floor material,int8,"1=Earth, 2=Cement, 3=Stone, 4=Floor tiles, 5=Burnt bricks, 6=Other …",7,ordinary (private) households,175737,0,0,,2002,"h05 (2022–2022), h05_v2 (2012–2012)",,
h06_v3,[2002-2002 version] Number of living rooms,int8,"1=1, 2=2, 3=3, 4=4, 5=5, 6=6 …",16,ordinary (private) households,175737,0,0,,2002,"h06 (2022–2022), h06_v2 (2012–2012)",,
h07_v3,[2002-2002 version] Main source of water supply,int8,"1=Internal pipe-borne water, 2=Pipe-borne water in the compound, 3=Public tap outside the compound, 4=Protected spring/well, 5=Unprotected spring/well, 6=Rain water …",10,ordinary (private) households,175737,0,0,,2002,"h07 (2022–2022), h07_v2 (2012–2012)",,
