variable,label,type,value_labels,n_value_labels,universe,n_2002,n_2012,n_2022,source_by_year,version_years,other_versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,,814432,1038369,1313015,,,,,
year,Census year,int16,,0,,0,0,0,,,,,
wave,Wave (census year),string,,0,,814432,1038369,1313015,,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Estern Province",5,,814432,1038369,1313015,2002: province_code; 2012: l01; 2022: ml01,,,,
dist,"District (11-57, NISR codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,,814432,1038369,1313015,2002: district_code (3-digit prov*100+seq -> prov*10+seq); 2012: dui; 2022: ml02,,,,
sector,"Sector (1101-5715, NISR codes; names attached)",int16,"1101=Gitega, 1102=Kanyinya, 1103=Kigali, 1104=Kimisagara, 1105=Mageregere, 1106=Muhima …",416,,814432,1038369,1313015,2002: novsect matched by name to NISR current sector codes (sector_code_file kept); 2012: sui; 2022: ml03,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,,814432,1038369,1313015,"2002: g06_milieu; 2012: rl07 (NISR 2-way recode: urban + semi-urban = 1, rural + peri-urban = 2; l07 kept); 2022: ml07",,,,
cluster,Sampling cluster proxy (year_sector),string,,0,,814432,1038369,1313015,,,,,
hhid,Household id (unique within year),double,,0,,797715,1038369,1313015,2002 original label (FR): Household Id,,,,
pid,Person number within the household,int8,,0,,797715,1038369,1313015,2002: row order within household (P00 is not unique within households; kept as pid_nisr); 2012: p01; 2022: p01,,,,
sex,"Sex (1 male, 2 female)",int8,"1=Male, 2=Female",2,,814432,1038369,1313015,2002: p04; 2012: p03; 2022: p03,,,,
age,Age in years,int16,"0=0, 1=1, 2=2, 3=3, 4=4, 5=5 …",112,,814432,1038369,1313015,2002: p06; 2012: p05; 2022: p04,,,,
wt,Person weight (sums to the census population),double,,0,,814432,1038369,1313015,2002: weight; 2012: sampleweight_final_; 2022: pop_weight,,,,
wt_hh,Household weight (2022 as shipped; 2002/2012 = person weight of the household sa,double,,0,,814432,1038369,1313015,"2002: = wt (10% household sample, self-weighting); 2012: = wt (10% household sample, self-weighting); 2022: hh_weight",,,,
novprov,Province name,string,,0,,814432,1038369,1313015,,,,,
district_code,"District code (3-digit, as shipped)",int16,,0,,814432,0,0,,,,,
novdistr,District name,string,,0,,814432,1038369,1313015,,,,,
sector_code_file,"Sector code as shipped in the 2002 file (before the name-based correction, see D",int32,,0,,814432,0,0,,,,,
novsect,Sector name,string,,0,,814432,1038369,1313015,,,,,
p02,Relationship,int8,"1=Head of Household, 2=Spouse, 3=Son/Daughter, 4=Unrelated Child, 5=Father/Mother, 6=Brother/Sister …",9,,797715,1038369,0,2002 original label (FR): Lien de parenté,"2002,2012",p02_v2 (2022–2022),2002: Relationship to household head,"{""2"": [""Spouse"", ""Spouse of head""], ""3"": [""Child of head"", ""Son/Daughter""], ""4"": [""Unrelated Child"", ""Unrelated child brought up in the household""], ""5"": [""Father/Mother"", ""Father/mother of head""], ""6"": [""Brother/Sister"", ""Brother/sister of head""], ""7"": [""Grandchild"", ""Grandchild of head""], ""8"": [""Other Relative"", ""Other relative of head""], ""9"": [""Non Relative"", ""Not related to head""]}"
p03,"Residence status (present/absent resident, visitor, collective)",int8,"1=Present resident, 2=Absent resident, 3=Visitor, 4=Collective household, 9=Not stated",5,,814432,0,0,2002 original label (FR): Statut de résidence,,,,
p05x,Day of birth,int8,,0,all persons (day of birth not asked; NISR field),57465,0,0,2002 original label (FR): P05X,,,,
p05a,Month of birth,int8,"1=January, 2=February, 3=March, 4=April, 5=May, 6=June …",13,all persons (day of birth not asked; NISR field),714047,0,0,2002 original label (FR): P05A,,,,
p05b,Year of birth,int16,9999=Year of birth not stated,1,all persons (day of birth not asked; NISR field),719916,0,0,2002 original label (FR): P05B,,,,
agcm,Age (NISR derived copy),int16,,0,,814432,0,0,2002 original label (FR): AGCM,,,,
