12:34:54 03_checks INFO ==== 03_checks | run 20260905-123453 | python 3.13.5 | pandas 2.2.3 | pyreadstat 1.3.4
12:35:06 03_checks INFO 
# Census checks report

Generated by 03_checks.py.

## A. Python pooled file vs old Stata outputs (3 Jul 2026; 2002 was not processed then)

| section | statistic | Python | reference | result |
|---|---|---:|---:|---|
| A | 2012 rows | 1,038,369 | 1,038,369 | PASS |
| A | 2012 sum wt | 10,383,686 | 10,383,686 | PASS |
| A | 2012 sectors | 416 | 416 | PASS |
| A | 2012 households | 242,461 | 242,461 | PASS |
| A | 2012 male | 498,302 | 498,302 | PASS |
| A | 2012 female | 540,067 | 540,067 | PASS |
| A | 2022 rows | 1,313,015 | 1,313,015 | PASS |
| A | 2022 sum wt | 13,245,753 | 13,245,753 | PASS |
| A | 2022 sectors | 416 | 416 | PASS |
| A | 2022 households | 331,917 | 331,917 | PASS |
| A | 2022 male | 631,543 | 631,543 | PASS |
| A | 2022 female | 681,472 | 681,472 | PASS |

## B. Stata 17 recomputation from the written .dta files

| section | statistic | Python | Stata | result |
|---|---|---:|---:|---|
| B | 2002 rows | 814,432 | 814,432 | PASS |
| B | 2002 sum wt | 8,144,311 | 8,144,311 | PASS |
| B | 2002 male | 388,346 | 388,346 | PASS |
| B | 2002 female | 426,086 | 426,086 | PASS |
| B | 2002 sectors | 416 | 416 | PASS |
| B | 2012 rows | 1,038,369 | 1,038,369 | PASS |
| B | 2012 sum wt | 10,383,686 | 10,383,686 | PASS |
| B | 2012 male | 498,302 | 498,302 | PASS |
| B | 2012 female | 540,067 | 540,067 | PASS |
| B | 2012 sectors | 416 | 416 | PASS |
| B | 2022 rows | 1,313,015 | 1,313,015 | PASS |
| B | 2022 sum wt | 13,245,753 | 13,245,753 | PASS |
| B | 2022 male | 631,543 | 631,543 | PASS |
| B | 2022 female | 681,472 | 681,472 | PASS |
| B | 2022 sectors | 416 | 416 | PASS |
| B | 2002 households | 175,737 | 175,737 | PASS |
| B | 2002 sum hhsize | 797,715 | 797,715 | PASS |
| B | 2002 sum household weight | 1,757,368 | 1,757,368 | PASS |
| B | 2012 households | 242,461 | 242,461 | PASS |
| B | 2012 sum hhsize | 1,038,369 | 1,038,369 | PASS |
| B | 2012 sum household weight | 2,424,609 | 2,424,609 | PASS |
| B | 2022 households | 331,917 | 331,917 | PASS |
| B | 2022 sum hhsize | 1,313,015 | 1,313,015 | PASS |
| B | 2022 sum household weight | 3,312,795 | 3,312,795 | PASS |

## C. Against NISR published figures

| section | statistic | Python | published | result |
|---|---|---:|---:|---|
| C | 2002 weighted population (published total 8,128,553; 10% sample) | 8,144,311 | 8,128,553 | PASS |
| C | 2012 male (statement table 1) | 498,302 | 498,302 | PASS |
| C | 2012 female (statement table 1) | 540,067 | 540,067 | PASS |
| C | 2012 households (statement table 2) | 242,461 | 242,461 | PASS |
| C | 2012 weighted population vs the published total incl. institutional population 10,515,973 (informational; the private-household benchmark is tested below) | 10,383,686 |  | n/a |
| C | 2022 male (statement table 1) | 631,543 | 631,543 | PASS |
| C | 2022 female (statement table 1) | 681,472 | 681,472 | PASS |
| C | 2022 weighted population (statement table 1) | 13,245,753 | 13,245,753 | PASS |
| C | 2022 weighted pop. City of Kigali (statement table 2) | 1,745,519 | 1,745,519 | PASS |
| C | 2022 weighted pop. Eastern (statement table 2) | 3,562,690 | 3,562,690 | PASS |
| C | 2022 households with a first-roster-row resident (pid == 1) == statement table 3 (331,606; the table counts P01 = 1 rows) | 331,606 | 331,606 | PASS |
| C | 2022 weighted households with pid == 1 == statement table 3 (3,309,692) | 3,309,692 | 3,309,692 | PASS |
| C | 2022 households defined by a head (p02 == 1, our household file; 311 households have their head at a later roster position) | 331,917 |  | n/a |
| C | 2012 households in province 1 (statement table 2) | 28,665 | 28,665 | PASS |
| C | 2012 households in province 2 (statement table 2) | 60,364 | 60,364 | PASS |
| C | 2012 households in province 3 (statement table 2) | 54,345 | 54,345 | PASS |
| C | 2012 households in province 4 (statement table 2) | 39,165 | 39,165 | PASS |
| C | 2012 households in province 5 (statement table 2) | 59,922 | 59,922 | PASS |
| C | 2012 weighted population vs published private-household population 10,378,021 | 10,383,686 | 10,378,021 | PASS |
| C | 2002 urban share of the weighted population (published 16.9%) | 16.8% | 16.9% | PASS |
| C | 2012 urban share of the weighted population (published 16.5%) | 16.2% | 16.5% | PASS |
| C | 2022 urban share of the weighted population (published 27.9%) | 27.9% | 27.9% | PASS |

## D. Household file sanity

| section | statistic | Python | reference | result |
|---|---|---:|---:|---|
| D | 2002 sum hhsize == ordinary-household person rows | 797,715 | 797,715 | PASS |
| D | 2002 households == distinct hhid | 175,737 | 175,737 | PASS |
| D | 2002 households with exactly one head (p02 == 1 in the wave's p02 version) | 175,737 | 175,737 | PASS |
| D | 2002 (hhid, pid) unique -- duplicate rows | 0 | 0 | PASS |
| D | 2002 wt_hh constant within household (% of households) | 100 | 100 | PASS |
| D | 2002 prov/dist/sector constant within household (% of households) | 100 | 100 | PASS |
| D | 2002 households whose members disagree on urban (head's value used; informational) | 89 |  | n/a |
| D | 2002 household file: urban and head_sex non-missing on every household | 2 | 2 | PASS |
| D | 2012 sum hhsize == ordinary-household person rows | 1,038,369 | 1,038,369 | PASS |
| D | 2012 households == distinct hhid | 242,461 | 242,461 | PASS |
| D | 2012 households with exactly one head (p02 == 1 in the wave's p02 version) | 242,461 | 242,461 | PASS |
| D | 2012 (hhid, pid) unique -- duplicate rows | 0 | 0 | PASS |
| D | 2012 wt_hh constant within household (% of households) | 100 | 100 | PASS |
| D | 2012 prov/dist/sector constant within household (% of households) | 100 | 100 | PASS |
| D | 2012 households whose members disagree on urban (head's value used; informational) | 0 |  | n/a |
| D | 2012 household file: urban and head_sex non-missing on every household | 2 | 2 | PASS |
| D | 2022 sum hhsize == ordinary-household person rows | 1,313,015 | 1,313,015 | PASS |
| D | 2022 households == distinct hhid | 331,917 | 331,917 | PASS |
| D | 2022 households with exactly one head (p02 == 1 in the wave's p02 version) | 331,917 | 331,917 | PASS |
| D | 2022 (hhid, pid) unique -- duplicate rows | 0 | 0 | PASS |
| D | 2022 wt_hh constant within household (% of households) | 100 | 100 | PASS |
| D | 2022 prov/dist/sector constant within household (% of households) | 100 | 100 | PASS |
| D | 2022 households whose members disagree on urban (head's value used; informational) | 0 |  | n/a |
| D | 2022 household file: urban and head_sex non-missing on every household | 2 | 2 | PASS |

## E. Cross-year coding compatibility within pooled columns

| section | statistic | Python | reference | result |
|---|---|---:|---:|---|
| E | pooled columns holding years with incompatible value-label texts for the same code, FORCE_ALIGN excluded (must be 0) | 0 | 0 | PASS |
| E | variables split into versions because of value labels or unlabelled ranges (informational) | 0 |  | n/a |
| E | variables with codes observed outside their own year's value labels -- stale labels (informational; listed in merge_alignment.json) | 39 |  | n/a |
| E | forced splits (FORCE_SPLIT entries) | 7 |  | n/a |

**All checks passed.**
12:35:06 03_checks INFO 03_checks done
12:35:07 04_codebook INFO ==== 04_codebook | run 20260905-123453 | python 3.13.5 | pandas 2.2.3 | pyreadstat 1.3.4
12:38:02 04_codebook INFO wrote /Users/matteo/Library/CloudStorage/Dropbox/1-Ongoing Projects/Rwanda - TRS/data/Publicly-Available-NISR/Census-PHC/CODEBOOK_Census.xlsx (2 final-dataset sheets, 0 module files in one sheet, 6745 value-label rows)
12:38:02 04_codebook INFO README.txt updated (/Users/matteo/Library/CloudStorage/Dropbox/1-Ongoing Projects/Rwanda - TRS/data/Publicly-Available-NISR/Census-PHC/README.txt)
