source_text,english
Culture ; maraîchage ; horticulture,Growing of crops; market gardening; horticulture
Culture et élevage associés,Growing of crops combined with farming of animals
"Activités annexes à l'agriculture et à l'élevage, sauf activ","Agricultural and animal husbandry service activities, except veterinary"
"Chasse, piégeage, repeuplement en gibet et activités annexes","Hunting, trapping and game propagation, including related services"
"Sylviculture, exploitation forestière et activités annexes","Forestry, logging and related service activities"
"Pêche, pisciculture, aquaculture et activités annexes","Fishing, fish farming, aquaculture and related services"
Extraction et agglomération de la houille,Mining and agglomeration of hard coal
Extraction et agglomération du lignite,Mining and agglomeration of lignite
Extraction et agglomération de la tourbe,Extraction and agglomeration of peat
Extraction du pétrole brut et du gaz naturel,Extraction of crude petroleum and natural gas
"Activités annexes à l'extraction du pétrole et du gaz, sauf","Service activities incidental to oil and gas extraction, except surveying"
Extraction des minerais d'uranium et de thorium,Mining of uranium and thorium ores
Extraction de minerais de métaux non ferreux autres que l'ur,"Mining of non-ferrous metal ores, except uranium and thorium"
Activités extractives n.c.a.,Other mining and quarrying not elsewhere classified
"Travail des grains, fabrication de produits amylacés et d'al","Manufacture of grain mill products, starches and animal feeds"
Fabrication d'autres produits alimentaires,Manufacture of other food products
Fabrication de produits à base de tabac,Manufacture of tobacco products
"Filature, tissage et finition des textiles","Spinning, weaving and finishing of textiles"
Fabrication d'autres articles textiles,Manufacture of other textiles
Fabrication d'étoffes et d'articles de bonneterie,Manufacture of knitted and crocheted fabrics and articles
Fabrication d'articles d'habillement autres qu'en fourrure,"Manufacture of wearing apparel, except fur apparel"
Préparation et teinture des fourrures ; confection d'article,Dressing and dyeing of fur; manufacture of articles of fur
Apprêt et tannage des cuirs ; fabrication d'article de voyag,Tanning and dressing of leather; manufacture of luggage and handbags
"Fabrication d'articles en bois, liège, vannerie et sparterie","Manufacture of products of wood, cork, straw and plaiting materials"
Imprimerie et activités annexes,Printing and service activities related to printing
Reproduction de supports enregistrés,Reproduction of recorded media
Cokéfaction,Manufacture of coke oven products
Fabrication de produits pétroliers raffinés,Manufacture of refined petroleum products
Traitement des combustibles nucléaires,Processing of nuclear fuel
Fabrication d'autres produits chimiques,Manufacture of other chemical products
Fabrication de fibres synthétiques ou artificielles,Manufacture of man-made fibres
Fabrication d'articles en matières plastiques,Manufacture of plastics products
Fabrication de produits minéraux non métalliques n.c.a.,Manufacture of non-metallic mineral products not elsewhere classified
Sidérurgie et première transformation de l'acier,Manufacture of basic iron and steel
Métallurgie et première transformation des métaux précieux e,Manufacture of basic precious and non-ferrous metals
Construction et menuiserie métalliques ; fabrication de cite,"Manufacture of structural metal products, tanks, reservoirs and steam generators"
Fabrication d'autres ouvrages en métaux ; activités de trava,Manufacture of other fabricated metal products; metal working services
Fabrication de machines d'usage général,Manufacture of general purpose machinery
Fabrication de machines d'usage spécifique,Manufacture of special purpose machinery
"Fabrication de moteurs, génératrices et transformateurs élec","Manufacture of electric motors, generators and transformers"
Fabrication de matériel de distribution et de commandes élec,Manufacture of electricity distribution and control apparatus
