scope,wave,native,clean_name,clean_label,native_label
pooled:Census_pooled_person.dta,2002,a46,census_age_copy_a46_2002,"CENSUS 2002: Age, NISR derived copy A46",Age (NISR derived copy A46)
pooled:Census_pooled_person.dta,2002,agcm,census_age_copy_agcm_2002,"CENSUS 2002: Age, NISR derived copy",Age (NISR derived copy)
pooled:Census_pooled_person.dta,"2002,2012,2022",age,census_age,CENSUS: Age in completed years,Age in years
pooled:Census_pooled_person.dta,2002,age18,census_age_copy_18_2002,"CENSUS 2002: Age, NISR derived copy 18",Age (NISR derived copy 18)
pooled:Census_pooled_person.dta,2002,age19,census_age_copy_19_2002,"CENSUS 2002: Age, NISR derived copy 19",Age (NISR derived copy 19)
pooled:Census_pooled_person.dta,2002,age1_1,census_age_copy_1_1_2002,"CENSUS 2002: Age, NISR derived copy 1-1",Age (NISR derived copy 1-1)
pooled:Census_pooled_person.dta,2002,age26,census_age_copy_26_2002,"CENSUS 2002: Age, NISR derived copy 26",Age (NISR derived copy 26)
pooled:Census_pooled_person.dta,2002,age_5,census_age_copy_5_2002,"CENSUS 2002: Age, NISR derived copy 5","Age (NISR derived copy, 5)"
pooled:Census_pooled_person.dta,2002,agebetween5_17,census_age_5_17_flag_2002,"CENSUS 2002: Flag: aged 5 to 17, NISR derived",Flag: age 5-17 (NISR derived)
pooled:Census_pooled_person.dta,2002,agegrp_nisr,census_age_group_nisr_2002,"CENSUS 2002: Age group 0-5, NISR derived (shipped as Age)","Age group (NISR derived, 0-5; shipped as 'Age')"
pooled:Census_pooled_person.dta,2012,aggroup5,census_age_group_5_years_2012,CENSUS 2012: Five-year age group,Five-Year Age-Group
pooled:Census_pooled_person.dta,"2002,2012,2022",cluster,census_cluster,CENSUS: Sampling cluster or village identifier,Sampling cluster proxy (year_sector)
pooled:Census_pooled_person.dta,2002,collective,census_collective_household,CENSUS 2002: Collective (non-private) household or institution,1 = row belongs to a collective/institutional household (2002 only)
pooled:Census_pooled_person.dta,"2002,2012,2022",dist,census_district,"CENSUS: District, NISR code 11-57","District (11-57, NISR codes)"
pooled:Census_pooled_person.dta,2002,district_code,census_district_shipped_2002,"CENSUS 2002: District code as shipped, three digits","District code (3-digit, as shipped)"
pooled:Census_pooled_person.dta,2002,emploi_exerc,census_occupation_grouped_2002,"CENSUS 2002: Occupation, NISR grouped",Occupation (NISR grouped)
pooled:Census_pooled_person.dta,2002,etat_matri,census_marital_grouped_2002,"CENSUS 2002: Marital status, NISR grouped",Marital status (NISR grouped)
pooled:Census_pooled_person.dta,2012,filter__,census_head_filter_2012,CENSUS 2012: Filter: household head (P02 = 1),P02 = 1 (FILTER)
pooled:Census_pooled_person.dta,2002,fr_quentation,census_attendance_grouped_2002,"CENSUS 2002: School attendance, NISR grouped",School attendance (NISR grouped)
pooled:Census_pooled_person.dta,2002,gpe_age,census_age_group_copy_2002,"CENSUS 2002: Age groups, NISR derived copy","Age (NISR derived copy, groups)"
pooled:Census_pooled_person.dta,2002,grpage5,census_age_group_5_years_2002,"CENSUS 2002: Five-year age group, NISR derived",Five-year age group (NISR derived)
pooled:Census_pooled_person.dta,"2002,2012",h01,census_settlement_2002_2012,CENSUS 2002-2012: Type of housing settlement,Type of Housing
pooled:Census_pooled_person.dta,2022,h01_v2,census_settlement_2022,"CENSUS 2022: Type of settlement, 2022 coding",Type of habitant
pooled:Census_pooled_person.dta,"2002,2012",h02,census_dwelling_type_2002_2012,CENSUS 2002-2012: Type of housing unit,Type of Housing unit
pooled:Census_pooled_person.dta,2022,h02_v2,census_dwelling_type_2022,"CENSUS 2022: Type of building, 2022 coding",Type of Building
pooled:Census_pooled_person.dta,2022,h03,census_tenure_2022,CENSUS 2022: Tenure of the housing unit,Tenure of then housing unit
pooled:Census_pooled_person.dta,2012,h03_v2,census_tenure_2012,CENSUS 2012: Status of occupancy of the house,Status of occupancy of house
pooled:Census_pooled_person.dta,2002,h03_v3,census_roof_material_2002,CENSUS 2002: Roof material,Roof material
pooled:Census_pooled_person.dta,2022,h04,census_owns_housing_unit_2022,CENSUS 2022: Household owns a housing unit in this village or elsewhere,Is this Household has its own housing unit  in this village or elsewhere
pooled:Census_pooled_person.dta,2012,h04_v2,census_roof_material_2012,CENSUS 2012: Roof material,Roof
pooled:Census_pooled_person.dta,2002,h04_v3,census_wall_material_2002,CENSUS 2002: Outer wall material,Outer wall material
pooled:Census_pooled_person.dta,2022,h05,census_roof_material_2022,CENSUS 2022: Main material of the roof,main material used for the roof
pooled:Census_pooled_person.dta,2012,h05_v2,census_wall_material_2012,CENSUS 2012: Wall material,Walls
pooled:Census_pooled_person.dta,2002,h05_v3,census_floor_material_2002,CENSUS 2002: Floor material,Floor material
pooled:Census_pooled_person.dta,2022,h06,census_wall_material_2022,CENSUS 2022: Main material of the walls,main material used for the walls
pooled:Census_pooled_person.dta,2012,h06_v2,census_floor_material_2012,CENSUS 2012: Floor material,Floor
pooled:Census_pooled_person.dta,2002,h06_v3,census_living_rooms_2002,CENSUS 2002: Number of living rooms,Number of living rooms
pooled:Census_pooled_person.dta,2022,h07,census_floor_material_2022,CENSUS 2022: Main material of the floor,main material used for the floor
pooled:Census_pooled_person.dta,2012,h07_v2,census_rooms_2012,CENSUS 2012: Number of rooms,Number of rooms
pooled:Census_pooled_person.dta,2002,h07_v3,census_water_source_2002,CENSUS 2002: Main source of water supply,Main source of water supply
pooled:Census_pooled_person.dta,2022,h08,census_rooms_2022,CENSUS 2022: Number of rooms,Number of rooms
pooled:Census_pooled_person.dta,2012,h08_v2,census_sleeping_rooms_2012,CENSUS 2012: Number of rooms for sleeping,Number of rooms for sleeping
pooled:Census_pooled_person.dta,2002,h08_v3,census_lighting_source_2002,CENSUS 2002: Main source of lighting,Main source of lighting
pooled:Census_pooled_person.dta,2022,h09,census_sleeping_rooms_2022,CENSUS 2022: Number of rooms used for sleeping,number of rooms are used for sleeping
pooled:Census_pooled_person.dta,2012,h09_v2,census_occupants_2012,CENSUS 2012: Number of occupants,Number of occupants
pooled:Census_pooled_person.dta,2002,h09_v3,census_cooking_energy_2002,CENSUS 2002: Main cooking energy,Main cooking energy
pooled:Census_pooled_person.dta,2022,h10,census_rooms_boys_girls_2022,CENSUS 2022: Sleeping rooms for boys separated from those for girls,Are Sleeping rooms  for Boys separated from those for Girls
pooled:Census_pooled_person.dta,2012,h10_v2,census_water_source_2012,CENSUS 2012: Main source of water,Main source of water
pooled:Census_pooled_person.dta,2002,h10_v3,census_toilet_facility_2002,CENSUS 2002: Main toilet facility,Main toilet facility
pooled:Census_pooled_person.dta,2002,h100,census_household_type_2002,CENSUS 2002: Household type: 100 = ordinary household,Household type (100 = ordinary household)
pooled:Census_pooled_person.dta,2002,h101,census_questionnaire_serial_2002,CENSUS 2002: Questionnaire serial number in the household,Questionnaire serial number in household
