variable,label,type,value_labels,n_value_labels,n_2011,n_2014,n_2017,n_2020,n_2023,source_by_year,version_years,other_versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,127662,77151,190288,232283,269326,,,,,
year,Census year,int16,"1=1900-1949, 2=1950-1999, 3=2000-2004, 4=2005-2009, 5=2010-2011, 9=NS",6,127662,77151,190288,232283,269326,,,,,
wave,Wave (census year),string,,0,127662,77151,190288,232283,269326,,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Estern Province",5,127662,77151,190288,232146,269326,2011: id1; 2014: id1; 2017: q1_1; 2020: q1_1; 2023: q1_1,,,,
dist,"District (11-57, NISR codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,127662,77151,190288,232283,269326,2011: districts_names (NISR 101-507 codes -> 11-57); 2014: id2; 2017: q1_2; 2020: q1_2; 2023: q1_2,,,,
sector,"Sector (1101-5715, NISR codes; 2011 and 2014 only)",int16,"1101=Gitega, 1102=Kanyinya, 1103=Kigali, 1104=Kimisagara, 1105=Mageregere, 1106=Muhima …",416,127041,77151,0,0,0,2011: s003 (sector name) matched to NISR codes within district; unmatched names -> missing; 2014: id3,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,127662,77151,190288,232283,269326,"2011: u_r recoded (2011 codes 1 rural, 2 urban -> key block 1 urban, 2 rural; u_r kept); 2014: u_r recoded (2014 codes 1 rural, 2 urban -> key block 1 urban, 2 rural; u_r kept); 2017: q1_5_1; 2020: q1_5_1; 2023: q1_5_1",,,,
estid,"Establishment id (NISR key where shipped, else year*1e6 + row number)",double,,0,127662,77151,190288,232283,269326,2011: key; 2014: key; 2017: year*1e6 + row number (no establishment id shipped); 2020: year*1e6 + row number (no establishment id shipped); 2023: year*1e6 + row number (no establishment id shipped),,,,
wt,Weight (1 for full enumerations; NISR final sampling weight in 2014),double,,0,127662,77151,190288,232283,269326,2011: 1 (full enumeration); 2014: sampleweight_final_; 2017: 1 (full enumeration); 2020: 1 (full enumeration); 2023: 1 (full enumeration),,,,
key,Unique identifier of establishment,double,,0,127662,77151,0,0,0,,,,2011: Unique Identifier,
id2,DISTRICT,int8,,0,127662,0,0,0,0,,,,,
id3,SECTOR,int8,,0,127662,0,0,0,0,,,,,
cell_seq_2011,"2011 cell sequence within sector (ID4, as shipped)",int8,,0,127662,0,0,0,0,,,,,
village_seq_2011,"2011 village sequence within cell (ID5, as shipped)",int8,,0,127662,0,0,0,0,,,,,
id6,SERIAL NUMBER WITHIN THE VILLAGE,int16,,0,127662,0,0,0,0,,,,,
s001,Name of Province,string,,0,127662,77151,190288,232283,269326,,,,,
s002,Name of District,string,,0,127662,77151,190288,232283,269326,,,,,
s003,Name of Sector,string,,0,127662,77151,190288,232283,269326,,,,,
id10,GENDER OF MANAGER,int8,"1=Male, 2=Female, 9=Unknown",3,127662,0,0,0,0,,,,,
s03,WORKING PLACE,int8,"1=Within agromelated site (market), 2=Outside agromelated site, 9=Missing",3,127662,0,0,0,0,,,,,
s04,WORKING STATUS,int8,"1=Working, 2=Closed Temporally, 3=Closed permanently, 4=Refusing, 9=Missing",5,127662,0,0,0,0,,,,,
s05,SECTOR,int8,"1=Household sector, 2=Private sector, 3=Public sector, 4=Mixed sector, 5=Cooperative, 6=Private education institution …",10,123526,0,0,0,0,,,,,
s06,OWNERSHIP,int8,"1=Rwandan, 2=Foreign(East African Community), 3=Foreign(Other African countries), 4=Foreign(Asian countries), 5=Foreign(Other countries), 6=Joint(Rwandan+East African Community) …",12,127662,0,0,0,0,,,,,
s07,YEAR OF STARTING OPERATION,int16,,0,123526,0,0,0,0,,,,,
s08b,ISIC CODE,int32,"111=Growing of cereals, leguminus crops and oil seeds, 112=Growing of rice, 113=Growing of vegetables and melons, roots and tubers, 114=Growing of sugar cane, 115=Growing of tobacco, 116=Growing of fibre crops …",434,127662,0,0,0,0,,,,,
isic_level1,ISIC_LEVEL1_MAIN ACTIVITY,int8,"1=Agriculture, forestry and fishing, 2=Mining and quarrying, 3=Manufacturing, 4=Electricity, gas, steam and air conditioning supply, 5=Water supply, sewage,waste management and remiation activities, 6=Construction …",22,127662,0,0,0,0,,,,,
s09,LEGAL STATUS,int8,"1=Sole proprietorship, 2=Limited by shares, 3=Limited by guarantee, 4=Limited by shares and by guarantee, 5=Unlimited, 6=Others …",8,127662,0,0,0,0,,,,,
s92,Is the owner of the establishment its manager,int8,"1=Yes, 2=No",2,112169,0,0,0,0,,,,,
s91,Gender of owner,int8,"1=Male, 2=Female",2,6588,0,0,0,0,,,,,
s10a,Social Security Fund,int8,"1=Yes, 2=No, 8=not apllicable, 9=NS",4,123526,0,0,0,0,,,,,
s10b,Rwanda Revenue Authority,int8,"1=Yes, 2=No, 8=not applicable, 9=NS",4,123526,0,0,0,0,,,,,
s10c,Rwanda Development Board,int8,"1=Yes, 2=No, 8=not applicable, 9=not stated",4,123526,0,0,0,0,,,,,
s10f,Rwanda cooperative Agency,int8,"1=Yes, 2=No, 9=NS",3,123439,0,0,0,0,,,,,
s10d,District,int8,"1=Yes, 2=No, 8=not applicable, 9=not stated",4,123526,0,0,0,0,,,,,
s10e,Sector,int8,"1=Yes, 2=No, 8=not applicable, 9=not stated",4,123526,0,0,0,0,,,,,
psf,PSF,int8,"1=Yes, 2=No, 8=not applicable, 9=not stated",4,123526,0,0,0,0,,,,,
s10g,Other GoR Agencies,int8,"1=Yes, 2=No",2,123438,0,0,0,0,,,,,
s11a,VAT,int8,"1=Yes, 2=No",2,13878,0,0,0,0,,,,,
s11b,TPR,int8,"1=Yes, 2=No",2,13878,0,0,0,0,,,,,
s11c,Income tax,int8,"1=Yes, 2=No",2,13878,0,0,0,0,,,,,
s12,DOES THE ESTABLISHMENT MAINTAIN REGULAR OPERATIONAL ACCOU,int8,"1=Yes, 2=No, 8=not applicable, 9=NS",4,127662,0,0,0,0,,,,,
s13,EMPLOYED CAPITAL,double,,0,123488,0,0,0,0,,,,,
s14a,Without qualification R_P_M (Rwandan Permanent Male),int16,,0,123526,0,0,0,0,,,,,
s14b,Without qualification R_P_F (Rwandan Permanent Female),int16,,0,123526,0,0,0,0,,,,,
s14c,Without qualificationR_T_M (Rwandan Tatal male),int16,,0,123526,0,0,0,0,,,,,
s14d,Without qualificationR_T_F,int16,,0,123526,0,0,0,0,,,,,
s14e,Without qualificationN_R_P_M (Non-Rwandan Permanent Male),int8,,0,123526,0,0,0,0,,,,,
s14f,Without qualificationN_R_P_F,int8,,0,123526,0,0,0,0,,,,,
s14g,Without qualificationN_R_T_M,int8,,0,123526,0,0,0,0,,,,,
