# EC checks report

Generated by 03_checks.py.

## A. Pooled file vs raw files as shipped

| section | statistic | Python | reference | result |
|---|---|---:|---:|---|
| A | 2011 rows | 127,662 | 127,662 | PASS |
| A | 2014 rows | 77,151 | 77,151 | PASS |
| A | 2017 rows | 190,288 | 190,288 | PASS |
| A | 2020 rows | 232,283 | 232,283 | PASS |
| A | 2023 rows | 269,326 | 269,326 | PASS |

## B. Stata 17 recomputation from the written .dta file

| section | statistic | Python | Stata | result |
|---|---|---:|---:|---|
| B | 2011 rows | 127,662 | 127,662 | PASS |
| B | 2011 sum wt | 127,662 | 127,662 | PASS |
| B | 2011 urban establishments | 55,292 | 55,292 | PASS |
| B | 2011 districts | 30 | 30 | PASS |
| B | 2014 rows | 77,151 | 77,151 | PASS |
| B | 2014 sum wt | 154,236 | 154,236 | PASS |
| B | 2014 urban establishments | 29,241 | 29,241 | PASS |
| B | 2014 districts | 30 | 30 | PASS |
| B | 2017 rows | 190,288 | 190,288 | PASS |
| B | 2017 sum wt | 190,288 | 190,288 | PASS |
| B | 2017 urban establishments | 75,449 | 75,449 | PASS |
| B | 2017 districts | 30 | 30 | PASS |
| B | 2017 total workers | 616,737 | 616,737 | PASS |
| B | 2020 rows | 232,283 | 232,283 | PASS |
| B | 2020 sum wt | 232,283 | 232,283 | PASS |
| B | 2020 urban establishments | 93,622 | 93,622 | PASS |
| B | 2020 districts | 30 | 30 | PASS |
| B | 2020 total workers | 705,965 | 705,965 | PASS |
| B | 2023 rows | 269,326 | 269,326 | PASS |
| B | 2023 sum wt | 269,326 | 269,326 | PASS |
| B | 2023 urban establishments | 135,373 | 135,373 | PASS |
| B | 2023 districts | 30 | 30 | PASS |

## C. Against NISR published EC totals

| section | statistic | Python | published | result |
|---|---|---:|---:|---|
| C | 2011 establishments enumerated (2014 project document: 127,662) | 127,662 | 127,662 | PASS |
| C | 2011 operating establishments (report: 123,526) | 122,391 | 123,526 | PASS |
| C | 2014 weighted establishments (report: 154,236) | 154,236 | 154,236 | PASS |
| C | 2017 establishments (report: 190,288) | 190,288 | 190,288 | PASS |
| C | 2020 establishments (report: 232,283) | 232,283 | 232,283 | PASS |

**All checks passed.**
