scope,wave,native,clean_name,clean_label,native_label
pooled:EC_pooled_establishment.dta,2014,a29b,ec_pays_tpr_paye_2014,EC 2014: Pays TPR / PAYE,TPR/PAYE
pooled:EC_pooled_establishment.dta,2014,ao2,ec_owner_age_group_derived_2014,"EC 2014: Age group of the owner (14-35, 36 and over), NISR derived",Age of owner
pooled:EC_pooled_establishment.dta,2011,cell_seq_2011,ec_cell_sequence_2011,EC 2011: Cell sequence within the sector as shipped,"2011 cell sequence within sector (ID4, as shipped)"
pooled:EC_pooled_establishment.dta,"2011,2014,2017,2020,2023",dist,ec_district,"EC: District, NISR code 11-57","District (11-57, NISR codes)"
pooled:EC_pooled_establishment.dta,2011,districts_names,ec_district_code_shipped_2011,EC 2011: District code as shipped by NISR (101-507 scheme),District names
pooled:EC_pooled_establishment.dta,2011,est_size2,ec_size_class_derived_2011,"EC 2011: Size class by number of workers, NISR derived",Size of establishment based on number of workers
pooled:EC_pooled_establishment.dta,"2011,2014,2017,2020,2023",estid,ec_establishment_id,EC: Establishment identifier,"Establishment id (NISR key where shipped, else year*1e6 + row number)"
pooled:EC_pooled_establishment.dta,"2017,2020,2023",female_worker,ec_female_workers,EC 2017-2023: Number of female workers,Total FEMALE staff
pooled:EC_pooled_establishment.dta,"2014,2017,2020,2023",fi,ec_formal_informal_derived,"EC 2014-2023: Formal or informal establishment, NISR derived",Formal and Informal enterprises
pooled:EC_pooled_establishment.dta,2011,fi_1,ec_formality_three_criteria_2011,"EC 2011: Formal or informal by registration, accounts and size, NISR derived","Formal_Informal based on registration, keeping account and size"
pooled:EC_pooled_establishment.dta,2011,fi_2,ec_formality_two_criteria_2011,"EC 2011: Formal or informal by registration and accounts, NISR derived",Formality based on registration and keeking account
pooled:EC_pooled_establishment.dta,"2017,2020,2023",foregner_workers,ec_foreign_workers,EC 2017-2023: Number of non-Rwandan workers,Total number of Foreigner staff
pooled:EC_pooled_establishment.dta,"2017,2020,2023",foreign_female,ec_foreign_female_workers,EC 2017-2023: Number of non-Rwandan female workers,Number of FEMALE Foreigner staff
pooled:EC_pooled_establishment.dta,"2017,2020,2023",foreign_male,ec_foreign_male_workers,EC 2017-2023: Number of non-Rwandan male workers,Number of MALE Foreigner staff
pooled:EC_pooled_establishment.dta,2011,geo_conflict_2011,ec_district_name_conflict_2011,EC 2011: District code disagreed with the district name; the names were used,2011: 1 = the numeric district code (Districts_names) disagreed with the district NAME (S002); district and sector taken from the names (622 establishments)
pooled:EC_pooled_establishment.dta,2011,id10,ec_manager_sex_2011,EC 2011: Sex of the manager,GENDER OF MANAGER
pooled:EC_pooled_establishment.dta,2011,id2,ec_district_sequence_2011,EC 2011: District sequence number within the province as shipped,DISTRICT
pooled:EC_pooled_establishment.dta,2011,id3,ec_sector_sequence_2011,EC 2011: Sector sequence number within the district as shipped,SECTOR
pooled:EC_pooled_establishment.dta,2011,id6,ec_serial_in_village_2011,EC 2011: Serial number of the establishment within the village,SERIAL NUMBER WITHIN THE VILLAGE
pooled:EC_pooled_establishment.dta,2014,inclusionprobability_1_,ec_inclusion_probability_2014,EC 2014: Inclusion probability of the establishment in the sample,Inclusion (Selection) Probability for Stage 1
pooled:EC_pooled_establishment.dta,2011,isic1_comp,ec_isic_section_comparable_2011,"EC 2011: ISIC section recoded for comparison with 2014, NISR derived",ISIC for comparison with 2014
pooled:EC_pooled_establishment.dta,2014,isic1q6b,ec_main_activity_section_2014,"EC 2014: Main economic activity, ISIC section (one digit)",MAIN ECONOMIC ACTIVITY_1 DIGIT
pooled:EC_pooled_establishment.dta,2014,isic1q7b,ec_second_activity_section_2014,"EC 2014: Secondary economic activity, ISIC section (one digit)",SECONDARY ECONOMIC ACTIVITY_1 DIGIT
pooled:EC_pooled_establishment.dta,2011,isic_fl_ent,ec_isic_section_2011,"EC 2011: ISIC section (one digit), NISR variable isic_fl_ent",ISIC _1DIGIT
pooled:EC_pooled_establishment.dta,2011,isic_level1,ec_main_activity_section_2011,"EC 2011: Main activity ISIC section, NISR variable isic_level1",ISIC_LEVEL1_MAIN ACTIVITY
pooled:EC_pooled_establishment.dta,"2011,2014",key,ec_nisr_establishment_key,EC 2011-2014: NISR establishment key as shipped (2011 and 2014),Unique identifier of establishment
pooled:EC_pooled_establishment.dta,"2017,2020,2023",male_worker,ec_male_workers,EC 2017-2023: Number of male workers,Total MALE  staff
pooled:EC_pooled_establishment.dta,2014,new_sector,ec_inst_sector_derived_2014,"EC 2014: Institutional sector, NISR derived",Created institutional sector
pooled:EC_pooled_establishment.dta,2011,no_detail_employ,ec_employees_without_details,EC 2011: Employees without details,Employees without details
pooled:EC_pooled_establishment.dta,2017,owner,ec_owner_sex_derived_2017,"EC 2017: Sex of the owner, NISR derived variable named owner",Owner of establishment
pooled:EC_pooled_establishment.dta,"2017,2020",owner_age,ec_owner_age_derived_2017_2020,"EC 2017-2020: Age of the owner, NISR derived",Age of owner
pooled:EC_pooled_establishment.dta,2023,owner_age_v2,ec_owner_age_2023,"EC 2023: Age of the owner, questionnaire item Q14",Q14 Age of the owner
pooled:EC_pooled_establishment.dta,2011,owner_gender,ec_owner_sex_derived_2011,"EC 2011: Sex of the owner, NISR derived",Gender of owner
pooled:EC_pooled_establishment.dta,"2017,2020,2023",owner_sex,ec_owner_sex_derived,"EC 2017-2023: Sex of the owner, NISR derived",Sex of owner of establishment
pooled:EC_pooled_establishment.dta,"2011,2014,2017,2020,2023",prov,ec_province,"EC: Province, NISR code 1-5","Province (1-5, NISR codes)"
pooled:EC_pooled_establishment.dta,2020,prov_derived,ec_province_derived,EC 2020: Province derived from the district code where missing,1 = province was missing in the file and derived as district // 10 (2020: 137 establishments)
pooled:EC_pooled_establishment.dta,2011,psf,ec_member_psf_2011,EC 2011: Member of the Private Sector Federation (PSF),PSF
pooled:EC_pooled_establishment.dta,"2017,2020,2023",q10,ec_legal_status_2017_2023,EC 2017-2023: Legal status,Q10 Legal status
pooled:EC_pooled_establishment.dta,2014,q10_v2,ec_mixed_sector_category_2014,EC 2014: Category of mixed-sector establishment,CATEGORIES OF MIXED SECTOR
pooled:EC_pooled_establishment.dta,"2017,2020,2023",q11,ec_management_2017_2023,EC 2017-2023: Management completely separated from the household,Q11 Is the management of establishment completely separated from the household m
pooled:EC_pooled_establishment.dta,2014,q11_v2,ec_owner_nationality_2014,EC 2014: Nationality of the owners,NATIONALITY OF OWNERS
pooled:EC_pooled_establishment.dta,"2017,2020,2023",q12,ec_owner_is_manager_2017_2023,EC 2017-2023: The owner is also the manager,Q12 Is the owner of the establishment its manager?
pooled:EC_pooled_establishment.dta,2014,q12_v2,ec_legal_status_2014,EC 2014: Legal status,LEGAL STATUS
pooled:EC_pooled_establishment.dta,"2017,2020,2023",q13,ec_owner_sex_2017_2023,EC 2017-2023: Sex of the owner,Q13 Sex of the owner
pooled:EC_pooled_establishment.dta,2014,q13_v2,ec_management_separated_2014,EC 2014: Management completely separated from the household,IS THE MANAGEMENT OF ESTABLISHMENT COMPLETELY SEPARATED FROM THE HH. MANAGEM
pooled:EC_pooled_establishment.dta,"2017,2020",q14,ec_owner_age_2017_2020,EC 2017-2020: Age of the owner,Q14 Age of the owner
pooled:EC_pooled_establishment.dta,2014,q14_v2,ec_owner_is_manager_2014,EC 2014: The owner is also the manager,IS THE OWNER OF THE ESTABLISHMENT ITS MANAGER
pooled:EC_pooled_establishment.dta,2014,q15,ec_owner_sex_2014,EC 2014: Sex of the owner,THE SEX OF OWNER
pooled:EC_pooled_establishment.dta,"2017,2020,2023",q15_1,ec_regular_accounts,EC 2017-2023: Keeps regular accounts,Q15.1 Does the establishment maintain regular accounts?
pooled:EC_pooled_establishment.dta,"2017,2020,2023",q15_2,ec_books_used,EC 2017-2023: Type of books used,Q15.2 Which of the following books is used
pooled:EC_pooled_establishment.dta,"2017,2020,2023",q15_2a,ec_books_ledgers,EC 2017-2023: Books used: ledgers,Q15_2A Ledgers
pooled:EC_pooled_establishment.dta,"2017,2020,2023",q15_2b,ec_books_journals,EC 2017-2023: Books used: journals,Q15_2B Journals
pooled:EC_pooled_establishment.dta,"2017,2020,2023",q15_2c,ec_books_balance_sheet,EC 2017-2023: Books used: balance sheet,Q15_2C Balance sheet
pooled:EC_pooled_establishment.dta,"2017,2020,2023",q15_2d,ec_books_income_statement,EC 2017-2023: Books used: income statement (profit and loss),Q15_2D Income statement (Profit and loss account)
pooled:EC_pooled_establishment.dta,"2017,2020,2023",q15_2e,ec_books_invoices,EC 2017-2023: Books used: invoices,Q15_2E Invoice
pooled:EC_pooled_establishment.dta,"2017,2020,2023",q16,ec_establishment_type_2017_2023,"EC 2017-2023: Establishment type: head office, single unit, branch",Q16 Establishment type
pooled:EC_pooled_establishment.dta,2014,q16_v2,ec_owner_age_2014,EC 2014: Age of the owner,AGE OF OWNER
pooled:EC_pooled_establishment.dta,2014,q17,ec_regular_accounts_2014,EC 2014: Keeps regular accounting,DOES THE ESTABLISHMENT MAINTAIN REGULAR ACCOUNTING?
pooled:EC_pooled_establishment.dta,"2017,2020,2023",q17_2,ec_branches_rwanda,EC 2017-2023: Number of branches in Rwanda including the head office,Q17.2 Total number of branches in rwanda including the head office
pooled:EC_pooled_establishment.dta,"2017,2020,2023",q17_3,ec_persons_all_branches,"EC 2017-2023: Persons working in all branches in Rwanda, head office included",Q17.3 Total number of working persons in all branches in rwanda including the he
pooled:EC_pooled_establishment.dta,2014,q18,ec_establishment_type_2014,"EC 2014: Establishment type: head office, single unit, branch",ESTABLISHMENT TYPE
pooled:EC_pooled_establishment.dta,2014,q19,ec_branches_rwanda_2014,EC 2014: Number of branches in Rwanda including the head office,TOTAL NUMBER OF BRANCHES IN RWANDA INCLUDING THE HEAD OFFICE
pooled:EC_pooled_establishment.dta,"2014,2017,2020,2023",q2,ec_working_place,EC 2014-2023: Working place of the establishment,Q2. Working place
pooled:EC_pooled_establishment.dta,"2017,2020",q20,ec_annual_turnover_2017_2020,"EC 2017-2020: Annual total turnover in the previous year, bracket",Q20. Annual total turnover in 2019
pooled:EC_pooled_establishment.dta,2023,q20_v2,ec_annual_total_turnover_2023,EC 2023: Annual total turnover in 2022,Q20. Annual total turnover in 2022
pooled:EC_pooled_establishment.dta,2014,q20_v3,ec_persons_all_branches_2014,"EC 2014: Persons working in all branches in Rwanda, head office included",TOTAL NUMBER OF WORKING PERSONS IN ALL BRANCHES IN RWANDA INCLUDING THE HEAD
pooled:EC_pooled_establishment.dta,"2017,2020",q21,ec_capital_employed_2017_2020,"EC 2017-2020: Current employed capital, bracket in Rwandan francs",Q21. Current employed capital
pooled:EC_pooled_establishment.dta,2023,q21_v2,ec_current_employed_capital_2023,EC 2023: Current employed capital,Q21. Current employed capital
pooled:EC_pooled_establishment.dta,2014,q21a1,ec_rwandan_workers_2014,"EC 2014: Rwandan workers, total",Rwandan Total
pooled:EC_pooled_establishment.dta,2014,q21a2,ec_rwandan_male_workers_2014,"EC 2014: Rwandan workers, male",Rwandan Male
