variable,label,type,value_labels,n_value_labels,n_2006,n_2009,n_2012,n_2015,n_2018,n_2021,n_2024,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,2059,7819,4601,4058,6736,5776,4715,,,,
year,Survey year,int16,,0,2059,7819,4601,4058,6736,5776,4715,,,,
wave,Wave (survey year),string,,0,0,0,0,0,0,0,0,,,,
unit,"Unit of the file (household, woman, child, village)",string,,0,2059,7819,4601,4058,6736,5776,4715,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,2059,7819,4601,4058,6736,5776,4715,,,,
dist,"District (11-57, NISR codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,2059,7819,4601,4058,6736,5776,4715,,,,
sector,"Sector (1101-5715, NISR codes; where shipped)",int16,,0,2059,0,4601,4058,0,0,0,,,,
urban,"Area of residence (1 urban, 2 rural; where shipped)",int8,"1=Urban, 2=Rural",2,0,0,567,4058,6736,5776,4715,,,,
cluster,Village / cluster id (as shipped),string,,0,2059,7819,4601,4058,6736,5776,4715,,,,
hhid,Household id (unique within wave; composite string in 2009),string,,0,2059,7819,4601,4058,6736,5776,4715,,,,
wt,"Household weight as shipped (see DECISIONS: normalised in 2006/2012, none in 200",double,,0,2059,0,4601,4058,6736,5776,4715,,,,
id04,,int8,,0,2059,0,0,0,0,0,0,,,,
fez,FEZ,int8,"1=Eastern Agropastoral, 2=Muvumba Agro, 3=Eastern Curve, 4=Buganza-Gisaka Plateau, 5=Bugesera …",12,2059,0,0,0,0,0,0,,,,
constant,Constant,int8,1=National,1,2059,0,0,0,0,0,0,,,,
id04a,Names of old province,string,,0,2059,7819,4601,4058,6736,5776,4715,,,,
childidn,ChildIDNo,double,,0,2059,0,0,0,0,0,0,,,,
s131o,S131O,int8,,0,2059,0,0,0,0,0,0,,,,
s131a,S131A,string,,0,2059,7819,4601,4058,6736,5776,4715,,,,
s131b,S131B,int8,,0,2059,0,0,0,0,0,0,,,,
s132a,S132A,int8,,0,2003,0,0,0,0,0,0,,,,
s132b,S132B,int8,,0,2025,0,0,0,0,0,0,,,,
s132c,S132C,int8,,0,2027,0,0,0,0,0,0,,,,
s133,S133,int8,,0,1955,0,0,0,0,0,0,,,,
s134,S134,int16,,0,1965,0,0,0,0,0,0,,,,
s135,S135,int8,,0,1931,0,0,0,0,0,0,,,,
s136,S136,int8,,0,2051,0,0,0,0,0,0,,,,
s137,S137,int8,,0,1991,0,0,0,0,0,0,,,,
s138,S138,int8,,0,1735,0,0,0,0,0,0,,,,
s139,S139,int8,,0,1698,0,0,0,0,0,0,,,,
s1310,S1310,int8,,0,1726,0,0,0,0,0,0,,,,
s1311,S1311,int8,,0,1586,0,0,0,0,0,0,,,,
s1312h,S1312H,int16,,0,1592,0,0,0,0,0,0,,,,
s1312d,S1312D,int8,,0,1506,0,0,0,0,0,0,,,,
s1312e,S1312E,int8,,0,1608,0,0,0,0,0,0,,,,
s1313,S1313,int8,,0,1691,0,0,0,0,0,0,,,,
s1314,S1314,int8,,0,1458,0,0,0,0,0,0,,,,
s1315,S1315,int8,,0,919,0,0,0,0,0,0,,,,
s1318,S1318,int8,,0,762,0,0,0,0,0,0,,,,
s1320,S1320,int8,,0,726,0,0,0,0,0,0,,,,
s1321,S1321,int8,,0,723,0,0,0,0,0,0,,,,
s1322,S1322,int8,,0,1283,0,0,0,0,0,0,,,,
s1323,S1323,int8,,0,1889,0,0,0,0,0,0,,,,
s1324,S1324,double,,0,1995,0,0,0,0,0,0,,,,
s1325,S1325,int8,,0,1973,0,0,0,0,0,0,,,,
s1326,S1326,int8,,0,1481,0,0,0,0,0,0,,,,
s1327,S1327,double,,0,2016,0,0,0,0,0,0,,,,
s1327cor,S1327Cor,double,,0,2040,0,0,0,0,0,0,,,,
scaletyp,Scale 1=Solar/2=Analoge,int8,,0,2059,0,0,0,0,0,0,,,,
fldwhofl,fldWHOFlag,int8,,0,1859,0,0,0,0,0,0,,,,
fldwhowh,fldWHOWHZ - Wasting,double,,0,975,0,0,0,0,0,0,,,,
fldwhoha,fldWHOHAZ - Stunting,double,,0,1540,0,0,0,0,0,0,,,,
fldwhowa,fldWHOWAZ - Underweight,double,,0,779,0,0,0,0,0,0,,,,
waste,Wasting Categories,int8,"-3=Severely Wasted, -2=Wasted, 0=Not Wasted",3,975,0,0,0,0,0,0,,,,
stunt,Stunting Categories,int8,"-3=Severely Stunted, -2=Stunted, 0=Not Stunted",3,1540,0,0,0,0,0,0,,,,
underw,Underweight categories,int8,"-3=Severely Stunted, -2=Underweight, 0=Not Underweight",3,779,0,0,0,0,0,0,,,,
id2,Akarere,int8,,0,0,7819,0,0,0,0,0,,,,
id4,Umurenge,int8,,0,0,7819,0,0,0,0,0,,,,
id5,Akagari,int8,,0,0,7819,0,0,0,0,0,,,,
id7,Numero y'urugo,int8,,0,0,7819,0,0,0,0,0,,,,
ns,No,int8,,0,0,7819,0,0,0,0,0,,,,
s13q1a0,13.1. Ese kuri ubu uracyonsa ?,int8,"1=Yego, 2=Oya",2,0,7783,0,0,0,0,0,,,,
s13q1a,13.1a.Izina (buri mubare uhwanye n'ikirango cya nyina w'umwa,int8,0=,1,0,7783,0,0,0,0,0,,,,
s13q1b,13.1b.N° za nyina w'umwana,int8,"8=Ntiyabonetse mu kiganiro, 9=Yitabye imana",2,0,7783,0,0,0,0,0,,,,
s13q1c,13.2.Itariki y'amavuko   Umunsi,int8,,0,0,7363,0,0,0,0,0,,,,
s13q1d,13.2.Itariki y'amavuko   Ukwezi,int8,,0,0,7358,0,0,0,0,0,,,,
s13q1e,13.2.Itariki y'amavuko   Umwaka,int8,0=,1,0,7360,0,0,0,0,0,,,,
s13q3,13.3.Ukwezi yavutsemo,int8,,0,0,484,0,0,0,0,0,,,,
s13q4,13.4.Umwaka yavutseho,int16,,0,0,487,0,0,0,0,0,,,,
s13q5,13.5.Imyaka y'umwana (mu mezi),int8,,0,0,512,0,0,0,0,0,,,,
s13q6,13.6.Igitsina,int8,"1=GABO, 2=GORE",2,0,7783,0,0,0,0,0,,,,
s13q7,13.7.Ni wowe ubyara,int8,"1=Yego, 2=Oya",2,0,7783,0,0,0,0,0,,,,
s13q8,13.8.Hari ubwo wigeze wonsa ?,int8,"1=Yego, 2=Oya",2,0,7364,0,0,0,0,0,,,,
s13q9,13.9.Wonkeje nyuma y'igihe kingana iki ukimara kubyara ?   A,int8,"0=Munsi y'isaha, 99=Ntabizi",2,0,7194,0,0,0,0,0,,,,
s13q9a,13.9.Wonkeje nyuma y'igihe kingana iki ukimara kubyara ?   I,int8,,0,0,7194,0,0,0,0,0,,,,
s13q10,13.10.Mu mezi 6 umaze kubyara waba hari icyo wamuhaye cyo ku,int8,"0=Oya, 1=Yego, 2=Ntabizi",3,0,7194,0,0,0,0,0,,,,
s13q11,13.11.Uracyamwonsa,int8,"1=Yego, 2=Oya",2,0,7194,0,0,0,0,0,,,,
s13q12,13.12.Ni kangahe waraye wonkeje kuva nimugoroba izuba rirenz,int8,,0,0,3548,0,0,0,0,0,,,,
s13q13,13.13.Ni inshuro nzigahe wonkeje ejo umunsi wose,int8,,0,0,3548,0,0,0,0,0,,,,
s13q14,13.14.Ejo hashize cg mu ijoro ryakeye haba hari icyo yanywey,int8,"1=Yego, 2=Oya, 9=Ntabizi",3,0,7783,0,0,0,0,0,,,,
