variable,label,type,value_labels,n_value_labels,n_2009,n_2012,n_2018,n_2021,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,427,748,987,900,,,,
year,Survey year,int16,,0,427,748,987,900,,,,
wave,Wave (survey year),string,,0,3062,3062,3062,3062,,,,
unit,"Unit of the file (household, woman, child, village)",string,,0,427,748,987,900,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,427,748,987,900,,,,
dist,"District (11-57, NISR codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,427,748,987,900,,,,
sector,"Sector (1101-5715, NISR codes; where shipped)",int16,,0,0,748,987,0,,,,
urban,"Area of residence (1 urban, 2 rural; where shipped)",int8,"1=Urban, 2=Rural",2,0,0,0,900,,,,
cluster,Village / cluster id (as shipped),string,,0,427,748,987,900,,,,
id2,AKARERE,int8,,0,427,0,0,0,,,,
id4,UMURENGE,int8,,0,427,0,0,0,,,,
id5,AKAGARI,int8,,0,427,0,0,0,,,,
s00d,Intara,string,,0,427,748,987,900,,,,
s00e,Akarere,string,,0,427,748,987,900,,,,
s00f,Umurenge,string,,0,427,748,987,900,,,,
q1,1 - Kuva mu 2006 haba hari ubantu baje gutura aha cyangwa bi,int8,"1=Haje benshi, 2=Hagiye benshi, 3=Barangana, 4=Nta byabaye",4,427,0,0,0,,,,
q1a,Ni ubuhe buryo bw'imiturire buri muri aka kagari,int8,"1=Imidugudu, 2=Urusisiro, 3=Isambu ye",3,427,0,0,0,,,,
q21,2.1 - Muri aka kagari hari ikigo cy'amashuri abanza gikora,int8,"1=Yego, 2=Oya",2,427,0,0,0,,,,
q22,"2.2 - Niba ntacyo,kugera ku mashuri abanza abegereye harimo",double,,0,44,0,0,0,,,,
q23,2.3 - Muri aka kagari hari amashuri yisumbuye akora,int8,"1=Yego, 2=Oya",2,427,0,0,0,,,,
q24,2.4 - Niba ntayo kugera ku mashuri y'isumbuye abegereye  har,double,,0,252,0,0,0,,,,
q25,2.5 - Muri aka kagari hari ivuriro ritoya rikora muri aka ka,int8,"1=Yego, 2=Oya",2,427,0,0,0,,,,
q26,2.6 - Hari urugendo rungana iki kugera iki kugera ku ivuriro,double,,0,302,0,0,0,,,,
q27,2.7 - Umuhanda muto ubegereye waba uri ku ntera ingana iki u,double,,0,427,0,0,0,,,,
q28,2.8 - Umuhanda munini ubegereye waba uri kuntera ingana iki,double,,0,427,0,0,0,,,,
q29,2.9 - Haba hari isoko ry'ibiribwa rirema buri munsi muri aka,int8,"1=Yego, 2=Oya",2,427,0,0,0,,,,
q210,2.10 - Haba hari isoko ry'ibiribwa ritarema buri munsi muri,int8,"1=Yego, 2=Oya",2,426,0,0,0,,,,
q211,2.11 - Ni igihe kingana iki mukoresha kugera ku isoko ribege,double,,0,415,0,0,0,,,,
q212,2.12 - Ni igihe kingana iki mukoresha kugera ku isoko ribege,double,,0,426,0,0,0,,,,
filename,Filename,string,,0,427,748,987,900,,,,
strata_id,Strata,int8,,0,0,748,0,0,,,,
vup_levl,VUP level,int8,,0,0,748,0,0,,,,
v_code,Village,int32,,0,0,748,0,0,,,,
urb,Urban status,int8,"1=Urban, 2=Rural, 3=Semi urban",3,0,748,0,0,,,,
q00_ele,GPS ELE,int16,,0,0,748,0,0,,,,
q00_fix,GPS FIX,int8,,0,0,748,0,0,,,,
q00_sat,GPS SATELLITES,int8,,0,0,748,0,0,,,,
q00_time,GPS TIME,int32,,0,0,748,0,0,,,,
longitude,GPS LONGITUDE,double,,0,0,748,0,0,,,,
latitude,GPS LATITUDE,double,,0,0,748,0,0,,,,
zone_id,AGRO-CLIMATIC ZONE,int8,,0,0,748,0,0,,,,
rainfall,Rainfall,int16,,0,0,748,0,0,,,,
