variable,label,type,value_labels,n_value_labels,n_2006,n_2009,n_2012,n_2015,n_2024,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,3671,6252,7456,6768,6891,,,,
year,Survey year,int16,,0,3671,6252,7456,6768,6891,,,,
wave,Wave (survey year),string,,0,31038,31038,31038,31038,31038,,,,
unit,"Unit of the file (household, woman, child, village)",string,,0,3671,6252,7456,6768,6891,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,3671,6252,7456,6768,6891,,,,
dist,"District (11-57, NISR codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,3671,6252,7456,6768,6891,,,,
sector,"Sector (1101-5715, NISR codes; where shipped)",int16,,0,3661,0,7456,6768,0,,,,
urban,"Area of residence (1 urban, 2 rural; where shipped)",int8,"1=Urban, 2=Rural",2,0,0,978,6768,6891,,,,
cluster,Village / cluster id (as shipped),string,,0,3671,6252,7456,6768,6891,,,,
hhid,Household id (unique within wave; composite string in 2009),string,,0,3671,6252,7456,6768,6891,,,,
wt,"Household weight as shipped (see DECISIONS: normalised in 2006/2012, none in 200",double,,0,3671,0,7456,6768,6891,,,,
fez,FEZ,int8,"1=Eastern Agropastoral, 2=Muvumba Agro, 3=Eastern Curve, 4=Buganza-Gisaka Plateau, 5=Bugesera …",12,3671,0,0,0,0,,,,
constant,Constant,int8,1=National,1,3671,0,0,0,0,,,,
id1,Number of Questionnaire,int16,,0,3671,0,0,0,0,,,,
id04,Province,int8,,0,3671,0,0,0,0,,,,
id04a,Names of old province,string,,0,3671,6252,7456,6768,6891,,,,
id5_v2,[2006..2006 version] District,int8,,0,3671,0,0,0,0,,id5 (2009),,
id6,Secteur,int8,,0,3671,0,0,0,0,,,,
id7_v2,[2006..2006 version] Cellule,int8,0=Missing,1,3671,0,0,0,0,,id7 (2009),,
id8,Enumeration Zone,int16,,0,3671,0,0,0,0,,,,
id9,Household Number,int8,,0,3671,0,0,0,0,,,,
id10,Key of Questionnaire,int32,,0,3671,0,0,0,0,,,,
s122a,12.2 Number of Women,int8,,0,3171,0,0,0,0,,,,
s1222aa,122A First names of Women,string,,0,3671,6252,7456,6768,6891,,,,
s123,12.3 Age in years,int8,,0,3171,0,0,0,0,,,,
s124a,12.4 Can you read and write simple messages?,int8,"0=No, 1=Yes, 9=ND",3,3158,0,0,0,0,,,,
s125aa,12.5 What is your level of education,int8,"1=No school, 2=Some primary, 3=Vocational school, 4=Some secondary school, 5=Completed secondary level …",9,3148,0,0,0,0,,,,
s126a,12.6 Are you currently pregnant or breastfeeding?,int8,"1=Pregnant, 2=Breastfeeding, 3=Neither, 4=Both, 5=Don't know …",7,3128,0,0,0,0,,,,
s127aa,"12.7 When you were pregnant,did you see anyone for antenatal",int8,"0=No, 1=Yes, 9=Missing",3,1299,0,0,0,0,,,,
s128a,"12.8 When you were pregnant,did you receive ironfolate,,,",int8,"0=No, 1=Yes, 9=Missing",3,1269,0,0,0,0,,,,
s129a,"12.9 Immediately after the birth of your last child,did you",int8,"0=No, 1=Yes, 9=Missing",3,1863,0,0,0,0,,,,
s1210,"12.10 Do you boil the water before consumption,,,",int8,"0=No, 1=Yes, 3=Sometimes, 9=Missing",4,1890,0,0,0,0,,,,
s1211,12.11 In the past 2 weeks have you been ill at all,int8,"0=No, 1=Yes, 9=Missing",3,3126,0,0,0,0,,,,
