# CFSVA checks report

Generated by 03_checks.py.

## A. Pooled files vs per-wave cleaned files

| section | statistic | Python | reference | result |
|---|---|---:|---:|---|
| A | 2006 household rows | 2,783 | 2,783 | PASS |
| A | 2006 household sum wt | 2,783 | 2,783 | PASS |
| A | 2009 household rows | 5,400 | 5,400 | PASS |
| A | 2012 household rows | 7,498 | 7,498 | PASS |
| A | 2012 household sum wt | 2,178,420 | 2,178,420 | PASS |
| A | 2015 household rows | 7,500 | 7,500 | PASS |
| A | 2015 household sum wt | 3,320,030 | 3,320,030 | PASS |
| A | 2018 household rows | 9,709 | 9,709 | PASS |
| A | 2018 household sum wt | 2,503,004 | 2,503,004 | PASS |
| A | 2021 household rows | 9,000 | 9,000 | PASS |
| A | 2021 household sum wt | 2,596,016 | 2,596,016 | PASS |
| A | 2024 household rows | 9,000 | 9,000 | PASS |
| A | 2024 household sum wt | 3,376,032 | 3,376,032 | PASS |
| A | 2006 woman rows | 3,671 | 3,671 | PASS |
| A | 2006 woman sum wt | 3,683 | 3,683 | PASS |
| A | 2009 woman rows | 6,252 | 6,252 | PASS |
| A | 2012 woman rows | 7,456 | 7,456 | PASS |
| A | 2012 woman sum wt | 2,155,073 | 2,155,073 | PASS |
| A | 2015 woman rows | 6,768 | 6,768 | PASS |
| A | 2015 woman sum wt | 3,071,978 | 3,071,978 | PASS |
| A | 2024 woman rows | 6,891 | 6,891 | PASS |
| A | 2024 woman sum wt | 2,614,983 | 2,614,983 | PASS |
| A | 2006 child rows | 2,059 | 2,059 | PASS |
| A | 2006 child sum wt | 2,042 | 2,042 | PASS |
| A | 2009 child rows | 7,819 | 7,819 | PASS |
| A | 2012 child rows | 4,601 | 4,601 | PASS |
| A | 2012 child sum wt | 1,351,264 | 1,351,264 | PASS |
| A | 2015 child rows | 4,058 | 4,058 | PASS |
| A | 2015 child sum wt | 1,783,073 | 1,783,073 | PASS |
| A | 2018 child rows | 6,736 | 6,736 | PASS |
| A | 2018 child sum wt | 1,766,004 | 1,766,004 | PASS |
| A | 2021 child rows | 5,776 | 5,776 | PASS |
| A | 2021 child sum wt | 1,686,666 | 1,686,666 | PASS |
| A | 2024 child rows | 4,715 | 4,715 | PASS |
| A | 2024 child sum wt | 1,778,905 | 1,778,905 | PASS |
| A | 2009 village rows | 427 | 427 | PASS |
| A | 2012 village rows | 748 | 748 | PASS |
| A | 2015 village rows | 750 | 750 | PASS |
| A | 2018 village rows | 987 | 987 | PASS |
| A | 2021 village rows | 900 | 900 | PASS |

## B. Stata 17 recomputation (household file)

| section | statistic | Python | Stata | result |
|---|---|---:|---:|---|
| B | 2006 households | 2,783 | 2,783 | PASS |
| B | 2006 districts | 29 | 29 | PASS |
| B | 2006 sum wt | 2,783 | 2,783 | PASS |
| B | 2009 households | 5,400 | 5,400 | PASS |
| B | 2009 districts | 27 | 27 | PASS |
| B | 2012 households | 7,498 | 7,498 | PASS |
| B | 2012 districts | 30 | 30 | PASS |
| B | 2012 sum wt | 2,178,420 | 2,178,420 | PASS |
| B | 2015 households | 7,500 | 7,500 | PASS |
| B | 2015 districts | 30 | 30 | PASS |
| B | 2015 sum wt | 3,320,030 | 3,320,030 | PASS |
| B | 2018 households | 9,709 | 9,709 | PASS |
| B | 2018 districts | 30 | 30 | PASS |
| B | 2018 sum wt | 2,503,004 | 2,503,004 | PASS |
| B | 2021 households | 9,000 | 9,000 | PASS |
| B | 2021 districts | 30 | 30 | PASS |
| B | 2021 sum wt | 2,596,016 | 2,596,016 | PASS |
| B | 2024 households | 9,000 | 9,000 | PASS |
| B | 2024 districts | 30 | 30 | PASS |
| B | 2024 sum wt | 3,376,032 | 3,376,032 | PASS |

## C. Geography completeness (household file)

| section | statistic | Python | reference | result |
|---|---|---:|---:|---|
| C | 2012 households vs methodology annex (7,498) | 7,498 | 7,498 | PASS |
| C | 2015 households vs methodology annex (7,500) | 7,500 | 7,500 | PASS |
| C | 2021 households vs methodology annex (9,000) | 9,000 | 9,000 | PASS |
| C | 2024 households vs methodology annex (9,000) | 9,000 | 9,000 | PASS |
| C | 2018 households vs the final report (9,709 interviewed; the annex target was 9,000) | 9,709 | 9,709 | PASS |
| C | 2015 woman records vs methodology annex (6,768) | 6,768 | 6,768 | PASS |
| C | 2012 village records vs methodology annex (748) | 748 | 748 | PASS |
| C | 2018 village records in the shipped file (annex says 749; informational) | 987 |  | n/a |
| C | 2015 village records vs methodology annex (750) | 750 | 750 | PASS |
| C | 2018 village records in the shipped file (annex says 749; informational) | 987 |  | n/a |
| C | 2021 village records vs methodology annex (900) | 900 | 900 | PASS |
| C | 2018 village records in the shipped file (annex says 749; informational) | 987 |  | n/a |
| C | 2006 districts present (survey coverage) | 29 | 29 | PASS |
| C | 2006 rows with district | 2,783 | 2,783 | PASS |
| C | 2009 districts present (survey coverage) | 27 | 27 | PASS |
| C | 2009 rows with district | 5,400 | 5,400 | PASS |
