source_text,english
Numero y'urugo,Household number
Numero d'Agent de saisie,Data entry clerk number
10.0.Hari ingorane urugo rwanyu rwagize mu mwaka ushize muku,Did the household face any shock in the last year
10.1.A.Amapfa/Imvura itagwira igihe,Shock: drought or rain not falling on time
10.1.D.Indwara z'ibihingwa zidasanzwe,Shock: unusual crop diseases
10.1.E.Indwara z'amatungo zidasanzwe,Shock: unusual livestock diseases
10.1.F.Indwara zibyorezo zifata abantu,Shock: epidemic diseases affecting people
10.1.J.Igabanuka ry'umutungo w'umwe mu bagize urugo,Shock: loss of assets of a household member
10.1.K.Indwara ikomeye/impanuka by'umwe mu bagize urugo,Shock: serious illness or accident of a household member
10.1.L.Urupfu rw'umutware w'urugo,Shock: death of the household head
10.1.M.Urupfu rw'umwe mu bagize urugo wakoraga,Shock: death of a working household member
10.1.N.Urupfu rw'umwe mu bagize urugo,Shock: death of a household member
10.1.O.Kwibwa ibyazanira urugo amafaranga,Shock: theft of income-earning assets
"11.0.Mu mezi 12 ashize, hari uwo muri uru rugo wabonye imfas",Anyone in the household received food assistance in the last 12 months
11.2.1. NI IYIHE MFASHANYO Y'IBIRYO MWABONYE ?: Ibiryo by'ab,Food assistance received: food for children
11.2.2. NI IYIHE MFASHANYO Y'IBIRYO MWABONYE ?: Ibiryo bigen,Food assistance received: targeted food rations
11.2.3. NI IYIHE MFASHANYO Y'IBIRYO MWABONYE ?: Ibiryo bitan,Food assistance received: food distributed free
11.2.4. NI IYIHE MFASHANYO Y'IBIRYO MWABONYE ?: Ibiryo bitan,"Food assistance received: food distributed free, second item"
11.2.5. NI IYIHE MFASHANYO Y'IBIRYO MWABONYE ?: Imfashanyo y,Food assistance received: other food aid
11.2.6. NI IYIHE MFASHANYO Y'IBIRYO MWABONYE ?: Ubundi buryo,Food assistance received: other type
"11.3.0.Mu mezi 12 ashize, hari uwo muri uru rugo waba warabo",Anyone in the household received non-food assistance in the last 12 months
11.4.1.Ni ubuhe bwoko bw'imfashanyo zitari ibiribwa urugo rw,Type of non-food assistance the household received
12.1.Hari ab'igitsina gore bafite imyaka kuva 15 kuveza kuri,Any women aged 15 to 49 in the household
Hari abana bafite munsi y'amezi 59,Any children under 59 months in the household
1.1. Ubu mubana n'abantu bangahe muri runo rugo ?,How many people live in this household
1.10.ANi ayahe mashuri umugore wo muri uru rugo yarangije ?,Highest education completed by the woman of the household
1.11.B - Kuva ku mezi 6 kugeza kumyaka 5 G,"Members aged 6 months to 5 years, male"
1.11.C - Kuva ku myaka 6 kugeza kumyaka 14 G,"Members aged 6 to 14 years, male"
1.11.D - Kuva ku myaka 15 kugez 59 G,"Members aged 15 to 59 years, male"
1.11.E - Abafite imyaka 60 n'abayirengeje G,"Members aged 60 and over, male"
1.11.B - Kuva ku mezi 6 kugeza kumyaka 5 F,"Members aged 6 months to 5 years, female"
1.11.C - Kuva ku myaka 6 kugeza kumyaka 14 F,"Members aged 6 to 14 years, female"
