scope,wave,native,clean_name,clean_label,native_label
pooled:CFSVA_pooled_household.dta,2012,act01,cfsva_agriculture_2012,CFSVA 2012: Agriculture production,Agriculture production
pooled:CFSVA_pooled_household.dta,2012,act02,cfsva_agriculture_work_2012,CFSVA 2012: Agriculture work,agriculture work
pooled:CFSVA_pooled_household.dta,2012,act03,cfsva_livestock_raising_2012,CFSVA 2012: Livestock raising,livestock raising
pooled:CFSVA_pooled_household.dta,2012,act04,cfsva_fishing_hunting_2012,CFSVA 2012: Fishing hunting,fishing hunting
pooled:CFSVA_pooled_household.dta,2012,act05,cfsva_ps_products_fishing_2012,CFSVA 2012: PS products from fishing and farming,PS products from fishing and farming
pooled:CFSVA_pooled_household.dta,2012,act06,cfsva_unskilled_daily_2012,CFSVA 2012: Unskilled daily labour,unskilled daily labour
pooled:CFSVA_pooled_household.dta,2012,act07,cfsva_skilled_labour_2012,CFSVA 2012: Skilled labour,skilled labour
pooled:CFSVA_pooled_household.dta,2012,act08,cfsva_ps_agriculture_2012,CFSVA 2012: PS agriculture products,PS agriculture products
pooled:CFSVA_pooled_household.dta,2012,act09,cfsva_ps_livestocks_2012,CFSVA 2012: PS livestocks products,PS livestocks products
pooled:CFSVA_pooled_household.dta,2012,act10,cfsva_ps_livestocks_2012_act10,CFSVA 2012: PS livestocks,PS livestocks
pooled:CFSVA_pooled_household.dta,2012,act11,cfsva_informal_sale_petty_2012,CFSVA 2012: Informal sale petty trade,informal sale petty trade
pooled:CFSVA_pooled_household.dta,2012,act12,cfsva_handicrafts_2012,CFSVA 2012: Handicrafts,handicrafts
pooled:CFSVA_pooled_household.dta,2012,act13,cfsva_transport_2012,CFSVA 2012: Transport,transport
pooled:CFSVA_pooled_household.dta,2012,act14,cfsva_salaried_pension_2012,CFSVA 2012: Salaried pension,salaried pension
pooled:CFSVA_pooled_household.dta,2012,act15,cfsva_own_business_2012,CFSVA 2012: Own business,own business
pooled:CFSVA_pooled_household.dta,2012,act16,cfsva_vup_public_works_2012,CFSVA 2012: VUP public works,VUP public works
pooled:CFSVA_pooled_household.dta,2012,act17,cfsva_vup_direct_transfer_2012,CFSVA 2012: VUP direct transfer,VUP direct transfer
pooled:CFSVA_pooled_household.dta,2012,act18,cfsva_remittances_2012,CFSVA 2012: Remittances,remittances
pooled:CFSVA_pooled_household.dta,2012,act19,cfsva_begging_2012,CFSVA 2012: Begging,begging
pooled:CFSVA_pooled_household.dta,2012,act20,cfsva_others_2012,CFSVA 2012: Others,others
pooled:CFSVA_pooled_household.dta,2024,active_and_work,cfsva_total_active_working,CFSVA 2024: Total Active and Working members,Total Active and Working members
pooled:CFSVA_pooled_household.dta,2024,active_and_work_and_contribute,cfsva_active_working,CFSVA 2024: Total active and Working and contributing to HH basket,Total active and Working and contributing to HH basket
pooled:CFSVA_pooled_household.dta,2024,active_members,cfsva_active_years_don_t,CFSVA 2024: Total active members(15-65 years who don't have disability),Total active members(15-65 years who don't have disability)
pooled:CFSVA_pooled_household.dta,2012,activity1,cfsva_unlabelled_activity1,CFSVA 2012: Unlabelled column activity1 as shipped by NISR,
pooled:CFSVA_pooled_household.dta,2012,activity1_value,cfsva_unlabelled_column_value,CFSVA 2012: Unlabelled column activity1_value as shipped by NISR,
pooled:CFSVA_pooled_household.dta,2012,activity2,cfsva_unlabelled_activity2,CFSVA 2012: Unlabelled column activity2 as shipped by NISR,
pooled:CFSVA_pooled_household.dta,2012,activity2_value,cfsva_unlabelled_activity2v,CFSVA 2012: Unlabelled column activity2_value as shipped by NISR,
