dataset,waves,file,h_variable,source_variables,rule,level,quality,note
Census,"2002,2012,2022",Census_pooled_household.dta,h_head_sex,head_sex,1->1; 2->2,"all household surveys (LFS, Census, EICV, AHS) + CFSVA head/woman",exact,head = relationship code 1 in the roster
Census,"2002,2012,2022",Census_pooled_household.dta,h_head_age,head_age,as shipped,"all household surveys (LFS, Census, EICV, AHS) + CFSVA head/woman",exact,
Census,"2002,2012,2022",Census_pooled_person.dta,h_sex,sex,1->1; 2->2,"all household surveys (LFS, Census, EICV, AHS) + CFSVA head/woman",exact,
Census,2002,Census_pooled_person.dta,h_relation,p02,"1->1; 2->2; 3,4->3; 5,6,7,8->4; 9->5","all household surveys (LFS, Census, EICV, AHS) + CFSVA head/woman",exact,code 4 = unrelated child brought up in the household -> child
Census,2002,Census_pooled_person.dta,h_marital,p26_v2,"1->1; 2,3,4,5,6,7->2; 8->3; 9->4","all household surveys (LFS, Census, EICV, AHS) + CFSVA head/woman",exact,residents 12+
Census,2002,Census_pooled_person.dta,h_attend,p16_v2,1->1; 2->0,"education group: Census, EICV, LFS (+ AHS, CFSVA head/woman)",exact,ages 6+
Census,2002,Census_pooled_person.dta,h_educ,p17_v2 (class code) + p16_v2,"10-19 primary->1; 21-23 post-primary, 31-57 secondary (FP/FT/EG)->2; 61-69 university->3; never attended->0","education group: Census, EICV, LFS (+ AHS, CFSVA head/woman)",exact,ages 6+; highest class successfully completed
Census,2002,Census_pooled_person.dta,h_literacy,p20_v2,"1->1; 2,3->0","education group: Census, EICV, LFS (+ AHS, CFSVA head/woman)",exact,ages 6+; 'read only' -> 0
Census,2002,Census_pooled_person.dta,h_lfstatus,p21_v2,"1->1; 2,3->2; 4,5,6,7,8->3","employment group: LFS, Census, EICV (+ AHS where asked)",exact,one-month reference period; ages 6+
Census,2002,Census_pooled_person.dta,h_empstat,p23_v2,"3,4,5->1; 2->2; 1->3; 6->4; 7->5","employment group: LFS, Census, EICV (+ AHS where asked)",exact,economically active 6+
