21:37:19 02_checks INFO ==== 02_checks | run 20260905-213719_02_checks | python 3.13.5 | pandas 2.2.3 | pyreadstat 1.3.4
21:38:43 02_checks INFO 
# Harmonization checks report

Generated by 02_checks.py.

## A. Completeness and no data loss (rows and native columns of the CURRENT source file)

| section | statistic | harmonised | reference | result |
|---|---|---:|---:|---|
| A | H_ data files left in the documents folder Harmonized/ (must be 0) | 0 | 0 | PASS |
| A | manifest entries skipped without a declared reason (must be 0) | 0 | 0 | PASS |
| A | declared disk skips (EICV item modules; listed in the README; informational) | 0 |  | n/a |
| A | physical H_ files not in the manifest (stale copies; must be 0) | 0 | 0 | PASS |
| A | manifest files missing on disk (must be 0) | 0 | 0 | PASS |
| A | copies found in the wrong dataset folder (must be 0) | 0 | 0 | PASS |
| A | H_LFS_household.dta rows | 166,772 | 166,772 | PASS |
| A | H_LFS_household.dta native columns present | 97 | 97 | PASS |
| A | H_LFS_person.dta rows | 720,947 | 720,947 | PASS |
| A | H_LFS_person.dta native columns present | 478 | 478 | PASS |
| A | H_Census_household.dta rows | 750,115 | 750,115 | PASS |
| A | H_Census_household.dta native columns present | 289 | 289 | PASS |
| A | H_Census_person.dta rows | 3,165,813 | 3,165,813 | PASS |
| A | H_Census_person.dta native columns present | 465 | 465 | PASS |
| A | H_EICV_household.dta rows | 71,681 | 71,681 | PASS |
| A | H_EICV_household.dta native columns present | 1,029 | 1,029 | PASS |
| A | H_EICV_person.dta rows | 327,841 | 327,841 | PASS |
| A | H_EICV_person.dta native columns present | 1,180 | 1,180 | PASS |
| A | H_EICV_EICV3_4_panel_link.dta rows | 8,310 | 8,310 | PASS |
| A | H_EICV_EICV3_4_panel_link.dta native columns present | 38 | 38 | PASS |
| A | H_EICV_EICV5_vup_panel_link.dta rows | 5,171 | 5,171 | PASS |
| A | H_EICV_EICV5_vup_panel_link.dta native columns present | 41 | 41 | PASS |
| A | H_EICV_agri_expenditure.dta rows | 890,994 | 890,994 | PASS |
| A | H_EICV_agri_expenditure.dta native columns present | 57 | 57 | PASS |
| A | H_EICV_agri_income.dta rows | 397,212 | 397,212 | PASS |
| A | H_EICV_agri_income.dta native columns present | 32 | 32 | PASS |
| A | H_EICV_agri_processing.dta rows | 172,408 | 172,408 | PASS |
| A | H_EICV_agri_processing.dta native columns present | 108 | 108 | PASS |
