variable,label,type,value_labels,n_value_labels,n_EICV3_4_Panel,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,8310,,,,
year,Survey year (mid-fieldwork),int32,,0,8310,,,,
wave,Wave / round id,string,,0,0,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,8310,,,,
prov,"Province (1-5, NISR codes)",int32,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,8310,,,,
dist,"District (11-57, NISR current codes)",int32,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,8310,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,8310,,,,
hhid,Household id (unique within wave),int32,,0,8310,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,8310,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,8310,,,,
caseid,case unique identifier,int32,,0,8310,,,,
hhid_eicv3,EICV3 public household ID,int32,,0,8310,,,,
caseid3,eicv3 case unique identifier,int32,,0,8310,,,,
id1,Province,int32,"1=Kigali City, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,8310,,,,
id2,D.Code,int32,,0,8310,,,,
hhtype,Type of household according to the sample,int32,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,8310,,,,
vup_strata,"VUP stratum (province, component)",string,,0,8310,,,,
region,Region,int32,,0,8310,,,,
sol14,(first) sol14,double,,0,8310,,,,
pov_eicv4,,int32,,0,8310,,,,
epov_eicv4,,int32,,0,8310,,,,
pov_eicv4_a,,int32,,0,8310,,,,
decile_eicv4,10 quantiles of sol14,int32,,0,8310,,,,
pop_wt,,double,,0,8310,,,,
quintile,,int32,,0,8310,,,,
rwanda,All Rwanda,int32,1=All Rwanda,1,8310,,,,
province_eicv3,Province,int32,"1=Kigali City, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,8310,,,,
district_eicv3,District (also stratum for SE calculation),int32,,0,8310,,,,
sol_jan_eicv3,Aggregate consumption/ae Jan14=100,double,,0,8310,,,,
ur2_2012_eicv3,(max) UR2_2012,int32,,0,8310,,,,
pov_eicv3,,int32,,0,8310,,,,
epov_eicv3,,int32,,0,8310,,,,
quintile_eicv3,Quintile,int32,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,8310,,,,
poverty_eicv3,Poverty status,int32,"1=Extremely poor, 2=Poor, 3=Non-poor",3,8310,,,,
hh_wt_eicv3,Final weight of household,double,,0,8310,,,,
pop_wt_eicv3,,double,,0,8310,,,,
ur_eicv3,Strata,int32,"1=Urban, 2=Rural, 3=Peri urban, 4=Semi urban",4,8310,,,,
ur,urban&rural 2012,int32,,0,8310,,,,
