variable,label,type,value_labels,n_value_labels,n_EICV5_VUP,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,5171,,,,
year,Survey year (mid-fieldwork),int32,,0,5171,,,,
wave,Wave / round id,string,,0,0,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,5171,,,,
prov,"Province (1-5, NISR codes)",int32,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,5171,,,,
dist,"District (11-57, NISR current codes)",int32,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,5171,,,,
urban,"Area of residence (1 urban, 2 rural)",int32,"1=Urban, 2=Rural",2,5171,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,5171,,,,
hhid,Household id (unique within wave),int32,,0,5171,,,,
pid,Person number within the household,int32,,0,5171,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,5171,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,5171,,,,
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,5171,,,,
pid_eicv4,EICV4 panel person id carried in the EICV5 VUP files,int32,,0,5171,,,,
province_14,EICV4 Province name,int32,"1=Kigali City, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,5171,,,,
district_14,EICV4 District name,int32,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,5171,,,,
urbrur_14,EICV4 Urban/Rural,int32,"1=Urban, 2=Rural",2,5171,,,,
weight_14,EICV4 Household weight,double,,0,5171,,,,
dweight_14,EICV4 Population weight (all individual included),double,,0,5171,,,,
sol_jan_14,EICV4 Aggregate consumption/ae,double,,0,5171,,,,
epov_jan_14,EICV4 Extreme poverty Headcount Ratio,int32,,0,5171,,,,
pov_jan_14,EICV4 Total Poverty Headcount Ratio,int32,,0,5171,,,,
quintile_14,EICV4 Quintile,int32,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,5171,,,,
s1q1_14,EICV4 Sex,int32,"1=Male, 2=Female, 9=Missing",3,5171,,,,
s1q2_14,EICV4 Relation with the head of household,int32,"1=Household head (HH), 2=Spouse of HH, 3=Son or daughter of HH, 4=Step or adopted or foster child of HH, 5=Father or mother of HH …",13,5171,,,,
s1q3y_14,EICV4 Age(Years),int32,"998=Don't know, 999=Missing",2,5171,,,,
s1q3m_14,EICV4 Age(Months),double,,0,666,,,,
province_17,EICV5 Province name,int32,"1=Kigali City, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,5171,,,,
district_17,EICV5 District name,int32,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,5171,,,,
urbrur_17,EICV5 Urban/Rural,int32,"1=Urban, 2=Rural, 3=Peri urban, 4=Semi urban",4,5171,,,,
weight_17,EICV5 Household weight,double,,0,5171,,,,
pop_wt_17,EICV5 Population weight (excluding servants),double,,0,5171,,,,
dweight_17,EICV5 Population weight (all individual included),double,,0,5171,,,,
sol_jan_17,EICV5 Aggregate consumption/ae,double,,0,5171,,,,
epov_jan_17,EICV5 Extreme poverty Headcount Ratio,int32,"0=non-extremely poor, 100=extremly poor",2,5171,,,,
pov_jan_17,EICV5 Total Poverty Headcount Ratio,int32,"0=non-poor, 100=poor",2,5171,,,,
quintile_17,EICV5 Quintile,int32,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,5171,,,,
s1q1_17,EICV5 Sex,int32,"1=Male, 2=Female, 9=Missing",3,5171,,,,
s1q2_17,EICV5 Relation with the head of household,int32,"1=Household head (HH), 2=Spouse of HH, 3=Son or daughter of HH, 4=Step or adopted or foster child of HH, 5=Father or mother of HH …",13,5171,,,,
s1q3y_17,EICV5 Age(Years,int32,"998=Don't know, 999=Missing",2,5171,,,,
s1q3m_17,EICV5 Age(Months),double,,0,298,,,,
