variable,label,type,value_labels,n_value_labels,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,77556,78190,205664,230704,39360,233232,26288,,,,
year,Survey year (mid-fieldwork),int16,,0,77556,78190,205664,230704,39360,233232,26288,,,,
wave,Wave / round id,string,,0,890994,890994,890994,890994,890994,890994,890994,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,77556,78190,205664,230704,39360,233232,26288,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,77556,78190,205664,230704,39360,233232,26288,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,77556,78190,205664,230704,39360,233232,26288,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,77556,78190,205664,230704,39360,233232,26288,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,77556,78190,205664,230704,39360,233232,26288,,,,
hhid,Household id (unique within wave),double,,0,77556,78190,205664,230704,39360,233232,26288,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,77556,78190,205664,230704,39360,233232,26288,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,77556,78190,205664,230704,39360,233232,26288,,,,
rectype,Record type,string,,0,77556,78190,205664,230704,39360,233232,26288,,,,
strate,Area,int8,,0,77556,0,0,0,0,0,0,,,,
prefect,Province,int8,"1=Butare, 2=Byumba, 3=Cyangugu, 4=Gikongoro, 5=Gisenyi …",12,77556,0,0,0,0,0,0,,,,
s8iq0,"During last 12 months, have any of the following goods and services been used on",int8,"1=Yes, 2=No",2,6420,0,0,0,0,0,0,,,,
s8iq1,Codes for Goods and Services.,int16,"501=Local manual tools, 502=Renting of animals, 503=Seed, plantations, etc bought, 504=Sacks, packing, strings, 505=Wages and salaries …",19,75088,0,0,0,0,0,0,,,,
s8iq2,Did you spend anything on this item during last 12 months?,int8,"1=Yes, 2=No",2,75088,0,0,0,0,0,0,,,,
s8iq3,How much was spent in cash or in kind on this item during last 12 months?,int32,,0,7987,0,0,0,0,0,0,,,,
s8iq4,What was the source of this item?,int8,"1=Local market, 2=Co-operative, 3=Private enterprise, 4=Government, 5=Tierce personne …",7,5886,0,0,0,0,0,0,,,,
s8iq5,Was this item obtained on credit?,int8,"1=Yes, 2=No",2,6525,0,0,0,0,0,0,,,,
s8iq6,Was this item not available at any time during the year when you needed it?,int8,"1=Yes, 2=No",2,7793,0,0,0,0,0,0,,,,
id6,Household number,int8,,0,0,78190,0,0,0,0,0,,,,
id1,Strata,int8,"1=City of Kigali, 2=Other urban, 3=Rural",3,0,78190,0,0,0,0,0,,,,
id2,Province,int8,"1=City of Kigali, 2=Kigali Ngali, 3=Gitarama, 4=Butare, 5=Gikongoro …",12,0,78190,0,0,0,0,0,,,,
item,Expenditure codes,int8,"1=Hand tools, 2=Traditional seeds and  seedlings, 3=Improved seeds and seedlings, 4=Sacks and  packing, 5=Hired labor wages not terracing …",16,0,78190,205664,0,0,0,0,,,EICV2: Expenditure code,"{""1"": [""Hand tools"", ""Local hand tools""], ""2"": [""Seeds"", ""Traditional seeds and  seedlings""], ""3"": [""Improved seeds and seedlings"", ""Sacks and packing""], ""4"": [""Hired labor (wages)"", ""Sacks and  packing""], ""5"": [""Hired labor wages not terracing"", ""Imported hand tools""], ""7"": [""Transport of harvest"", ""Transport of the harvest""], ""13"": [""Irrigation fees"", ""Irrigation, drainage fees""], ""14"": [""Other expenditures"", ""Terracing""]}"
s8gq2,Expense incurred,int8,"1=Yes, 2=No",2,0,78190,205664,0,0,0,0,,,EICV2: Incurred expenditure,
s8gq3_v2,[EICV2..EICV2 version] Amount of expenditure,int32,,0,0,15738,0,0,0,0,0,,s8gq3 (EICV3),,
s8gq4_v2,[EICV2..EICV2 version] Origin of item,int8,"1=Local market, 2=Cooperative, 3=Private enterprise, 4=State provided service, 5=Third person …",7,0,11626,0,0,0,0,0,,s8gq4 (EICV3),,
s8gq5,Article obtained on credit,int8,"1=Yes, 2=No",2,0,12842,47526,0,0,0,0,,,EICV2: Obtained on credit,
s8gq6_v2,[EICV2..EICV2 version] Item not available during the year,int8,"1=Yes, 2=No",2,0,15268,0,0,0,0,0,,s8gq6 (EICV3),,
dstrat,Design strata,int16,"111=Kigali lowest quartile socio-economic strata, 112=Kigali quartile 2 socio-economic strata, 113=Kigali quartile 3 socio-economic strata, 114=Kigali highest quartile socio-economic strata, 119=Kigali (semi-rural) …",32,0,78190,0,0,0,0,0,,,,
quintile,Quintile,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,0,0,205664,230704,0,233232,0,,,EICV4_CS: QUINTILE,
poverty,POVERTY,int8,"1=Extremely poor, 2=Poor, 3=Non-poor",3,0,0,205664,230704,0,0,0,,poverty_v2 (EICV5_CS),EICV3: Poverty status,
s8gq3,Amount spent on expediture in last 12 months,int32,,0,0,0,47526,0,0,0,0,,s8gq3_v2 (EICV2),,
s8gq4,Source of the article,int8,"1=Local market, 2=Cooperative, 3=Private enterprise, 4=State service, 5=Individual consumer …",7,0,0,39372,0,0,0,0,,s8gq4_v2 (EICV2),,
s8gq6,Article been available in the last 12 months when needed,int8,"1=Yes, 2=No",2,0,0,47170,0,0,0,0,,s8gq6_v2 (EICV2),,
ur2012,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,0,0,0,230704,39360,0,0,,,,
region,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,0,0,0,230704,39360,233232,0,,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
s7gqcode,Expenditure codes,int8,"1=Hand tools, 2=Traditional seeds and  seedlings, 3=Improved seeds and seedlings, 4=Sacks and  packing, 5=Hired labor wages not terracing …",16,0,0,0,230704,39360,233232,26288,,,,"{""14"": [""Terracing (wages)"", ""Terracing _wages_""]}"
s7gqequip,Expenditure code descriptions,string,,0,77556,78190,205664,230704,39360,233232,26288,,,,
s7gq1,Expense incurred over the last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,0,0,0,230704,39360,233232,26288,,,EICV4_CS: Other agricultural expenditure in last 12 months; EICV4_VUP: Other agricultural expenditure in last 12 months,
s7gq2,Amount spent on expediture in last 12 months,int32,999999999=Missing,1,0,0,0,46156,6891,41508,4269,,,EICV4_CS: Amount of other agricultural expenditure in last 1; EICV4_VUP: Amount of other agricultural expenditure in last 1,
hhtype,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,0,0,0,230704,0,0,0,,,,
rwanda,All Rwanda,int8,1=All Rwanda,1,0,0,0,230704,0,0,0,,,,
surveyh,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,0,0,0,230704,39360,0,0,,,,
consumption,aggregate consumption/ae in Jan14 Prices,double,,0,0,0,0,230704,0,0,0,,,,
s0q19m,Month of interview,int8,,0,0,0,0,230704,39360,0,0,,,,
s0q19y,Year of interview,int8,,0,0,0,0,230704,39360,0,0,,,,
vup_strata,"VUP stratum (province, component)",int8,,0,0,0,0,0,39360,0,0,,,,
poverty_v2,[EICV5_CS..EICV5_CS version] Welfare categories,int8,"1=Severely poor, 2= Moderately poor, 3=Non Poor",3,0,0,0,0,0,233232,0,,"poverty (EICV3, EICV4_CS)",,
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,0,0,0,0,0,0,26288,,,,
s0q18m,Month of interview,int8,,0,0,0,0,0,0,0,26288,,,,
s0q18y,Year of interview,int16,,0,0,0,0,0,0,0,26288,,,,
