variable,label,type,value_labels,n_value_labels,universe,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,"household / farm (agriculture, livestock)",173028,29520,174936,19728,,,,
year,Survey year (mid-fieldwork),int16,,0,"household / farm (agriculture, livestock)",173028,29520,174936,19728,,,,
wave,Wave / round id,string,,0,"household / farm (agriculture, livestock)",0,0,0,0,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,"household / farm (agriculture, livestock)",173028,29520,174936,19728,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,"household / farm (agriculture, livestock)",173028,29520,174936,19728,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,"household / farm (agriculture, livestock)",173028,29520,174936,19728,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,"household / farm (agriculture, livestock)",173028,29520,174936,19728,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,"household / farm (agriculture, livestock)",173028,29520,174936,19728,,,,
hhid,Household id (unique within wave),int32,,0,"household / farm (agriculture, livestock)",173028,29520,174936,19728,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,"household / farm (agriculture, livestock)",173028,29520,174936,19728,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,"household / farm (agriculture, livestock)",173028,29520,174936,19728,,,,
ur2012,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,"household / farm (agriculture, livestock)",173028,29520,0,0,,,,
region,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,"household / farm (agriculture, livestock)",173028,29520,174936,0,,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
s7fqcode,Product codes,int8,"1=Hunting, 2=Mushrooms, 3=wax, 4=Fish, 5=Firewood …",12,"household / farm (agriculture, livestock)",173028,29520,174936,19728,,,,"{""3"": [""Honey and wax"", ""wax""], ""12"": [""Other (pyrethrum,banana leaves)"", ""Other _pyrethrum,banana leaves_""]}"
s7fqsource,Product code description,string,,0,"household / farm (agriculture, livestock)",173028,29520,174936,19728,,,,
s7fq1,"Over the last 12 months, have you obtained any income",int8,"1=Yes, 2=No, 9=Missing",3,"household / farm (agriculture, livestock)",173028,29520,174936,19728,,,EICV4_CS: Have obtained income over last 12 months; EICV4_VUP: Have obtained income over last 12 months,
s7fq2,Amount receive from the sale during last 4 weeks,int32,"9999999=Missing, 99999999=Missing",2,"household / farm (agriculture, livestock)",4277,634,3363,433,,,EICV4_CS: Amount received from sales last 4 weeks; EICV4_VUP: Amount received from sales last 4 weeks,
s7fq3,Amount receive from the sale during last 12 months,int32,99999999=Missing,1,"household / farm (agriculture, livestock)",4277,634,3363,433,,,EICV4_CS: Amount received from sales last 12 months; EICV4_VUP: Amount received from sales last 12 months,
hhtype,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,"household / farm (agriculture, livestock)",173028,0,0,0,,,,
rwanda,All Rwanda,int8,1=All Rwanda,1,"household / farm (agriculture, livestock)",173028,0,0,0,,,,
surveyh,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,"household / farm (agriculture, livestock)",173028,29520,0,0,,,,
quintile,Quintile,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,"household / farm (agriculture, livestock)",173028,0,174936,0,,,EICV4_CS: QUINTILE,
poverty_v2,[EICV4_CS..EICV4_CS version] POVERTY,int8,,0,"household / farm (agriculture, livestock)",173028,0,0,0,,poverty (EICV5_CS),,
consumption,aggregate consumption/ae in Jan14 Prices,double,,0,"household / farm (agriculture, livestock)",173028,0,0,0,,,,
s0q19m,Month of interview,int8,,0,"household / farm (agriculture, livestock)",173028,29520,0,0,,,,
s0q19y,Year of interview,int8,,0,"household / farm (agriculture, livestock)",173028,29520,0,0,,,,
vup_strata,"VUP stratum (province, component)",int8,,0,"household / farm (agriculture, livestock)",0,29520,0,0,,,,
poverty,Welfare categories,int8,"1=Severely poor, 2= Moderately poor, 3=Non Poor",3,"household / farm (agriculture, livestock)",0,0,174936,0,,poverty_v2 (EICV4_CS),,
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,"household / farm (agriculture, livestock)",0,0,0,19728,,,,
s0q18m,Month of interview,int8,,0,"household / farm (agriculture, livestock)",0,0,0,19728,,,,
s0q18y,Year of interview,int16,,0,"household / farm (agriculture, livestock)",0,0,0,19728,,,,
