variable,label,type,value_labels,n_value_labels,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,14389,11937,32981,53549,9021,45266,5300,,,,
year,Survey year (mid-fieldwork),int16,,0,14389,11937,32981,53549,9021,45266,5300,,,,
wave,Wave / round id,string,,0,172443,172443,172443,172443,172443,172443,172443,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,14389,11937,32981,53549,9021,45266,5300,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,14389,11937,32981,53549,9021,45266,5300,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,14389,11937,32981,53549,9021,45266,5300,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,14389,11937,32981,53549,9021,45266,5300,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,14389,11937,32981,53549,9021,45266,5300,,,,
hhid,Household id (unique within wave),double,,0,14389,11937,32981,53549,9021,45266,5300,,,,
pid,Person number within the household,int8,99=Exit code,1,0,11937,0,0,0,0,0,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,14389,11937,32981,53549,9021,45266,5300,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,14389,11937,32981,53549,9021,45266,5300,,,,
rectype,Record type,string,,0,14389,11937,32981,53549,9021,45266,5300,,,,
strate,Area,int8,,0,14389,0,0,0,0,0,0,,,,
prefect,Province,int8,"1=Butare, 2=Byumba, 3=Cyangugu, 4=Gikongoro, 5=Gisenyi …",12,14389,0,0,0,0,0,0,,,,
s8jq0,"During the last 2 weeks, were there any ag products processed by your household;",int8,"1=Yes, 2=No",2,6420,0,0,0,0,0,0,,,,
s8jq1,ID number of operator,int8,,0,12149,0,0,0,0,0,0,,,,
s8jq2,ID of interviewee,int8,,0,12149,0,0,0,0,0,0,,,,
s8jq3,"During the last 12 months, what were the products processed by the household?",int16,"1806=Sorghum, 1810=Maize flour, 1811=Sorghum flour, 1812=Wheat flour, 1813=Farina d",5,12149,0,0,0,0,0,0,,,,
s8jq4a,ID number of 1st member of household who helps with task.,int8,,0,11978,0,0,0,0,0,0,,,,
s8jq4b,ID number of 2nd member of household who helps with task.,int8,,0,7568,0,0,0,0,0,0,,,,
s8jq4c,ID number of 3rd member of household who helps with task.,int8,,0,6465,0,0,0,0,0,0,,,,
