variable,label,type,value_labels,n_value_labels,universe,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,n_EICV7_CS,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,"household (credit, durables, savings)",7178,5509,22781,20974,3907,15800,1968,20509,5404,,,,
year,Survey year (mid-fieldwork),int16,,0,"household (credit, durables, savings)",7178,5509,22781,20974,3907,15800,1968,20509,5404,,,,
wave,Wave / round id,string,,0,"household (credit, durables, savings)",0,0,0,0,0,0,0,0,0,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,"household (credit, durables, savings)",7178,5509,22781,20974,3907,15800,1968,20509,5404,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,"household (credit, durables, savings)",7178,5509,22781,20974,3907,15800,1968,20509,5404,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,"household (credit, durables, savings)",7178,5509,22781,20974,3907,15800,1968,20509,5404,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,"household (credit, durables, savings)",7178,5509,22781,20974,3907,15800,1968,20509,5404,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,"household (credit, durables, savings)",7178,5509,22781,20974,3907,15800,1968,20509,5404,,,,
hhid,Household id (unique within wave),double,,0,"household (credit, durables, savings)",7178,5509,22781,20974,3907,15800,1968,20509,5404,,,,
pid,Person number within the household,int8,0=Non household member,1,"household (credit, durables, savings)",0,5509,0,0,0,0,0,15770,4368,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,"household (credit, durables, savings)",7178,5509,22781,20974,3907,15800,1968,20509,5404,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,"household (credit, durables, savings)",7178,5509,22781,20974,3907,15800,1968,20509,5404,,,,
rectype,Record type,string,,0,"household (credit, durables, savings)",7178,5509,22781,20974,3907,15800,1968,20509,5404,,,,
strate,Area,int8,,0,"household (credit, durables, savings)",7178,0,0,0,0,0,0,0,0,,,,
prefect,Province,int8,"1=Butare, 2=Byumba, 3=Cyangugu, 4=Gikongoro, 5=Gisenyi …",12,"household (credit, durables, savings)",7178,0,0,0,0,0,0,0,0,,,,
s12aq1,Hh member owe money/goods to other person/institution/business?,int8,"1=Yes, 2=No",2,"household (credit, durables, savings)",6419,0,0,0,0,0,0,0,0,,,,
s12aq2,Has loan been fully repaid in last 12 months by any hh member?,int8,"1=Yes, 2=No",2,"household (credit, durables, savings)",4496,0,0,0,0,0,0,0,0,,,,
s12aq3,Has any member tried to obtain loan and been refused in last 12 months?,int8,"1=Yes, 2=No",2,"household (credit, durables, savings)",4018,0,0,0,0,0,0,0,0,,,,
s12aq4,Why was loan refused?,int8,"1=Insufficient income, 2=Insufficient collateral, 3=Problems with previous debts, 4=Purpose inappropriate, 5=Other",5,"household (credit, durables, savings)",118,0,0,0,0,0,0,0,0,,,,
s12aq5,Loan Number,int8,,0,"household (credit, durables, savings)",3162,0,0,0,0,0,0,0,0,,,,
s12aq6,Source of loan,int8,"1=State bank, 2=Private bank, 3=Rural credit, 4=Agricultural association, 5=Co-operative …",14,"household (credit, durables, savings)",3160,0,0,0,0,0,0,0,0,,,,
s12aq7,ID No of household member,int8,,0,"household (credit, durables, savings)",3160,0,0,0,0,0,0,0,0,,,,
s12aq8,Amount of loan (exclude interest),int32,,0,"household (credit, durables, savings)",3159,0,0,0,0,0,0,0,0,,,,
s12aq9,Purpose of loan,int8,"1=Agricultural land & equipment, 2=Agricultural input, 3=Business expansion, 4=Housing, 5=Education …",9,"household (credit, durables, savings)",3160,0,0,0,0,0,0,0,0,,,,
s12aq10,What guarantee has been asked for this loan?,int8,"1=Land, 2=Herd, 3=Dwelling, 4=Other, 5=None",5,"household (credit, durables, savings)",3160,0,0,0,0,0,0,0,0,,,,
s12aq11,Has this loan been repaid?,int8,"1=Yes, 2=No",2,"household (credit, durables, savings)",3160,0,0,0,0,0,0,0,0,,,,
s12aq12,How much of this loan has been repaid during last 12 months?,int32,,0,"household (credit, durables, savings)",822,0,0,0,0,0,0,0,0,,,,
id6,Household number,int8,,0,"household (credit, durables, savings)",0,5509,0,0,0,0,0,0,0,,,,
id1,Strata,int8,"1=City of Kigali, 2=Other urban, 3=Rural",3,"household (credit, durables, savings)",0,5509,0,0,0,0,0,0,0,,,,
id2,Province,int8,"1=City of Kigali, 2=Kigali Ngali, 3=Gitarama, 4=Butare, 5=Gikongoro …",12,"household (credit, durables, savings)",0,5509,0,0,0,0,0,0,0,,,,
item,ID of loan,int8,99=Exit code,1,"household (credit, durables, savings)",0,5509,0,0,0,0,0,0,0,,,,
s11aq6,Loan source,int8,"1=State Bank, 2=Commercial Bank, 3=Borrowed from relative, 4=Credit cooperative, 5=Tontine (community) …",14,"household (credit, durables, savings)",0,5503,19009,0,0,0,0,0,0,,,EICV2: Loan origin,"{""2"": [""Commercial Bank"", ""Private bank""], ""3"": [""Borrowed from relative"", ""Popular bank""], ""4"": [""Credit cooperative"", ""Rural credit""], ""5"": [""Agricultural society"", ""Tontine (community)""], ""6"": [""Cooperative"", ""Informal lenders""], ""7"": [""Microfinance"", ""NGO""], ""8"": [""Employer"", ""VUP Loan""], ""9"": [""Other"", ""Other modern""], ""99"": [""Exit code"", ""Missing""]}"
s11aq8,Loan amount,int32,,0,"household (credit, durables, savings)",0,5509,19009,0,0,0,0,0,0,,,EICV2: Amount of loan,
s11aq9_v2,[EICV2..EICV2 version] Amount of interest,int32,,0,"household (credit, durables, savings)",0,5500,0,0,0,0,0,0,0,,s11aq9 (EICV3),,
s11aq10,Purpose of loan,int8,"1=Agricultural equipment, 2=Agricultural inputs, 3=Business expansion, 4=Home improvement, 5=Education …",10,"household (credit, durables, savings)",0,5509,19009,0,0,0,0,0,0,,,,"{""1"": [""Agricultural equipment"", ""Land or agricultural equipment""], ""3"": [""Business expansion"", ""Expand business""], ""4"": [""Home"", ""Home improvement""], ""6"": [""Health"", ""Medical treatment""], ""7"": [""Ceremonial"", ""Ceremonies""], ""8"": [""Consumer goods"", ""Purchase of household items""], ""9"": [""Livestock"", ""Livestock purchase""], ""10"": [""Other"", ""Others""]}"
s11aq11,Collateral of loan,int8,"1=Land, 2=Animals, 3=House, 4=Other, 5=None",5,"household (credit, durables, savings)",0,5498,19009,0,0,0,0,0,0,,,EICV2: Collateral for debt,"{""2"": [""Animals"", ""Livestock""], ""3"": [""Home"", ""House""]}"
s11aq12_v2,[EICV2..EICV2 version] Loan reimbursed,int8,"1=Yes, 2=No",2,"household (credit, durables, savings)",0,5508,0,0,0,0,0,0,0,,s11aq12 (EICV3),,
s11aq13_v2,[EICV2..EICV2 version] Amount reimbursed,int32,,0,"household (credit, durables, savings)",0,2054,0,0,0,0,0,0,0,,s11aq13 (EICV3),,
dstrat,Design strata,int16,"111=Kigali lowest quartile socio-economic strata, 112=Kigali quartile 2 socio-economic strata, 113=Kigali quartile 3 socio-economic strata, 114=Kigali highest quartile socio-economic strata, 119=Kigali (semi-rural) …",32,"household (credit, durables, savings)",0,5509,0,0,0,0,0,0,0,,,,
quintile,Quintile,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,"household (credit, durables, savings)",0,0,22781,20974,0,15800,0,0,0,,"quintile_v2 (EICV7_CS, EICV7_VUP)",EICV4_CS: QUINTILE,
poverty_v2,[EICV3..EICV4_CS version] POVERTY,int8,"1=Extremely poor, 2=Poor, 3=Non-poor",3,"household (credit, durables, savings)",0,0,22781,20974,0,0,0,0,0,,"poverty (EICV5_CS, EICV7_CS, EICV7_VUP)",EICV3: Poverty status; EICV4_CS: POVERTY,
lid,Loan Id Number,int8,,0,"household (credit, durables, savings)",0,0,19009,0,0,0,0,0,0,,,,
s11aq7,PID of loan recipient,int32,,0,"household (credit, durables, savings)",0,0,19009,0,0,0,0,0,0,,,,
s11aq9,Total intrest payment,int32,,0,"household (credit, durables, savings)",0,0,19009,0,0,0,0,0,0,,s11aq9_v2 (EICV2),,
s11aq12,Has loan been cleared,int8,"1=Yes, all, 2=Yes, part, 3=No",3,"household (credit, durables, savings)",0,0,19009,0,0,0,0,0,0,,s11aq12_v2 (EICV2),,
s11aq13,How much of loan was cleared,int32,,0,"household (credit, durables, savings)",0,0,8494,0,0,0,0,0,0,,s11aq13_v2 (EICV2),,
ur2012,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,"household (credit, durables, savings)",0,0,0,20974,3907,0,0,0,0,,,,
region,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,"household (credit, durables, savings)",0,0,0,20974,3907,15800,0,0,0,,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
s10aq4,Loan Id Number,int8,,0,"household (credit, durables, savings)",0,0,0,16266,3183,15800,1968,15770,4368,,,EICV4_CS: Loan ID Number; EICV4_VUP: Loan ID Number,
s10aq5,Loan source,int8,"1=Employer loan, 2=Commercial Bank, 3=Borrowed from relative / friend, 4=Credit cooperative, 5=Tontine _community_ …",12,"household (credit, durables, savings)",0,0,0,16266,3183,15798,1968,0,0,,,,"{""3"": [""Borrowed from relative"", ""Borrowed from relative / friend""], ""5"": [""Tontine (community)"", ""Tontine _community_""]}"
s10aq6,Loan recipient Id Number,int8,99=Missing,1,"household (credit, durables, savings)",0,0,0,16266,3183,15798,1968,0,0,,"s10aq6_v2 (EICV7_CS, EICV7_VUP)",EICV4_CS: Loan recipient ID Number; EICV4_VUP: Loan recipient ID Number,
s10aq7,Main purpose of loan,int32,"1=Agricultural equipment, 2=Agricultural inputs, 3=Business expansion, 4=Home improvement, 5=Education …",12,"household (credit, durables, savings)",0,0,0,16266,3183,15798,1968,15770,4368,,,EICV4_CS: Loan amount; EICV4_VUP: Loan amount; EICV5_CS: Loan amount; EICV5_VUP: Loan amount,
s10aq8,Total interest payment,int32,"999999=Missing, 99999999=Missing",2,"household (credit, durables, savings)",0,0,0,16266,3183,15798,1968,0,0,,"s10aq8_v2 (EICV7_CS, EICV7_VUP)",,
s10aq9,Purpose of loan,int8,"1=Agricultural equipment, 2=Agricultural inputs, 3=Business expansion, 4=Home improvement, 5=Education …",11,"household (credit, durables, savings)",0,0,0,16266,3183,15798,1968,0,0,,"s10aq9_v2 (EICV7_CS, EICV7_VUP)",,"{""7"": [""Ceremonial (marriage, funeral, baptism)"", ""Ceremonial _marriage, funeral, baptism_""]}"
s10aq10_v2,[EICV4_CS..EICV4_VUP version] Property required to secure the loan,int8,"1=Land, 2=Animals, 3=House, 4=None, 5=Other …",6,"household (credit, durables, savings)",0,0,0,16266,3183,0,0,0,0,,"s10aq10 (EICV5_CS, EICV5_VUP)",,
s10aq11,Has loan been cleared,int8,"1=Yes, all, 2=Yes, part, 3=No, 9=Missing",4,"household (credit, durables, savings)",0,0,0,16266,3183,15798,1968,0,0,,,EICV4_CS: Loan has been repaid; EICV4_VUP: Loan has been repaid,
s10aq12_v2,[EICV4_CS..EICV4_VUP version] Amount of loan paid in last 12 months,int32,"9999999=Missing, 99999999=Missing",2,"household (credit, durables, savings)",0,0,0,9692,1897,0,0,0,0,,"s10aq12 (EICV5_CS, EICV5_VUP)",,
hhtype,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,"household (credit, durables, savings)",0,0,0,20974,0,0,0,0,0,,,,
rwanda,All Rwanda,int8,1=All Rwanda,1,"household (credit, durables, savings)",0,0,0,20974,0,0,0,0,0,,,,
surveyh,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,"household (credit, durables, savings)",0,0,0,20974,3907,0,0,0,0,,,,
consumption,aggregate consumption/ae in Jan14 Prices,double,,0,"household (credit, durables, savings)",0,0,0,20974,0,0,0,0,0,,,,
s0q19m,Month of interview,int8,,0,"household (credit, durables, savings)",0,0,0,20974,3907,0,0,0,0,,,,
s0q19y,Year of interview,int8,,0,"household (credit, durables, savings)",0,0,0,20974,3907,0,0,0,0,,,,
vup_strata,"VUP stratum (province, component)",int8,,0,"household (credit, durables, savings)",0,0,0,0,3907,0,0,0,0,,,,
poverty,Welfare Categories,int8,"1=Severaly Poor, 2=Moderately poor, 3=Non Poor",3,"household (credit, durables, savings)",0,0,0,0,0,15800,0,20509,5404,,"poverty_v2 (EICV3, EICV4_CS)",EICV5_CS: Welfare categories,"{""1"": [""Severaly Poor"", ""Severely poor""]}"
s10aq10,Collateral of loan,int8,"1=Land, 2=Animals, 3=House, 4=None, 5=Other",5,"household (credit, durables, savings)",0,0,0,0,0,15798,1968,0,0,,"s10aq10_v2 (EICV4_CS, EICV4_VUP)",,
s10aq12,How much of loan was cleared,int32,88888888=Dont know,1,"household (credit, durables, savings)",0,0,0,0,0,9240,1022,0,0,,"s10aq12_v2 (EICV4_CS, EICV4_VUP)",,
s10aq99,Other loan,int8,"1=Yes, 2=No",2,"household (credit, durables, savings)",0,0,0,0,0,15798,0,0,0,,,,
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,"household (credit, durables, savings)",0,0,0,0,0,0,1968,0,0,,,,
s0q18m,Month of interview,int8,,0,"household (credit, durables, savings)",0,0,0,0,0,0,1968,0,0,,,,
s0q18y,Year of interview,int16,,0,"household (credit, durables, savings)",0,0,0,0,0,0,1968,0,0,,,,
s10aq1,Household member tried to obtain a loan,int8,"1=Yes, 2=No",2,"household (credit, durables, savings)",0,0,0,0,0,0,0,20509,5404,,,,
s10aq2,Main reason why loan was denied,int8,"1=Insuffivient income, 2=Insufficient collateral, 3=Problems related to debts history, 4=Unclear purpose of the loan, 5=Other reasons",5,"household (credit, durables, savings)",0,0,0,0,0,0,0,1225,353,,,,
s10aq3,Household members owe money,int8,"1=Yes, 2=No",2,"household (credit, durables, savings)",0,0,0,0,0,0,0,20509,5404,,,,
s10aq6_v2,[EICV7_CS..EICV7_VUP version] Loan source,int8,"1= Employer loan, 2=Commercial Bank, 3=Borrowed from relative, 4=Credit cooperative, 5=Tontine (community) …",12,"household (credit, durables, savings)",0,0,0,0,0,0,0,15770,4368,,"s10aq6 (EICV4_CS, EICV4_VUP, EICV5_CS, EICV5_VUP)",,
s10aq8_v2,[EICV7_CS..EICV7_VUP version] Property required to secure the loan,int8,"1=Land, 2=Animals, 3=House, 4=None, 5=Other",5,"household (credit, durables, savings)",0,0,0,0,0,0,0,15770,4368,,"s10aq8 (EICV4_CS, EICV4_VUP, EICV5_CS, EICV5_VUP)",,
s10aq9_v2,[EICV7_CS..EICV7_VUP version] Has loan been repaid partislly or completely,int8,"1=Yes, all, 2=Yes, part, 3=No",3,"household (credit, durables, savings)",0,0,0,0,0,0,0,15770,4368,,"s10aq9 (EICV4_CS, EICV4_VUP, EICV5_CS, EICV5_VUP)",,
strata_id,VUP Strata,int16,"1=Direct Support, 2=Financial Services, 3=NSDS, 4=Classic Public Work, 5=Expanded Public Work …",7,"household (credit, durables, savings)",0,0,0,0,0,0,0,20509,5404,,,EICV7_CS: strata_id,
quintile_v2,[EICV7_CS..EICV7_VUP version] Quintiles of real consumption per ae,int8,"1=Poor, 2=Poor/mid, 3=Mid, 4=Mid/upper, 5=Upper",5,"household (credit, durables, savings)",0,0,0,0,0,0,0,20509,5404,,"quintile (EICV3, EICV4_CS, EICV5_CS)",,
pov_jan,Total Poverty Headcount Ratio,int8,"0=Non Poor, 100=Poor",2,"household (credit, durables, savings)",0,0,0,0,0,0,0,20509,5404,,,,
epov_jan,Extreme Poverty Headcount Ratio,int8,"0=Non Extreme Poor, 100=Extreme Poor",2,"household (credit, durables, savings)",0,0,0,0,0,0,0,20509,5404,,,,
province_2,Province,int8,"1=Kigali City, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,"household (credit, durables, savings)",0,0,0,0,0,0,0,0,5404,,,,
