variable,label,type,value_labels,n_value_labels,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,18251,46621,44453,7606,38326,4613,,,,
year,Survey year (mid-fieldwork),int16,,0,18251,46621,44453,7606,38326,4613,,,,
wave,Wave / round id,string,,0,159870,159870,159870,159870,159870,159870,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,18251,46621,44453,7606,38326,4613,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,18251,46621,44453,7606,38326,4613,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,18251,46621,44453,7606,38326,4613,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,18251,46621,44453,7606,38326,4613,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,18251,46621,44453,7606,38326,4613,,,,
hhid,Household id (unique within wave),int32,,0,18251,46621,44453,7606,38326,4613,,,,
pid,Person number within the household,int8,99=Exit code,1,18251,0,0,0,0,0,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,18251,46621,44453,7606,38326,4613,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,18251,46621,44453,7606,38326,4613,,,,
id6,Household number,int8,,0,18251,0,0,0,0,0,,,,
id1,Strata,int8,"1=City of Kigali, 2=Other urban, 3=Rural",3,18251,0,0,0,0,0,,,,
id2,Province,int8,"1=City of Kigali, 2=Kigali Ngali, 3=Gitarama, 4=Butare, 5=Gikongoro …",12,18251,0,0,0,0,0,,,,
item,Item code of large scale agricultural production,int8,"1=Rice, 2=Corn, 3=Sorghum, 4=Wheat, 5=Other grains …",58,17717,0,0,0,0,0,,,,
