variable,label,type,value_labels,n_value_labels,universe,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,"household / farm (agriculture, livestock)",44385,121882,145711,25271,118099,14136,,,,
year,Survey year (mid-fieldwork),int16,,0,"household / farm (agriculture, livestock)",44385,121882,145711,25271,118099,14136,,,,
wave,Wave / round id,string,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,0,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,"household / farm (agriculture, livestock)",44385,121882,145711,25271,118099,14136,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,"household / farm (agriculture, livestock)",44385,121882,145711,25271,118099,14136,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,"household / farm (agriculture, livestock)",44385,121882,145711,25271,118099,14136,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,"household / farm (agriculture, livestock)",44385,121882,145711,25271,118099,14136,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,"household / farm (agriculture, livestock)",44385,121882,145711,25271,118099,14136,,,,
hhid,Household id (unique within wave),int32,,0,"household / farm (agriculture, livestock)",44385,121882,145711,25271,118099,14136,,,,
pid,Person number within the household,int8,99=Exit code,1,"household / farm (agriculture, livestock)",44385,0,0,0,0,0,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,"household / farm (agriculture, livestock)",44385,121882,145711,25271,118099,14136,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,"household / farm (agriculture, livestock)",44385,121882,145711,25271,118099,14136,,,,
id6,Household number,int8,,0,"household / farm (agriculture, livestock)",44385,0,0,0,0,0,,,,
id1,Strata,int8,"1=City of Kigali, 2=Other urban, 3=Rural",3,"household / farm (agriculture, livestock)",44385,0,0,0,0,0,,,,
id2,Province,int8,"1=City of Kigali, 2=Kigali Ngali, 3=Gitarama, 4=Butare, 5=Gikongoro …",12,"household / farm (agriculture, livestock)",44385,0,0,0,0,0,,,,
item,Item code of small scale agricultural production,int8,"1=Rice, 2=Corn, 3=Sorghum, 4=Wheat, 5=Other grains …",64,"household / farm (agriculture, livestock)",42328,0,0,0,0,0,,,,
