variable,label,type,value_labels,n_value_labels,universe,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,n_EICV7_CS,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,"household (credit, durables, savings)",147637,186300,400624,389313,66420,364350,41100,406458,101817,,,,
year,Survey year (mid-fieldwork),int16,,0,"household (credit, durables, savings)",147637,186300,400624,389313,66420,364350,41100,406458,101817,,,,
wave,Wave / round id,string,,0,"household (credit, durables, savings)",0,0,0,0,0,0,0,0,0,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,"household (credit, durables, savings)",147637,186300,400624,389313,66420,364350,41100,406458,101817,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,"household (credit, durables, savings)",147637,186300,400624,389313,66420,364350,41100,406458,101817,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,"household (credit, durables, savings)",147637,186300,400624,389313,66420,364350,41100,406458,101817,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,"household (credit, durables, savings)",147637,186300,400624,389313,66420,364350,41100,406458,101817,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,"household (credit, durables, savings)",147637,186300,400624,389313,66420,364350,41100,406458,101817,,,,
hhid,Household id (unique within wave),double,,0,"household (credit, durables, savings)",147637,186300,400624,389313,66420,364350,41100,406458,101817,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,"household (credit, durables, savings)",147637,186300,400624,389313,66420,364350,41100,406458,101817,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,"household (credit, durables, savings)",147637,186300,400624,389313,66420,364350,41100,406458,101817,,,,
rectype,Record type,string,,0,"household (credit, durables, savings)",147637,186300,400624,389313,66420,364350,41100,406458,101817,,,,
strate,Area,int8,,0,"household (credit, durables, savings)",147637,0,0,0,0,0,0,0,0,,,,
prefect,Province,int8,"1=Butare, 2=Byumba, 3=Cyangugu, 4=Gikongoro, 5=Gisenyi …",12,"household (credit, durables, savings)",147637,0,0,0,0,0,0,0,0,,,,
s12bq1,Asset code,int16,"805=Lounge suite, 808=Refrigerator, 809=Freezer, 810=Radio, 811=Radio-cassette …",22,"household (credit, durables, savings)",147637,0,0,0,0,0,0,0,0,,,,
s12bq2,Does any member own this asset?,int8,"1=Yes, 2=No",2,"household (credit, durables, savings)",147637,0,0,0,0,0,0,0,0,,,,
s12bq3a,Item 1 - how long ago was this item bought/acquired?,int8,98=less than one year,1,"household (credit, durables, savings)",16918,0,0,0,0,0,0,0,0,,,,
s12bq3b,Item 2 - how long ago was this item bought/acquired?,int8,98=less than one year,1,"household (credit, durables, savings)",5676,0,0,0,0,0,0,0,0,,,,
s12bq3c,Item 3 - how long ago was this item bought/acquired?,int8,98=less than one year,1,"household (credit, durables, savings)",2924,0,0,0,0,0,0,0,0,,,,
s12bq4a,Item 1 - purchase price,int32,,0,"household (credit, durables, savings)",16878,0,0,0,0,0,0,0,0,,,,
s12bq4b,Item 2 - purchase price,int32,,0,"household (credit, durables, savings)",5718,0,0,0,0,0,0,0,0,,,,
s12bq4c,Item 3 - purchase price,int32,,0,"household (credit, durables, savings)",2956,0,0,0,0,0,0,0,0,,,,
s12bq5a,Item 1 - Selling price now,int32,,0,"household (credit, durables, savings)",16815,0,0,0,0,0,0,0,0,,,,
s12bq5b,Item 2 - Selling price now,int32,,0,"household (credit, durables, savings)",5686,0,0,0,0,0,0,0,0,,,,
s12bq5c,Item 3 - Selling price now,int32,,0,"household (credit, durables, savings)",2942,0,0,0,0,0,0,0,0,,,,
id6,Household number,int8,,0,"household (credit, durables, savings)",0,186300,0,0,0,0,0,0,0,,,,
id1,Strata,int8,"1=City of Kigali, 2=Other urban, 3=Rural",3,"household (credit, durables, savings)",0,186300,0,0,0,0,0,0,0,,,,
id2,Province,int8,"1=City of Kigali, 2=Kigali Ngali, 3=Gitarama, 4=Butare, 5=Gikongoro …",12,"household (credit, durables, savings)",0,186300,0,0,0,0,0,0,0,,,,
item,Item code,int8,"1=Living room suite, 2=Refrigerator, 3=Freezer, 4=Radio, 5=Cassette radio …",28,"household (credit, durables, savings)",0,186300,400624,0,0,0,0,0,0,,,,"{""1"": [""Living room set"", ""Living room suite""], ""5"": [""Cassette radio"", ""Radio-cassette""], ""6"": [""TV Set"", ""Television""], ""7"": [""Decoder"", ""Satellite antenna""], ""8"": [""Satellite dish"", ""VCR or DVD player""], ""9"": [""Computer"", ""Video or DVD player""], ""10"": [""Cha\u00eene musicale"", ""Computer and accessories""], ""11"": [""Music system"", ""Telephone (land or cell)""], ""12"": [""Stove"", ""Telephone landline""], ""13"": [""Clothes washer/dryer"", ""Mobile telephone""], ""14"": [""Cooker"", ""Fan""], ""15"": [""Air conditioner"", ""Laundry machine""], ""16"": [""Electric fan"", ""Sewing machine""], ""17"": [""Air conditioner"", ""Bed""], ""18"": [""Sewing machine"", ""Wardrobe""], ""19"": [""Bed"", ""Book shelves""], ""20"": [""Cupboard"", ""Tables""], ""21"": [""Bookcase"", ""Chairs""], ""22"": [""Car"", ""Table""], ""23"": [""Chair"", ""Minibus""], ""24"": [""None taxi car"", ""Truck or trailer""], ""25"": [""Motorcycle"", ""None Taxi minibus""], ""26"": ["" None  taxi Motocyle"", ""Canoe""], ""27"": ["" None business Boat"", ""Bicycle""]}"
s11bq2,Number of articles in the household,int8,0=None,1,"household (credit, durables, savings)",0,186300,400624,0,0,0,0,0,0,,,EICV2: Quantity in the household,"{""0"": [""None"", ""Zero""]}"
s11bq3a,Age of item 1,int8,98=Less than one year,1,"household (credit, durables, savings)",0,22545,0,0,0,0,0,0,0,,,,
s11bq3b,Age of item 2,int8,98=Less than one year,1,"household (credit, durables, savings)",0,8932,0,0,0,0,0,0,0,,,,
s11bq3c,Age of item 3,int8,98=Less than one year,1,"household (credit, durables, savings)",0,4713,0,0,0,0,0,0,0,,,,
s11bq4a,Article 1 purchase price,double,,0,"household (credit, durables, savings)",0,21800,56602,0,0,0,0,0,0,,,EICV2: Purchase price of item 1,
s11bq4b,Article 2 purchase price,double,,0,"household (credit, durables, savings)",0,8605,22488,0,0,0,0,0,0,,,EICV2: Purchase price of item 2,
s11bq4c,Article 3 purchase price,double,,0,"household (credit, durables, savings)",0,4554,11488,0,0,0,0,0,0,,,EICV2: Purchase price of item 3,
s11bq5a,Article 1 current value,double,,0,"household (credit, durables, savings)",0,22537,56602,0,0,0,0,0,0,,,EICV2: Current market value of item 1,
s11bq5b,Article 2 current value,double,,0,"household (credit, durables, savings)",0,8936,22488,0,0,0,0,0,0,,,EICV2: Current market value of item 2,
s11bq5c,Article 3 current value,double,,0,"household (credit, durables, savings)",0,4720,11488,0,0,0,0,0,0,,,EICV2: Current market value of item 3,
dstrat,Design strata,int16,"111=Kigali lowest quartile socio-economic strata, 112=Kigali quartile 2 socio-economic strata, 113=Kigali quartile 3 socio-economic strata, 114=Kigali highest quartile socio-economic strata, 119=Kigali (semi-rural) …",32,"household (credit, durables, savings)",0,186300,0,0,0,0,0,0,0,,,,
quintile,Quintile,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,"household (credit, durables, savings)",0,0,400624,389313,0,364350,0,0,0,,"quintile_v2 (EICV7_CS, EICV7_VUP)",EICV4_CS: QUINTILE,
poverty_v2,[EICV3..EICV4_CS version] POVERTY,int8,"1=Extremely poor, 2=Poor, 3=Non-poor",3,"household (credit, durables, savings)",0,0,400624,389313,0,0,0,0,0,,"poverty (EICV5_CS, EICV7_CS, EICV7_VUP)",EICV3: Poverty status; EICV4_CS: POVERTY,
s11bq3am,Article 1 purchase month,int8,0=,1,"household (credit, durables, savings)",0,0,56602,0,0,0,0,0,0,,,,
s11bq3ay,Article 1 purchase year,int16,9999=Missing,1,"household (credit, durables, savings)",0,0,56602,0,0,0,0,0,0,,,,
s11bq3bm,Article 2 purchase month,int8,0=Not applicable,1,"household (credit, durables, savings)",0,0,22488,0,0,0,0,0,0,,,,
s11bq3by,Article 2 purchase year,int16,"0=Not applicable, 9999=Missing",2,"household (credit, durables, savings)",0,0,22488,0,0,0,0,0,0,,,,
s11bq3cm,Article 3 purchase month,int8,0=Not applicable,1,"household (credit, durables, savings)",0,0,11488,0,0,0,0,0,0,,,,
s11bq3cy,Article 3 purchase year,int16,"0=Not applicable, 9999=Missing",2,"household (credit, durables, savings)",0,0,11488,0,0,0,0,0,0,,,,
ur2012,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,"household (credit, durables, savings)",0,0,0,389313,66420,0,0,0,0,,,,
region,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,"household (credit, durables, savings)",0,0,0,389313,66420,364350,0,0,0,,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
