variable,label,type,value_labels,n_value_labels,universe,n_EICV1,n_EICV2,n_EICV3,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,household (non-farm enterprises),6560,2516,61405,,,,
year,Survey year (mid-fieldwork),int16,,0,household (non-farm enterprises),6560,2516,61405,,,,
wave,Wave / round id,string,,0,household (non-farm enterprises),0,0,0,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,household (non-farm enterprises),6560,2516,61405,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,household (non-farm enterprises),6560,2516,61405,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,household (non-farm enterprises),6560,2516,61405,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,household (non-farm enterprises),6560,2516,61405,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,household (non-farm enterprises),6560,2516,61405,,,,
hhid,Household id (unique within wave),double,,0,household (non-farm enterprises),6560,2516,61405,,,,
pid,Person number within the household,int8,,0,household (non-farm enterprises),0,2516,61405,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,household (non-farm enterprises),6560,2516,61405,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,household (non-farm enterprises),6560,2516,61405,,,,
rectype,Record type,string,,0,household (non-farm enterprises),6560,2516,61405,,,,
strate,Area,int8,,0,household (non-farm enterprises),6560,0,0,,,,
prefect,Province,int8,"1=Butare, 2=Byumba, 3=Cyangugu, 4=Gikongoro, 5=Gisenyi …",12,household (non-farm enterprises),6560,0,0,,,,
s10aq0,Did any member of hh engage in a non-farm enterprise?,int8,"1=Yes, 2=No",2,household (non-farm enterprises),6420,0,0,,,,
ent1001,Enterprise/Activity Number,int8,,0,household (non-farm enterprises),1264,0,0,,,,
s10aq1,ID No of person operating enterprise,int8,,0,household (non-farm enterprises),1264,0,0,,,,
s10aq2,ID No of person interviewed,int8,,0,household (non-farm enterprises),1264,0,0,,,,
s10aq3,Enterprise/Activity Code,int16,"0=, 20=, 31=Surveyor, 33=Civil Engineering Technician, 34=Electrical and Electronics Engineering Technician …",103,household (non-farm enterprises),1264,0,0,,,,
s10aq4a,Number of years activity has been operating,int8,,0,household (non-farm enterprises),1264,0,0,,,,
s10aq4b,Number of months activity has been operating,int8,,0,household (non-farm enterprises),1130,0,0,,,,
s10aq5,Number of months operating in last 12 months,int8,,0,household (non-farm enterprises),1264,0,0,,,,
s10aq6,Does income belong entirely to you and the hh?,int8,"1=Yes, 2=No",2,household (non-farm enterprises),1264,0,0,,,,
s10aq7,What % of income goes to you and this hh?,int8,,0,household (non-farm enterprises),45,0,0,,,,
s10aq8a,First main buyer of the goods/services from this enterprise,int8,"1=Other households and individuals, 2=Small private enterprise, 3=Large private enterprise, 4=Government, 5=Enterprises public/quasi public …",8,household (non-farm enterprises),1264,0,0,,,,
s10aq8b,% of output 1st main buyer purchases,int8,,0,household (non-farm enterprises),1264,0,0,,,,
s10aq8c,Second main buyer of goods/services form this enterprise,int8,"1=Other households and individuals, 2=Small private enterprise, 3=Large private enterprise, 4=Government, 5=Enterprises public/quasi public …",8,household (non-farm enterprises),286,0,0,,,,
s10aq8d,% of output 2nd main buyer purchases,int8,,0,household (non-farm enterprises),287,0,0,,,,
s10aq9a,How many customers do you usually sell to?,int16,,0,household (non-farm enterprises),1264,0,0,,,,
s10aq9b,How often?,int8,"1=Day, 2=Week, 3=Month, 4=Quarter, 5=Year",5,household (non-farm enterprises),1264,0,0,,,,
s10aq10,Is enterprise registered with a government agency?,int8,"1=Yes, 2=No",2,household (non-farm enterprises),1264,0,0,,,,
s10aq11,Does this enterprise keep accounts?,int8,"1=Yes, 2=No",2,household (non-farm enterprises),1264,0,0,,,,
var00001,,int8,,0,household (non-farm enterprises),0,0,0,,,,
var00002,,int8,,0,household (non-farm enterprises),0,0,0,,,,
var00003,,int8,,0,household (non-farm enterprises),0,0,0,,,,
id6,Household number,int8,,0,household (non-farm enterprises),0,2516,0,,,,
id1,Strata,int8,"1=Kigali urban, 2=Other urban, 3=Rural",3,household (non-farm enterprises),0,2516,0,,,,
id2,Province,int8,"1=City of Kigali, 2=Kigali Ngali, 3=Gitarama, 4=Butare, 5=Gikongoro …",12,household (non-farm enterprises),0,2516,0,,,,
eid,Employment ID number,int8,,0,household (non-farm enterprises),0,2516,61405,,,EICV2: Employment ID,
s7aq3,Occupation - Grouped,int16,"1=Professionals, 2=Senior Officials and Managers, 3=Office Clerks, 4=Commercial and Sales, 5=Skilled Service Sector …",298,household (non-farm enterprises),0,2516,7968,,,EICV2: Occupation code,
s7aq4_v2,[EICV2..EICV2 version] Activity code,int16,"111=Agricultural food production, 112=Industrial agricultural production, 113=Agricultural fruit production, 114=Food processing, 121=Animal husbandry …",114,household (non-farm enterprises),0,2510,0,,s7aq4 (EICV3),,
s7aq5a_v2,[EICV2..EICV2 version] 1st person employed by enterprise,int8,0=Not applicable,1,household (non-farm enterprises),0,2516,0,,s7aq5a (EICV3),,
s7aq5b_v2,[EICV2..EICV2 version] 2nd person employed by enterprise,int8,0=Not applicable,1,household (non-farm enterprises),0,2516,0,,s7aq5b (EICV3),,
s7aq5c_v2,[EICV2..EICV2 version] 3 rd person employed by enterprise,int8,0=Not applicable,1,household (non-farm enterprises),0,2516,0,,s7aq5c (EICV3),,
s7aq6,Expenses of the enterprise,int32,0=Zero,1,household (non-farm enterprises),0,2513,0,,,,
s7aq6t,Unit of time,int8,"0=Missing, 1=Per day, 2=Per week, 3=Per month, 4=Per year",5,household (non-farm enterprises),0,2386,0,,,,
s7aq7,Estimated revenues of enterprise,int32,,0,household (non-farm enterprises),0,2508,0,,,,
s7aq7t,Unit of time,int8,"0=Missing, 1=Per day, 2=Per week, 3=Per month, 4=Per year",5,household (non-farm enterprises),0,2516,0,,,,
s7bq2_v2,[EICV2..EICV2 version] ID of person interviewed,int8,,0,household (non-farm enterprises),0,2510,0,,s7bq2 (EICV3),,
s7bq3a,Years since establishment of enterprise,int8,,0,household (non-farm enterprises),0,2515,0,,,,
s7bq3m_v2,[EICV2..EICV2 version] Months since the establishment of enterprise,int8,0=Less than one month,1,household (non-farm enterprises),0,2515,0,,s7bq3m (EICV3),,
s7bq4,Number of months business operating last 12 months,int8,0=Les than one month,1,household (non-farm enterprises),0,2514,7968,,,EICV2: Months active in the last 12 months,
s7bq5_v2,[EICV2..EICV2 version] Revenue belongs to the household,int8,"1=Yes, 2=No",2,household (non-farm enterprises),0,2513,0,,s7bq5 (EICV3),,
s7bq6,Percentage of profit belonging to household,int16,,0,household (non-farm enterprises),0,89,239,,,EICV2: Percentage of revenue that returns to the househol,
s7bq7_v2,[EICV2..EICV2 version] Registered with a state authority,int8,"1=Yes, 2=No",2,household (non-farm enterprises),0,2509,0,,s7bq7 (EICV3),,
s7bq8_v2,[EICV2..EICV2 version] Enterprise has an accounting system,int8,"1=Yes, 2=No",2,household (non-farm enterprises),0,2505,0,,s7bq8 (EICV3),,
s7bq9_v2,[EICV2..EICV2 version] Number of people employed in the last 12 months,int16,0=Nobody,1,household (non-farm enterprises),0,2484,0,,s7bq9 (EICV3),,
s7bq10,Number of people employed last 3 months,int8,91=Greater than 90,1,household (non-farm enterprises),0,567,7968,,,EICV2: Number of household members employed,
s7bq11_v2,[EICV2..EICV2 version] Major obstacle in creating the enterprise,int8,"1=No difficulty, 2=Lack of capital, 3=Access to credit, 4=Administrative regulations, 5=Location …",8,household (non-farm enterprises),0,2466,0,,s7bq11 (EICV3),,
s7bq12_v2,[EICV2..EICV2 version] Primary source of capital,int8,"1=Household savings, 2=Loan from commercial bank, 3=Loan from parents, 4=Loan from popular bank, 5=COOPEC …",8,household (non-farm enterprises),0,2445,0,,s7bq12 (EICV3),,
s7bq13_v2,[EICV2..EICV2 version] Sought credit at a formal lending institution,int8,"1=Yes, successfully, 2=Yes, unsuccessfully, 3=No",3,household (non-farm enterprises),0,2466,0,,s7bq13 (EICV3),,
s7bq14_v2,[EICV2..EICV2 version] Primary source of credit,int8,"1=Commercial banks, 2=Popular Bank, 3=COOPEC, 4=Other financial institution, 5=Loan agents …",8,household (non-farm enterprises),0,289,0,,s7bq14 (EICV3),,
s7bq15,Main source of credit for business last 12 months,int32,"1=Commercial bank loan, 2=State fund, 3=Borrowed money from family or friends, 4=Coopertive loan, 5=Tontine (commmunity) …",8,household (non-farm enterprises),0,289,979,,,EICV2: Amount borrowed in the last twelve (12) months,
s7bq16_v2,[EICV2..EICV2 version] Amount of loan repaid,int32,0=Nothing reimbursed,1,household (non-farm enterprises),0,292,0,,s7bq16 (EICV3),,
dstrat,Design strata,int16,"111=Kigali lowest quartile socio-economic strata, 112=Kigali quartile 2 socio-economic strata, 113=Kigali quartile 3 socio-economic strata, 114=Kigali highest quartile socio-economic strata, 119=Kigali (semi-rural) …",32,household (non-farm enterprises),0,2516,0,,,,
quintile,Quintile,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,household (non-farm enterprises),0,0,61405,,,,
poverty,Poverty status,int8,"1=Extremely poor, 2=Poor, 3=Non-poor",3,household (non-farm enterprises),0,0,61405,,,,
s7aq4,Industry Group,int16,"11=11 Agriculture, 12=12 Livestock, 13=13 Forestry, 14=14 Fishing & Hunting, 21=21 Mining …",34,household (non-farm enterprises),0,0,7968,,s7aq4_v2 (EICV2),,
s7aq5a,Other members in businness-ID no.of employment I,int8,0=Not applicable,1,household (non-farm enterprises),0,0,7968,,s7aq5a_v2 (EICV2),,
s7aq5b,Other members in businness-ID no.of employment II,int8,0=Not applicable,1,household (non-farm enterprises),0,0,7968,,s7aq5b_v2 (EICV2),,
s7aq5c,Other members in businness-ID no.of employment III,int8,0=Not applicable,1,household (non-farm enterprises),0,0,7968,,s7aq5c_v2 (EICV2),,
s7aq6a,Expenditure on labour,int32,,0,household (non-farm enterprises),0,0,7968,,,,
s7aq6b,Unit of time,int8,"0=Not Applicable, 1=Daily, 2=Weekly, 3=Monthly, 4=Annually",5,household (non-farm enterprises),0,0,7968,,,,
s7aq7a,Non labour expenditure,int32,,0,household (non-farm enterprises),0,0,7968,,,,
s7aq7b,Unit of time,int8,"0=Not Applicable, 1=Daily, 2=Weekly, 3=Monthly, 4=Annually",5,household (non-farm enterprises),0,0,7968,,,,
s7aq8a,Income of business,int32,,0,household (non-farm enterprises),0,0,7968,,,,
s7aq8b,Unit of time,int8,"0=Not Applicable, 1=Daily, 2=Weekly, 3=Monthly, 4=Annually",5,household (non-farm enterprises),0,0,7968,,,,
s7aq9,Part of coorperative business,int8,"1=Yes, association, 2=Yes, cooperative, 3=No",3,household (non-farm enterprises),0,0,7968,,,,
s7bq2,PID of respondent,int32,,0,household (non-farm enterprises),0,0,7968,,s7bq2_v2 (EICV2),,
s7bq3y,Duration business functionig-years,int8,61=Greater than 60,1,household (non-farm enterprises),0,0,7968,,,,
s7bq3m,Duration business functionig-months,int8,,0,household (non-farm enterprises),0,0,7968,,s7bq3m_v2 (EICV2),,
s7bq5,Profit belonging to household,int8,"1=Yes, 2=No",2,household (non-farm enterprises),0,0,7968,,s7bq5_v2 (EICV2),,
s7bq7,Business registration for VAT,int8,"1=Yes, 2=No, 3=Don't know",3,household (non-farm enterprises),0,0,7968,,s7bq7_v2 (EICV2),,
s7bq8,Business registration with another government agency,int8,"1=District or sector, 2=Private sector federation, 3=No",3,household (non-farm enterprises),0,0,7968,,s7bq8_v2 (EICV2),,
s7bq9,Mantaining accounts,int8,"1=Yes, 2=No",2,household (non-farm enterprises),0,0,7968,,s7bq9_v2 (EICV2),,
