variable,label,type,value_labels,n_value_labels,n_EICV1,n_EICV2,n_EICV3,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,101757,82342,201870,,,,
year,Survey year (mid-fieldwork),int16,,0,101757,82342,201870,,,,
wave,Wave / round id,string,,0,0,0,0,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,101757,82342,201870,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,101757,82342,201870,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,101757,82342,201870,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,101757,82342,201870,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,101757,82342,201870,,,,
hhid,Household id (unique within wave),double,,0,101757,82342,201870,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,101757,82342,201870,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,101757,82342,201870,,,,
rectype,Record type,string,,0,101757,82342,201870,,,,
strate,Area,int8,,0,101757,0,0,,,,
prefect,Province,int8,"1=Butare, 2=Byumba, 3=Cyangugu, 4=Gikongoro, 5=Gisenyi …",12,101757,0,0,,,,
s8bq24,Did any member of household own any Ag. equipment during last 12 months?,int8,"1=Yes, 2=No",2,6420,0,0,,,,
s8bq25,Type of Agricultural equipment,int16,"301=Hoe/Spade, 302=Machete, 303=Hatchets/axes, 304=Sickles/Knives, 305=Pick …",18,100945,0,0,,,,
s8bq26,Does any member of household now own this equipment?,int8,"1=Yes, 2=No",2,100945,0,0,,,,
s8bq27,How many?,int8,,0,16326,0,0,,,,
s8bq28,How long ago was the last one bought (years)?,int8,98=Free - not purchased,1,16326,0,0,,,,
s8bq29,What was the purchase price of a unit?,int32,,0,14326,0,0,,,,
s8bq30,What would this be worth if sold now?,int32,,0,16321,0,0,,,,
s8bq31,Did you rent out any during the last 12 months?,int8,"1=Yes, 2=No",2,240,0,0,,,,
s8bq32,What was the rental amount?,int32,,0,13,0,0,,,,
s8bq33,Did you sell any during the last 12 months?,int8,"1=Yes, 2=No",2,16329,0,0,,,,
s8bq34,What was the total amount of sales?,int16,,0,12,0,0,,,,
id6,Household number,int8,,0,0,82342,0,,,,
id1,Strata,int8,"1=City of Kigali, 2=Other urban, 3=Rural",3,0,82342,0,,,,
id2,Province,int8,"1=City of Kigali, 2=Kigali Ngali, 3=Gitarama, 4=Butare, 5=Gikongoro …",12,0,82342,0,,,,
item,Equipment code,int8,"1=Hoes or shovels, 2=Machetes, 3=Hatchet or axes, 4=Sickles and knifes, 5=Rakes and spades …",15,0,82342,201870,,,,"{""4"": [""Sickles and knifes"", ""Sickles and knives""], ""5"": [""Picks"", ""Rakes and spades""], ""6"": [""Picks"", ""Rakes and spades""], ""7"": [""Wheel barrow"", ""Wheelbarrows""], ""9"": [""Decortiquese"", ""Other handtools""], ""10"": [""Mills and pestles"", ""Peeling machine""], ""11"": [""Mills and pestles"", ""Pulveriser""], ""12"": [""Hopper"", ""Sower/drill""], ""13"": [""Crop sprayer"", ""Other equipment""]}"
s8b2q3_v2,[EICV2..EICV2 version] Household possesses item,int8,"1=Yes, 2=No",2,0,82342,0,,s8b2q3 (EICV3),,
s8b2q4_v2,[EICV2..EICV2 version] Quantity in household,int8,,0,0,18906,0,,s8b2q4 (EICV3),,
s8b2q5_v2,[EICV2..EICV2 version] Years since the last purchase,int8,"-1=Missing, 98=Free",2,0,18911,0,,s8b2q5 (EICV3),,
s8b2q6,Unit Price of equipment,int32,,0,0,17500,43128,,,EICV2: Purchase price,
s8b2q7,Current value of equipment,int32,,0,0,18882,46552,,,EICV2: Current value,
s8b2q8,Rented out the equipment in the last 12 months,int8,"1=Yes, 2=No",2,0,390,46552,,,EICV2: Rented in the last 12 months,
s8b2q9,Amount received from the rental,int32,,0,0,62,81,,,EICV2: Amount earned from rental,
s8b2q10,Sold any equipment in hte last 12 months,int8,"1=Yes, 2=No",2,0,18897,46552,,,EICV2: Sold in the last 12 months,
s8b2q11_v2,[EICV2..EICV2 version] Amount of sales,int16,,0,0,22,0,,s8b2q11 (EICV3),,
dstrat,Design strata,int16,"111=Kigali lowest quartile socio-economic strata, 112=Kigali quartile 2 socio-economic strata, 113=Kigali quartile 3 socio-economic strata, 114=Kigali highest quartile socio-economic strata, 119=Kigali (semi-rural) …",32,0,82342,0,,,,
quintile,Quintile,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,0,0,201870,,,,
poverty,Poverty status,int8,"1=Extremely poor, 2=Poor, 3=Non-poor",3,0,0,201870,,,,
s8b2q3,Household owns that equipment,int8,"1=Yes, 2=No",2,0,0,201870,,s8b2q3_v2 (EICV2),,
s8b2q4,Number of equipment owned,int8,98=Not bought,1,0,0,46552,,s8b2q4_v2 (EICV2),,
s8b2q5,How old is equipment bought,int8,"98=Gift, 99=Missing",2,0,0,46552,,s8b2q5_v2 (EICV2),,
s8b2q11,Amount received from the sale,int32,,0,0,0,268,,s8b2q11_v2 (EICV2),,
