variable,label,type,value_labels,n_value_labels,universe,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,n_EICV7_CS,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,EICV2: household (expenditure and own consumption); EICV3: household (expenditure and own consumption); EICV4_CS: household (expenditure and own consumption); EICV4_VUP: household (expenditure and own consumption); EICV5_CS: household (expenditure and own consumption); EICV5_VUP: household (expenditure and own consumption); EICV7_CS: household (consumption by source); EICV7_VUP: household (consumption by source),469200,1273412,994911,169740,1006020,113436,1159158,290367,,,,
year,Survey year (mid-fieldwork),int16,,0,EICV2: household (expenditure and own consumption); EICV3: household (expenditure and own consumption); EICV4_CS: household (expenditure and own consumption); EICV4_VUP: household (expenditure and own consumption); EICV5_CS: household (expenditure and own consumption); EICV5_VUP: household (expenditure and own consumption); EICV7_CS: household (consumption by source); EICV7_VUP: household (consumption by source),469200,1273412,994911,169740,1006020,113436,1159158,290367,,,,
wave,Wave / round id,string,,0,EICV2: household (expenditure and own consumption); EICV3: household (expenditure and own consumption); EICV4_CS: household (expenditure and own consumption); EICV4_VUP: household (expenditure and own consumption); EICV5_CS: household (expenditure and own consumption); EICV5_VUP: household (expenditure and own consumption); EICV7_CS: household (consumption by source); EICV7_VUP: household (consumption by source),0,0,0,0,0,0,0,0,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,EICV2: household (expenditure and own consumption); EICV3: household (expenditure and own consumption); EICV4_CS: household (expenditure and own consumption); EICV4_VUP: household (expenditure and own consumption); EICV5_CS: household (expenditure and own consumption); EICV5_VUP: household (expenditure and own consumption); EICV7_CS: household (consumption by source); EICV7_VUP: household (consumption by source),469200,1273412,994911,169740,1006020,113436,1159158,290367,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,EICV2: household (expenditure and own consumption); EICV3: household (expenditure and own consumption); EICV4_CS: household (expenditure and own consumption); EICV4_VUP: household (expenditure and own consumption); EICV5_CS: household (expenditure and own consumption); EICV5_VUP: household (expenditure and own consumption); EICV7_CS: household (consumption by source); EICV7_VUP: household (consumption by source),469200,1273412,994911,169740,1006020,113436,1159158,290367,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,EICV2: household (expenditure and own consumption); EICV3: household (expenditure and own consumption); EICV4_CS: household (expenditure and own consumption); EICV4_VUP: household (expenditure and own consumption); EICV5_CS: household (expenditure and own consumption); EICV5_VUP: household (expenditure and own consumption); EICV7_CS: household (consumption by source); EICV7_VUP: household (consumption by source),469200,1273412,994911,169740,1006020,113436,1159158,290367,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,EICV2: household (expenditure and own consumption); EICV3: household (expenditure and own consumption); EICV4_CS: household (expenditure and own consumption); EICV4_VUP: household (expenditure and own consumption); EICV5_CS: household (expenditure and own consumption); EICV5_VUP: household (expenditure and own consumption); EICV7_CS: household (consumption by source); EICV7_VUP: household (consumption by source),469200,1273412,994911,169740,1006020,113436,1159158,290367,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,EICV2: household (expenditure and own consumption); EICV3: household (expenditure and own consumption); EICV4_CS: household (expenditure and own consumption); EICV4_VUP: household (expenditure and own consumption); EICV5_CS: household (expenditure and own consumption); EICV5_VUP: household (expenditure and own consumption); EICV7_CS: household (consumption by source); EICV7_VUP: household (consumption by source),469200,1273412,994911,169740,1006020,113436,1159158,290367,,,,
hhid,Household id (unique within wave),int32,,0,EICV2: household (expenditure and own consumption); EICV3: household (expenditure and own consumption); EICV4_CS: household (expenditure and own consumption); EICV4_VUP: household (expenditure and own consumption); EICV5_CS: household (expenditure and own consumption); EICV5_VUP: household (expenditure and own consumption); EICV7_CS: household (consumption by source); EICV7_VUP: household (consumption by source),469200,1273412,994911,169740,1006020,113436,1159158,290367,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,EICV2: household (expenditure and own consumption); EICV3: household (expenditure and own consumption); EICV4_CS: household (expenditure and own consumption); EICV4_VUP: household (expenditure and own consumption); EICV5_CS: household (expenditure and own consumption); EICV5_VUP: household (expenditure and own consumption); EICV7_CS: household (consumption by source); EICV7_VUP: household (consumption by source),469200,1273412,994911,169740,1006020,113436,1159158,290367,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,EICV2: household (expenditure and own consumption); EICV3: household (expenditure and own consumption); EICV4_CS: household (expenditure and own consumption); EICV4_VUP: household (expenditure and own consumption); EICV5_CS: household (expenditure and own consumption); EICV5_VUP: household (expenditure and own consumption); EICV7_CS: household (consumption by source); EICV7_VUP: household (consumption by source),469200,1273412,994911,169740,1006020,113436,1159158,290367,,,,
id6,Household number,int8,,0,household (expenditure and own consumption),469200,0,0,0,0,0,0,0,,,,
id1,Strata,int8,"1=City of Kigali, 2=Other urban, 3=Rural",3,household (expenditure and own consumption),469200,0,0,0,0,0,0,0,,,,
id2,Province,int8,"1=City of Kigali, 2=Kigali Ngali, 3=Gitarama, 4=Butare, 5=Gikongoro …",12,household (expenditure and own consumption),469200,0,0,0,0,0,0,0,,,,
item_v2,[EICV2..EICV2 version] Item,int8,"1=Fabric (cloth) for men, 2=Fabric (cloth) for women, 3=Wrap around cloth for women, 4=Men's garments, 5=Women's garments …",68,household (expenditure and own consumption),469200,0,0,0,0,0,0,0,,item (EICV3),,
s9a1q2,Household purchased article  in last 12 months,int8,"1=Yes, 2=No",2,household (expenditure and own consumption),469200,1273412,0,0,0,0,0,0,,,EICV2: Household purchased item in the last 12 months,
s9a1q3_v2,[EICV2..EICV2 version] Amount of expenditure on item,int32,-1=Missing,1,household (expenditure and own consumption),87626,0,0,0,0,0,0,0,,s9a1q3 (EICV3),,
dstrat,Design strata,int16,"111=Kigali lowest quartile socio-economic strata, 112=Kigali quartile 2 socio-economic strata, 113=Kigali quartile 3 socio-economic strata, 114=Kigali highest quartile socio-economic strata, 119=Kigali (semi-rural) …",32,household (expenditure and own consumption),469200,0,0,0,0,0,0,0,,,,
quintile,Quintile,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,household (expenditure and own consumption),0,1273412,994911,0,1006020,0,0,0,,"quintile_v2 (EICV7_CS, EICV7_VUP)",EICV4_CS: QUINTILE,
poverty_v2,[EICV3..EICV4_CS version] POVERTY,int8,"1=Extremely poor, 2=Poor, 3=Non-poor",3,household (expenditure and own consumption),0,1273412,994911,0,0,0,0,0,,"poverty (EICV5_CS, EICV7_CS, EICV7_VUP)",EICV3: Poverty status; EICV4_CS: POVERTY,
item,Article,int8,"1= Fabric (cloth) for men, 2= Fabric (cloth) for women, 3= Wrap around cloth for women(Igitenge), 4= Men's garments, 5= Women's garments …",89,household (expenditure and own consumption),0,1273412,0,0,0,0,0,0,,item_v2 (EICV2),,
s9a1q3,Amount spent to purchase article,int32,999999999=Missing,1,household (expenditure and own consumption),0,229685,0,0,0,0,0,0,,s9a1q3_v2 (EICV2),,
s9a1q4,Where article was bought,int8,"1=Small shop, 2=Supermarket, 3=Food shop, 4=Market, 5=Mobile seller …",9,household (expenditure and own consumption),0,229685,0,0,0,0,0,0,,,,
ur2012,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,household (expenditure and own consumption),0,0,994911,169740,0,0,0,0,,,,
region,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,household (expenditure and own consumption),0,0,994911,169740,1006020,0,0,0,,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
s8a1q0,Article,int8,"1=Fabric _cloth_ for men, 2=Fabric _cloth_ for women, 3=Wrap around cloth for women_Igitenge_, 4=Men's garments, 5=Men's tailoring …",69,household (expenditure and own consumption),0,0,994911,169740,1006020,113436,0,0,,"s8a1q0_v2 (EICV7_CS, EICV7_VUP)",,"{""1"": [""Fabric (cloth) for men"", ""Fabric _cloth_ for men""], ""2"": [""Fabric (cloth) for women"", ""Fabric _cloth_ for women""], ""3"": [""Wrap around cloth for women(Igitenge)"", ""Wrap around cloth for women_Igitenge_""], ""7"": [""Men's clothing accessories (ties, hats, belts)"", ""Men's clothing accessories _ties, hats, belts_""], ""11"": [""Women's clothing accessories (scarves, hats, belts)"", ""Women's clothing accessories _scarves, hats, belts_""], ""12"": [""Children's clothing (excluding school uniform)"", ""Children's clothing _excluding school uniform_""], ""19"": [""Watches (timepiece)"", ""Watches _timepiece_""], ""24"": [""Hand bags (other than women'\u00c2\u20ac\u00c2\u2122s handbags)"", ""Hand bags _other than women?s handbags_""], ""25"": [""women'\u00c2\u20ac\u00c2\u2122s handbags"", ""women?s handbags""], ""29"": [""Building repairs (supplies)"", ""Building repairs _supplies_""], ""30"": [""Building repairs (labor)"", ""Building repairs _labor_""], ""35"": [""Draperies (curtains)"", ""Draperies _curtains_""], ""45"": [""Other small household appliances (tea kettles etc.)"", ""Other small household appliances _tea kettles etc._""], ""46"": [""Torch (flashlight)"", ""Torch _flashlight_""], ""50"": [""Dishes (tableware)"", ""Dishes _tableware_""], ""51"": [""Kitchen and domestic utensils(Pots and pans)"", ""Kitchen and domestic utensils_Pots and pans_""], ""54"": [""International travel ?bus fares"", ""International travel \u00c3\u00a2\u00c2\u20ac\u00c2\u201cbus fares""], ""66"": [""Giving birth"", ""Givingbirth""], ""67"": [""Health insurance (Mutuelle,RAMA,MMI, etc.)"", ""Healthinsurance _Mutuelle,RAMA,MMI, etc._""], ""69"": [""Issue of administrative (official) documents"", ""Issue of administrative _official_ documents""]}"
s8a1q0d,Article Description,string,,0,household (expenditure and own consumption),469200,1273412,994911,169740,1006020,113436,1159158,290367,,,,
s8a1q1,Coicop code,int8,"1=03.1.1.1.01, 2=03.1.1.1.02, 3=03.1.3.1.01, 4=03.1.2.1.01, 5=03.1.4.2.01 …",69,household (expenditure and own consumption),0,0,0,0,1006020,113436,0,0,,,EICV4_CS: COICOP code; EICV4_VUP: COICOP code,
s8a1q1d,COICOP Value,string,,0,household (expenditure and own consumption),469200,1273412,994911,169740,1006020,113436,1159158,290367,,,,
s8a1q2,Household purchased article  over the last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,EICV4_CS: household (expenditure and own consumption); EICV4_VUP: household (expenditure and own consumption); EICV5_CS: household (expenditure and own consumption); EICV5_VUP: household (expenditure and own consumption); EICV7_CS: household (consumption by source); EICV7_VUP: household (consumption by source),0,0,994911,169740,1006020,113436,1159158,290367,,,EICV4_CS: Purchased article in last 12 months; EICV4_VUP: Purchased article in last 12 months; EICV5_CS: Household purchased article  in last 12 months; EICV5_VUP: Household purchased article  in last 12 months,
