variable,label,type,value_labels,n_value_labels,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,n_EICV7_CS,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,213900,672476,793045,135300,801900,90366,978382,245115,,,,
year,Survey year (mid-fieldwork),int16,,0,213900,672476,793045,135300,801900,90366,978382,245115,,,,
wave,Wave / round id,string,,0,0,0,0,0,0,0,0,0,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,213900,672476,793045,135300,801900,90366,978382,245115,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,213900,672476,793045,135300,801900,90366,978382,245115,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,213900,672476,793045,135300,801900,90366,978382,245115,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,213900,672476,793045,135300,801900,90366,978382,245115,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,213900,672476,793045,135300,801900,90366,978382,245115,,,,
hhid,Household id (unique within wave),int32,,0,213900,672476,793045,135300,801900,90366,978382,245115,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,213900,672476,793045,135300,801900,90366,978382,245115,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,213900,672476,793045,135300,801900,90366,978382,245115,,,,
id6,Household number,int8,,0,213900,0,0,0,0,0,0,0,,,,
id1,Strata,int8,"1=City of Kigali, 2=Other urban, 3=Rural",3,213900,0,0,0,0,0,0,0,,,,
id2,Province,int8,"1=City of Kigali, 2=Kigali Ngali, 3=Gitarama, 4=Butare, 5=Gikongoro …",12,213900,0,0,0,0,0,0,0,,,,
item_v2,[EICV2..EICV2 version] Item,int8,"1=Bleach, 2=Broom/Brush, 3=Disinfectant and cleaners, 4=Shoe brush and polish, 5=Other non-durable household goods …",31,213900,0,0,0,0,0,0,0,,item (EICV3),,
s9a2q2,Household purchased article in last 4 weeks,int8,"1=Yes, 2=No",2,213900,672476,0,0,0,0,0,0,,,EICV2: Household purchased item in the last month,
s9a2q3_v2,[EICV2..EICV2 version] Amount of expenditure on item,int32,,0,24572,0,0,0,0,0,0,0,,s9a2q3 (EICV3),,
dstrat,Design strata,int16,"111=Kigali lowest quartile socio-economic strata, 112=Kigali quartile 2 socio-economic strata, 113=Kigali quartile 3 socio-economic strata, 114=Kigali highest quartile socio-economic strata, 119=Kigali (semi-rural) …",32,213900,0,0,0,0,0,0,0,,,,
quintile,Quintile,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,0,672476,793045,0,801900,0,0,0,,"quintile_v2 (EICV7_CS, EICV7_VUP)",EICV4_CS: QUINTILE,
poverty_v2,[EICV3..EICV4_CS version] POVERTY,int8,"1=Extremely poor, 2=Poor, 3=Non-poor",3,0,672476,793045,0,0,0,0,0,,"poverty (EICV5_CS, EICV7_CS, EICV7_VUP)",EICV3: Poverty status; EICV4_CS: POVERTY,
item,Article,int16,"90=Bleach, 91=Broom/Brush, 92=Disinfectant and cleaners, 93=Shoe brush and polish, 94=Other non-durable household goods …",47,0,672476,0,0,0,0,0,0,,item_v2 (EICV2),,
s9a2q3,Amount spent to purchase article,int32,,0,0,65422,0,0,0,0,0,0,,s9a2q3_v2 (EICV2),,
s9a2q4,Place of purchase,int8,"1=Small shop, 2=Supermarket, 3=Food shop, 4=Market, 5=Mobile seller …",9,0,64686,0,0,0,0,0,0,,,,
ur2012,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,0,0,793045,135300,0,0,0,0,,,,
region,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,0,0,793045,135300,801900,0,0,0,,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
s8a2q0,Article,int8,"1=Laundry services _washing clothes & others_, 2=Rubbish collection services, 3=Bleach, 4=Disinfectant and cleaners, 5=Broom/Brush …",55,0,0,793045,135300,801900,90366,0,0,,"s8a2q0_v2 (EICV7_CS, EICV7_VUP)",,"{""1"": [""Laundry services (washing clothes & others)"", ""Laundry services _washing clothes & others_""], ""8"": [""Other non-durable household goods e.g, sponges, window clean"", ""Other non-durable household goods e.g, sponges, window cleaning products etc""], ""9"": [""Wages for household (domestic) help"", ""Wages for household _domestic_ help""], ""11"": [""Spare parts of motorcycle or bicycle (parts)"", ""Spare parts of motorcycle or bicycle _parts_""], ""12"": [""Vehicle repair (labour)"", ""Vehicle repair _labour_""], ""13"": [""Repair of motorcycle or bicycle (labour)"", ""Repair of motorcycle or bicycle _labour_""], ""20"": [""Other recreational or cultural items, (Pets:- cats, dogs, Bi"", ""Other recreational or cultural items, _Pets:- cats, dogs, Birds_""], ""23"": [""Stationary supplies (stapler, perforator, Folder, etc..)"", ""Stationary supplies _stapler, perforator, Folder, etc.._""], ""25"": [""Men's haircut (barber)"", ""Men's haircut _barber_""], ""26"": [""Women's haircut (stylist & treatment)"", ""Women's haircut _stylist & treatment_""], ""27"": [""Beauty Treatment/Massage(Non-medical)/ Manicure & steam bath"", ""Beauty Treatment/Massage_Non-medical_/ Manicure & steam bath""], ""30"": [""Other personal hygiene products, e.g; razor blades, nail cut"", ""Other personal hygiene products, e.g; razor blades, nail cutters""], ""31"": [""Toothpaste (and accessories)"", ""Toothpaste _and accessories_""], ""39"": [""Internet connection subscription (Rwandatel /MTN/TIGO/\u00c3\u00a2\u00c2\u20ac\u00c2\u00a6"", ""Internet connection subscription _Rwandatel /MTN/TIGO/?_""], ""47"": [""Pain relievers (Aspirin/Paracetamol/Hedex,\u00c3\u00a2\u00c2\u20ac\u00c2\u00a6)"", ""Pain relievers _Aspirin/Paracetamol/Hedex,?_""], ""49"": [""Astringents (iodine, alcohol)"", ""Astringents _iodine, alcohol_""]}"
s8a2q0d,Article description,string,,0,213900,672476,793045,135300,801900,90366,978382,245115,,,,
s8a2q1,Coicop code,int8,"1=03.1.4.1.01, 2=04.4.2.1.01, 3=05.6.1.1.01, 4=05.6.1.1.02, 5=05.6.1.2.01 …",55,0,0,0,0,801900,90366,0,0,,,EICV4_CS: COICOP code; EICV4_VUP: COICOP code,
s8a2q1d,COICOP Value,string,,0,213900,672476,793045,135300,801900,90366,978382,245115,,,,
s8a2q2,Article purchased,int8,"1=Yes, 2=No, 9=Missing",3,0,0,793045,135300,801900,90365,978382,245115,,,EICV4_CS: Household purchased article in last 4 weeks; EICV4_VUP: Household purchased article in last 4 weeks; EICV5_CS: Household purchased  article in 4 weeks; EICV5_VUP: Household purchased  article in 4 weeks,
s8a2q3,Amount spent to purchase  in last 4 weeks,int32,"9999999=Missing, 999999999=Missing",2,0,0,75963,10273,74770,7498,99345,21890,,,EICV4_CS: Amount spent on article in last 4 weeks; EICV4_VUP: Amount spent on article in last 4 weeks; EICV5_CS: Amount spent to purchase article; EICV5_VUP: Amount spent to purchase article,
s8a2q4_v3,[EICV4_CS..EICV4_VUP version] Where did you buy it most often,int8,"1=Small shop/boutique, 2=Supermarket/big shop, 3=Specialised shop, 4=Market, 5=Mobile seller …",12,0,0,75963,10273,0,0,0,0,,"s8a2q4 (EICV7_CS, EICV7_VUP), s8a2q4_v2 (EICV5_CS, EICV5_VUP)",,
