variable,label,type,value_labels,n_value_labels,universe,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,n_EICV7_CS,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,EICV1: household (expenditure and own consumption); EICV2: household (expenditure and own consumption); EICV3: household (expenditure and own consumption); EICV4_CS: household (expenditure and own consumption); EICV4_VUP: household (expenditure and own consumption); EICV5_CS: household (expenditure and own consumption); EICV5_VUP: household (expenditure and own consumption); EICV7_CS: household (consumption by source); EICV7_VUP: household (consumption by source),879539,105444,2103276,2119593,361620,2187000,246600,2227992,558108,,,,
year,Survey year (mid-fieldwork),int16,,0,EICV1: household (expenditure and own consumption); EICV2: household (expenditure and own consumption); EICV3: household (expenditure and own consumption); EICV4_CS: household (expenditure and own consumption); EICV4_VUP: household (expenditure and own consumption); EICV5_CS: household (expenditure and own consumption); EICV5_VUP: household (expenditure and own consumption); EICV7_CS: household (consumption by source); EICV7_VUP: household (consumption by source),879539,105444,2103276,2119593,361620,2187000,246600,2227992,558108,,,,
wave,Wave / round id,string,,0,EICV1: household (expenditure and own consumption); EICV2: household (expenditure and own consumption); EICV3: household (expenditure and own consumption); EICV4_CS: household (expenditure and own consumption); EICV4_VUP: household (expenditure and own consumption); EICV5_CS: household (expenditure and own consumption); EICV5_VUP: household (expenditure and own consumption); EICV7_CS: household (consumption by source); EICV7_VUP: household (consumption by source),0,0,0,0,0,0,0,0,0,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,EICV1: household (expenditure and own consumption); EICV2: household (expenditure and own consumption); EICV3: household (expenditure and own consumption); EICV4_CS: household (expenditure and own consumption); EICV4_VUP: household (expenditure and own consumption); EICV5_CS: household (expenditure and own consumption); EICV5_VUP: household (expenditure and own consumption); EICV7_CS: household (consumption by source); EICV7_VUP: household (consumption by source),879539,105444,2103276,2119593,361620,2187000,246600,2227992,558108,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,EICV1: household (expenditure and own consumption); EICV2: household (expenditure and own consumption); EICV3: household (expenditure and own consumption); EICV4_CS: household (expenditure and own consumption); EICV4_VUP: household (expenditure and own consumption); EICV5_CS: household (expenditure and own consumption); EICV5_VUP: household (expenditure and own consumption); EICV7_CS: household (consumption by source); EICV7_VUP: household (consumption by source),879539,105444,2103276,2119593,361620,2187000,246600,2227992,558108,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,EICV1: household (expenditure and own consumption); EICV2: household (expenditure and own consumption); EICV3: household (expenditure and own consumption); EICV4_CS: household (expenditure and own consumption); EICV4_VUP: household (expenditure and own consumption); EICV5_CS: household (expenditure and own consumption); EICV5_VUP: household (expenditure and own consumption); EICV7_CS: household (consumption by source); EICV7_VUP: household (consumption by source),879539,105444,2103276,2119593,361620,2187000,246600,2227992,558108,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,EICV1: household (expenditure and own consumption); EICV2: household (expenditure and own consumption); EICV3: household (expenditure and own consumption); EICV4_CS: household (expenditure and own consumption); EICV4_VUP: household (expenditure and own consumption); EICV5_CS: household (expenditure and own consumption); EICV5_VUP: household (expenditure and own consumption); EICV7_CS: household (consumption by source); EICV7_VUP: household (consumption by source),879539,105444,2103276,2119593,361620,2187000,246600,2227992,558108,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,EICV1: household (expenditure and own consumption); EICV2: household (expenditure and own consumption); EICV3: household (expenditure and own consumption); EICV4_CS: household (expenditure and own consumption); EICV4_VUP: household (expenditure and own consumption); EICV5_CS: household (expenditure and own consumption); EICV5_VUP: household (expenditure and own consumption); EICV7_CS: household (consumption by source); EICV7_VUP: household (consumption by source),879539,105444,2103276,2119593,361620,2187000,246600,2227992,558108,,,,
hhid,Household id (unique within wave),double,,0,EICV1: household (expenditure and own consumption); EICV2: household (expenditure and own consumption); EICV3: household (expenditure and own consumption); EICV4_CS: household (expenditure and own consumption); EICV4_VUP: household (expenditure and own consumption); EICV5_CS: household (expenditure and own consumption); EICV5_VUP: household (expenditure and own consumption); EICV7_CS: household (consumption by source); EICV7_VUP: household (consumption by source),879539,105444,2103276,2119593,361620,2187000,246600,2227992,558108,,,,
pid,Person number within the household,int8,,0,household (expenditure and own consumption),879539,0,0,0,0,0,0,0,0,,,,
