variable,label,type,value_labels,n_value_labels,universe,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV5_CS,n_EICV7_CS,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,,6420,6900,14308,14419,14580,15054,EICV1: module s6_housing; EICV2: module s0_id; EICV3: module s05abcd_housing; EICV4_CS: module s0_s5_household; EICV5_CS: module s0_s5_household; EICV7_CS: module s01_s5_s7_household,,,
year,Survey year (mid-fieldwork),int16,,0,,6420,6900,14308,14419,14580,15054,EICV1: module s6_housing; EICV2: module s0_id; EICV3: module s05abcd_housing; EICV4_CS: module s0_s5_household; EICV5_CS: module s0_s5_household; EICV7_CS: module s01_s5_s7_household,,,
wave,Wave / round id,string,,0,,0,0,0,0,0,0,EICV1: module s6_housing; EICV2: module s0_id; EICV3: module s05abcd_housing; EICV4_CS: module s0_s5_household; EICV5_CS: module s0_s5_household; EICV7_CS: module s01_s5_s7_household,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,,6420,6900,14308,14419,14580,15054,EICV1: module s6_housing; EICV2: module s0_id; EICV3: module s05abcd_housing; EICV4_CS: module s0_s5_household; EICV5_CS: module s0_s5_household; EICV7_CS: module s01_s5_s7_household,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,,6420,6900,14308,14419,14580,15054,EICV1: module s6_housing; EICV2: module s0_id; EICV3: module s05abcd_housing; EICV4_CS: module s0_s5_household; EICV5_CS: module s0_s5_household; EICV7_CS: module s01_s5_s7_household,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,,6420,6900,14308,14419,14580,15054,EICV1: module s6_housing; EICV2: module s0_id; EICV3: module s05abcd_housing; EICV4_CS: module s0_s5_household; EICV5_CS: module s0_s5_household; EICV7_CS: module s01_s5_s7_household,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,,6420,6900,14308,14419,14580,15054,EICV1: module s6_housing; EICV2: module s0_id; EICV3: module s05abcd_housing; EICV4_CS: module s0_s5_household; EICV5_CS: module s0_s5_household; EICV7_CS: module s01_s5_s7_household,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,,6420,6900,14308,14419,14580,15054,EICV1: module s6_housing; EICV2: module s0_id; EICV3: module s05abcd_housing; EICV4_CS: module s0_s5_household; EICV5_CS: module s0_s5_household; EICV7_CS: module s01_s5_s7_household,,,
hhid,Household id (unique within wave),double,,0,,6420,6900,14308,14419,14580,15054,EICV1: module s6_housing; EICV2: module s0_id; EICV3: module s05abcd_housing; EICV4_CS: module s0_s5_household; EICV5_CS: module s0_s5_household; EICV7_CS: module s01_s5_s7_household,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,,6420,6900,14308,14419,14580,15054,EICV1: module s6_housing; EICV2: module s0_id; EICV3: module s05abcd_housing; EICV4_CS: module s0_s5_household; EICV5_CS: module s0_s5_household; EICV7_CS: module s01_s5_s7_household,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,,6420,6900,14308,14419,14580,15054,EICV1: module s6_housing; EICV2: module s0_id; EICV3: module s05abcd_housing; EICV4_CS: module s0_s5_household; EICV5_CS: module s0_s5_household; EICV7_CS: module s01_s5_s7_household,,,
strate,Strata,int8,"1=Kigali Urban, 2=Other Urban, 3=Rural",3,,6420,0,0,0,0,0,EICV1: module s6_housing,,,
prefect,Province,int8,"1=Butare, 2=Byumba, 3=Cyangugu, 4=Gikongoro, 5=Gisenyi …",12,,6420,0,0,0,0,0,EICV1: module s6_housing,,,
s6aq1,Type of dwelling,int8,"1=Une maison isolée abritant un seul ménage (Detached), 2=Un bâtiment isolé abritant abritant plusieurs ménages (Terra, 3=Une maison à étage habité par un ou plusieurs ménages (Flat), 4=Groupe de maisons abritant plusieurs ménages (In compound), 5=Groupe de maisons abritant un seul ménage (Many units in com …",6,household (housing),6420,0,0,0,0,0,EICV1: module s6_housing,,,
s6aq2,Rooms in household,int8,,0,household (housing),6420,0,0,0,0,0,EICV1: module s6_housing,,,
s6aq3,Share dwelling with another household?,int8,"1=Yes, 2=No",2,household (housing),6420,0,0,0,0,0,EICV1: module s6_housing,,,
s6aq4,How many household live with you?,int8,,0,household (housing),100,0,0,0,0,0,EICV1: module s6_housing,,,
s6aq5a,How long hae you lived in this dwelling?,int8,,0,household (housing),6420,0,0,0,0,0,EICV1: module s6_housing,,,
s6aq5b,Time unit,int8,"1=Months, 2=Years",2,household (housing),6420,0,0,0,0,0,EICV1: module s6_housing,,,
s6aq6,Type of dwelling a year ago?,int8,"1=Une maison isolée abritant un seul ménage (Detached), 2=Un bâtiment isolé abritant abritant plusieurs ménages (Terra, 3=Une maison à étage habité par un ou plusieurs ménages (Flat), 4=Groupe de maisons abritant plusieurs ménages (In compound), 5=Groupe de maisons abritant un seul ménage (Many units in com …",8,household (housing),6420,0,0,0,0,0,EICV1: module s6_housing,,,
s6aq7,How may rooms in previous dwelling?,int8,,0,household (housing),976,0,0,0,0,0,EICV1: module s6_housing,,,
s6aq8,Occupancy status in previous dwelling?,int8,"1=Own occupier, 2=Tenant, 3=Free by employer, 4=Free, 5=Appropriation …",7,household (housing),976,0,0,0,0,0,EICV1: module s6_housing,,,
s6aq9,Reason for moving from previous dwelling?,int8,"1=Family/domestic, 2=Cost, 3=Employment, 4=Construction of own, 5=Quality of dwelling …",6,household (housing),976,0,0,0,0,0,EICV1: module s6_housing,,,
s6aq10,Do you plan to move within a year?,int8,"1=Yes, 2=No",2,household (housing),6420,0,0,0,0,0,EICV1: module s6_housing,,,
s6aq11,For what reason will you move?,int8,"1=Family/domestic, 2=Cost, 3=Employment, 4=Construction of own, 5=Quality of dwelling …",6,household (housing),428,0,0,0,0,0,EICV1: module s6_housing,,,
s6aq12,Occupancy status of current dwelling?,int8,"1=Owner occupier, 2=Tenant, 3=Free by employer, 4=Free, 5=Appropriation …",7,household (housing),6420,0,0,0,0,0,EICV1: module s6_housing,,,
s6aq13,To whom does this dwelling belong?,int8,"1=Parent/relations, 2=State, 3=Private enterprise, 4=Another individual, 5=Other",5,household (housing),472,0,0,0,0,0,EICV1: module s6_housing,,,
s6bq1,Imputed rent,int32,,0,household (housing),5947,0,0,0,0,0,EICV1: module s6_housing,,,
s6bq2,Monthly rent,int32,,0,household (housing),472,0,0,0,0,0,EICV1: module s6_housing,,,
