variable,label,type,value_labels,n_value_labels,n_EICV5_VUP,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,1644,3771,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,,
year,Survey year (mid-fieldwork),int16,,0,1644,3771,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,,
wave,Wave / round id,string,,0,5415,5415,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,1644,3771,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,1644,3771,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,1644,3771,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,1644,3771,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,1644,3771,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,,
hhid,Household id (unique within wave),int32,,0,1644,3771,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,1644,3771,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,1644,3771,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,,
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,1644,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s0qb,UBEDEHE category,int8,"1=Category 1, 2=Category 2, 3=Category 3, 4=Category 4, 5=Not found on list",5,1644,0,EICV5_VUP: module s9c3_vup_ubudehe_and_rssp_schemes,,,
s5aq1,Type of habitat,int8,"1=Umudugudu (Planned rural settlement), 2=Integrated Model Village, 3=Dispersed/Isolated housing, 4=Modern planned urban area, 5=Spontaneous/informal/unplanned housing …",7,1644,3771,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,,"{""1"": [""Umudugudu"", ""Umudugudu (Planned rural settlement)""], ""2"": [""Integrated Model Village"", ""Unplanned clustered rural housing""], ""3"": [""Dispersed/Isolated housing"", ""Isolated rural housing""], ""4"": [""Aglomeration"", ""Modern planned urban area""], ""5"": [""Spontaneous/informal/unplanned housing"", ""Unplanned urban housing""], ""6"": [""Modern planned area"", ""Other (Specify)""]}"
s5aq2,Type of dwelling,int8,"1=House occupied by one household, 2=House occupied by multiple Households, 3=Multi-storied building occupied by one household, 4=Multi-storied building occupied by many households, 5=Several buildings in a compound occupied by one household …",7,1644,3771,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,,"{""1"": [""A single house occupied by one  household dwelling"", ""House occupied by one household""], ""2"": [""A house occupied by multiple Households"", ""House occupied by multiple Households""], ""3"": [""Multi-storied building occupied by one household"", ""Multi-storied building with one household""], ""4"": [""Multi-storied building occupied by many households"", ""Multi-storied building with more households""], ""5"": [""Group of enclosed dwellings: multiple households"", ""Several buildings in a compound occupied by one household""], ""6"": [""Group of enclosed dwellings occupied by a single household"", ""Several buildings in a compound occupied by several households""], ""7"": [""Other (Specify)"", ""Other _Specify_""]}"
s5aq3_v2,[EICV5_VUP..EICV5_VUP version] Many other households share the dwelling,int8,0=None,1,113,0,,s5aq3 (EICV7_VUP),,
s5aq4,Any rooms shared with other households,int8,"1=Yes, 2=No",2,113,0,EICV5_VUP: module s0_s5_household,,,
s5aq5_v2,[EICV5_VUP..EICV5_VUP version] Number of rooms occupied by household,int8,,0,1644,0,,s5aq5 (EICV7_VUP),,
s5aq6_v2,[EICV5_VUP..EICV5_VUP version] Many rooms does your household have for sleeping,int8,,0,1644,0,,s5aq6 (EICV7_VUP),,
s5aq7y,Duration household inhabited dwelling _years_,int8,,0,1644,0,EICV5_VUP: module s0_s5_household,,,
