variable,label,type,value_labels,n_value_labels,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV5_CS,n_EICV5_VUP,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,23213,61405,59616,89373,9180,,,,
year,Survey year (mid-fieldwork),int16,,0,23213,61405,59616,89373,9180,,,,
wave,Wave / round id,string,,0,0,0,0,0,0,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,23213,61405,59616,89373,9180,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,23213,61405,59526,89373,9180,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,23213,61405,59526,89373,9180,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,23213,61405,59526,89373,9180,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,23213,61405,59616,89373,9180,,,,
hhid,Household id (unique within wave),int32,,0,23213,61405,59616,89373,9180,,,,
pid,Person number within the household,int32,,0,23213,61405,59526,89373,8337,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,23213,61405,59526,89373,9180,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,23213,61405,59526,89373,9180,,,,
id6,Household number,int8,,0,23213,0,0,0,0,,,,
id1,Strata,int8,"1=City of Kigali, 2=Other urban, 3=Rural",3,23213,0,0,0,0,,,,
id2,Province,int8,"1=City of Kigali, 2=Kigali Ngali, 3=Gitarama, 4=Butare, 5=Gikongoro …",12,23213,0,0,0,0,,,,
eid,ID number of employment,int32,,0,23213,61405,59526,57821,6184,,,EICV2: Employment ID; EICV3: Employment ID number,
s6dq4_v2,[EICV2..EICV2 version] Occupation code,int16,"11=Chemists, 12=Physicists, 13=Physical scientists n.e.c., 14=Physical science technicians, 21=Architects and town planners …",288,23213,0,0,0,0,,s6dq4 (EICV3),,
s6dq5_1,January,int8,"0=No, 1=Yes",2,23213,0,0,0,0,,,,
s6dq5_2,February,int8,"0=No, 1=Yes",2,23213,0,0,0,0,,,,
s6dq5_3,March,int8,"0=No, 1=Yes",2,23213,0,0,0,0,,,,
s6dq5_4,April,int8,"0=No, 1=Yes",2,23213,0,0,0,0,,,,
s6dq5_5,May,int8,"0=No, 1=Yes",2,23213,0,0,0,0,,,,
s6dq5_6,June,int8,"0=No, 1=Yes",2,23213,0,0,0,0,,,,
s6dq5_7,July,int8,"0=No, 1=Yes",2,23213,0,0,0,0,,,,
s6dq5_8,August,int8,"0=No, 1=Yes",2,23213,0,0,0,0,,,,
s6dq5_9,September,int8,"0=No, 1=Yes",2,23213,0,0,0,0,,,,
s6dq5_10,October,int8,"0=No, 1=Yes",2,23213,0,0,0,0,,,,
s6dq5_11,November,int8,"0=No, 1=Yes",2,23213,0,0,0,0,,,,
s6dq5_12,December,int8,"0=No, 1=Yes",2,23213,0,0,0,0,,,,
s6dq6_1,Monday,int8,,0,23213,0,0,0,0,,,,
s6dq6_2,Tuesday,int8,,0,23213,0,0,0,0,,,,
s6dq6_3,Wednesday,int8,,0,23213,0,0,0,0,,,,
s6dq6_4,Thursday,int8,,0,23213,0,0,0,0,,,,
s6dq6_5,Friday,int8,,0,23213,0,0,0,0,,,,
s6dq6_6,Saturday,int8,,0,23213,0,0,0,0,,,,
s6dq6_7,Sunday,int8,,0,23213,0,0,0,0,,,,
s6dq6_8,Total,int8,,0,0,0,0,0,0,,,,
s6dq7_v2,[EICV2..EICV2 version] Occupation status,int8,"1=Wage farm, 2=Wage non-farm, 3=Independent farm, 4=Independent non-farm, 5=Unpaid (family enterprise, apprentice, volunteer etc.)",5,23209,0,0,0,0,,s6dq7 (EICV3),,
dstrat,Design strata,int16,"111=Kigali lowest quartile socio-economic strata, 112=Kigali quartile 2 socio-economic strata, 113=Kigali quartile 3 socio-economic strata, 114=Kigali highest quartile socio-economic strata, 119=Kigali (semi-rural) …",32,23213,0,0,0,0,,,,
quintile,Quintile,int8,"1=Quintile1, 2=Quintile2, 3=Quintile3, 4=Quintile4, 5=Quintile5",5,0,61405,59526,89373,0,,,EICV4_CS: QUINTILE,"{""1"": [""Q1"", ""Quintile1""], ""2"": [""Q2"", ""Quintile2""], ""3"": [""Q3"", ""Quintile3""], ""4"": [""Q4"", ""Quintile4""], ""5"": [""Q5"", ""Quintile5""]}"
poverty,POVERTY,int8,"1=Extremely poor, 2=Poor, 3=Non-poor",3,0,61405,59526,0,0,,poverty_v2 (EICV5_CS),EICV3: Poverty status,
s6cq3,Occupation - Grouped,int8,"1=Professionals, 2=Senior Officials and Managers, 3=Office Clerks, 4=Commercial and Sales, 5=Skilled Service Sector …",10,0,61405,0,0,0,,,,
s6cq4,Seasonality with the activity,int8,"1=Yes, 2=No",2,0,61405,0,0,0,,,,
s6cq5a,High Season: Months per year,int8,,0,0,31051,0,0,0,,,,
s6cq5b,High Season: Days per month,int8,,0,0,31051,0,0,0,,,,
s6cq5c,High Season: Hours per day,int8,,0,0,31051,0,0,0,,,,
s6cq5d,Low Season: Months per year,int8,,0,0,61405,0,0,0,,,,
s6cq5e,Low Season: Days per month,int8,,0,0,61405,0,0,0,,,,
s6cq5f,Low Season: Hours per day,int8,,0,0,61405,0,0,0,,,,
s6cq6a,Hours worked: Monday,int8,,0,0,61405,0,0,0,,,,
s6cq6b,Hours worked: Tuesday,int8,,0,0,61405,0,0,0,,,,
s6cq6c,Hours worked: Wednesday,int8,,0,0,61405,0,0,0,,,,
s6cq6d,Hours worked: Thursday,int8,,0,0,61405,0,0,0,,,,
s6cq6e,Hours worked: Friday,int8,,0,0,61405,0,0,0,,,,
s6cq6f,Hours worked: Saturday,int8,,0,0,61405,0,0,0,,,,
s6cq6g,Hours worked: Sunday,int8,,0,0,61405,0,0,0,,,,
s6cq7,Occupational status in each activity,int8,"1=Wage farm, 2=Wage non-farm, 3=VUP scheme, 4=Independent farmer, 5=Unpaid family worker …",8,0,61405,0,0,0,,,,
s6dq3,Industry Group,int16,"11=11 Agriculture, 12=12 Livestock, 13=13 Forestry, 14=14 Fishing & Hunting, 21=21 Mining …",34,0,22091,0,0,0,,,,
s6dq4,Sector of work,int8,"1=Public, 2=Parastatal, 3=Private, formal, 4=Private, informal, 5=NGO local …",8,0,22091,0,0,0,,s6dq4_v2 (EICV2),,
s6dq5,How job was found,int8,"1=Family contacts, 2=Applied for vacancy, 3=Requested by employers, 4=Chance, 5=Offered unsolicited …",6,0,22091,0,0,0,,,,
s6dq6y,Duration in current job-year,int8,61=More than 60,1,0,22091,0,0,0,,,,
s6dq6m,Duration in current job-months,int8,,0,0,22091,0,0,0,,,,
s6dq7,Number of hours worked last 7 days,int8,,0,0,22091,0,0,0,,s6dq7_v2 (EICV2),,
s6dq8a,Last take home salary or wage-amount,int32,,0,0,22091,0,0,0,,,,
s6dq8b,Unit of time,int8,"1=Day, 2=Week, 3=Month, 4=Year",4,0,22091,0,0,0,,,,
s6dq9,Recieving inkind payments in form of food for work,int8,"1=Yes, 2=No",2,0,22091,0,0,0,,,,
s6dq10a,Value of inkind payments-value,int32,,0,0,3008,0,0,0,,,,
s6dq10b,Unit of time,int8,"1=Day, 2=Week, 3=Month, 4=Year",4,0,3008,0,0,0,,,,
s6dq11,Provision of house subside by employer,int8,"1=Yes, 2=No",2,0,22091,0,0,0,,,,
s6dq12a,Value of subsidised house,int32,,0,0,1459,0,0,0,,,,
s6dq12b,Unit of time,int8,"1=Day, 2=Week, 3=Month, 4=Year",4,0,1459,0,0,0,,,,
s6dq13,Other benefits recieved,int8,"1=Yes, 2=No",2,0,22091,0,0,0,,,,
s6dq14a,Value of other benefits recieved,int32,,0,0,786,0,0,0,,,,
s6dq14b,Unit of time,int8,"1=Day, 2=Week, 3=Month, 4=Year",4,0,786,0,0,0,,,,
s6dq15a,Medical coverage,int8,"1=Yes, 2=No",2,0,22091,0,0,0,,,,
s6dq15b,Retirement pension,int8,"1=Yes, 2=No",2,0,22091,0,0,0,,,,
s6dq15c,Paid leave,int8,"1=Yes, 2=No",2,0,22091,0,0,0,,,,
s6eq3,Industry Group,int8,"11=11 Agriculture, 12=12 Livestock, 13=13 Forestry, 14=14 Fishing & Hunting, 21=21 Mining …",34,0,585,0,0,0,,,,
s6eq4,Working in VUP public works programme,int8,"1=Yes, 2=No",2,0,585,0,0,0,,,,
s6eq5,Reason non longer working in VUP,int8,"1=No longer eligible, 2=Household member got work, 3=Eligible but not enough work, 4=Eligible but program ended, 5=Removed due to non participation …",6,0,418,0,0,0,,,,
s6eq6y,Duration working in VUP (years),int8,,0,0,585,0,0,0,,,,
s6eq6m,Duration working in VUP (months),int8,0=Less than one month,1,0,585,0,0,0,,,,
s6eq7,Number of hours worked last 7 days,int8,,0,0,585,0,0,0,,,,
s6eq8a,Amonut of payment last 7 days,int16,,0,0,585,0,0,0,,,,
s6eq8b,Time unit,int8,"1=Per hour, 2=Per day, 3=Per week",3,0,585,0,0,0,,,,
s6eq9,Paid work prior to VUP,int8,"1=Yes, 2=No",2,0,585,0,0,0,,,,
s6eq10,Reason not doing paid work prior to VUP,int8,"1=Independent farmer, 2=Seasonal activity, 3=Househld duties, 4=Domestic servant, 5=Student …",9,0,260,0,0,0,,,,
s6eq11,Duration to get to work (minutes),int8,91=Greater than 90 minutes,1,0,585,0,0,0,,,,
s6fq3,Industry Group,int16,"11=11 Agriculture, 12=12 Livestock, 13=13 Forestry, 14=14 Fishing & Hunting, 21=21 Mining …",34,0,30761,0,0,0,,,,
s6fq4,Earn profit from work,int8,"1=Yes, 2=No",2,0,30761,0,0,0,,,,
s6fq5,Employer,int8,"1=Myself, 2=Household member, 3=Parent, 4=Other relative, 5=Association or cooperative …",10,0,30761,0,0,0,,,,
s6fq6y,Duration in job (years),int8,91=More than 90 years,1,0,30761,0,0,0,,,,
s6fq6m,Duration in job (months),int8,,0,0,30761,0,0,0,,,,
s6fq7,Permanent work,int8,"1=Yes, 2=No",2,0,30761,0,0,0,,,,
s6fq8,Number of hours worked last 7 days,int8,81=More than 80 hours,1,0,30761,0,0,0,,,,
pid_nisr,NISR person id as shipped (EICV3 PID = hhid*100 + person),double,,0,0,61405,0,0,0,,,,
ur2012,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,0,0,59526,0,0,,,,
region,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,0,0,59526,89373,0,,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
s6bq3a,Occupation description,string,,0,23213,61405,59616,89373,9180,,,,
s6bq3b_v3,[EICV4_CS..EICV4_CS version] Occupation_Grouped,int8,"1=Managers, 2=Professionals, 3=Technicians and associate professionals, 4=Clerical support workers, 5=Service and sales workers …",10,0,0,59526,0,0,,"s6bq3b (EICV5_VUP), s6bq3b_v2 (EICV5_CS)",,
s6bq4a,Industry description,string,,0,23213,61405,59616,89373,9180,,,,
