variable,label,type,value_labels,n_value_labels,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,242644,43090,233046,27198,,,,
year,Survey year (mid-fieldwork),int16,,0,242644,43090,233046,27198,,,,
wave,Wave / round id,string,,0,0,0,0,0,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,242644,43090,233046,27198,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,242644,43090,233046,27198,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,242644,43090,233046,27198,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,242644,43090,233046,27198,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,242644,43090,233046,27198,,,,
hhid,Household id (unique within wave),int32,,0,242644,43090,233046,27198,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,242644,43090,233046,27198,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,242644,43090,233046,27198,,,,
ur2012,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,242644,43090,0,0,,,,
region,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,242644,43090,233046,0,,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
s7b2q2,Equipment code,int8,"1=Hoes or shovels, 2=Machetes, 3=Hatchet or axes, 4=Sickles and knifes, 5=Rakes and spades …",18,241650,43020,233046,27198,,,EICV4_CS: Agricultural equipment code; EICV4_VUP: Agricultural equipment code,
s7b2q2d,Agricultural equipment description,string,,0,242644,43090,233046,27198,,,,
s7b2q3,Household owns that equipment,int8,"1=Yes, 2=No, 9=Missing",3,241650,43020,233046,27198,,,EICV4_CS: Currently owns an equipment; EICV4_VUP: Currently owns an equipment,
s7b2q4,Number of equipment owned,int8,"0=Missing, 98=Not bought",2,47683,8022,45678,5134,,,,
s7b2q5,How old is equipment bought,int8,"0=Less than 1 year, 98=Gift, 99=Missing",3,122,20,221,21,,,EICV4_CS: How long ago was equipment bought; EICV4_VUP: How long ago was equipment bought,
s7b2q6,Unit Price of equipment,int32,999999999=Missing,1,114,17,221,21,,,,
s7b2q7,Current value of equipment,int32,999999999=Missing,1,122,20,221,21,,,,
s7b2q8,Rented out the equipment in the last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,122,20,221,21,,,,
s7b2q9,Amount received from the rental,int32,999999999=Missing,1,19,3,12,3,,,,
s7b2q10,Sold any equipment in hte last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,122,20,221,21,,,EICV4_CS: Sold any equipment in the last 12 months; EICV4_VUP: Sold any equipment in the last 12 months,
hhtype,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,242644,0,0,0,,,,
rwanda,All Rwanda,int8,1=All Rwanda,1,242644,0,0,0,,,,
surveyh,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,242644,43090,0,0,,,,
quintile,Quintile,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,242644,0,233046,0,,,EICV4_CS: QUINTILE,
poverty_v2,[EICV4_CS..EICV4_CS version] POVERTY,int8,,0,242644,0,0,0,,poverty (EICV5_CS),,
consumption,aggregate consumption/ae in Jan14 Prices,double,,0,242644,0,0,0,,,,
s0q19m,Month of interview,int8,,0,242644,43090,0,0,,,,
s0q19y,Year of interview,int8,,0,242644,43090,0,0,,,,
vup_strata,"VUP stratum (province, component)",int8,,0,0,43090,0,0,,,,
poverty,Welfare categories,int8,"1=Severely poor, 2= Moderately poor, 3=Non Poor",3,0,0,233046,0,,poverty_v2 (EICV4_CS),,
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,0,0,0,27198,,,,
s0q18m,Month of interview,int8,,0,0,0,0,27198,,,,
s0q18y,Year of interview,int16,,0,0,0,0,27198,,,,
