variable,label,type,value_labels,n_value_labels,universe,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,"household / farm (agriculture, livestock)",31907,37936,78432,80877,14479,89633,11867,,,,
year,Survey year (mid-fieldwork),int16,,0,"household / farm (agriculture, livestock)",31907,37936,78432,80877,14479,89633,11867,,,,
wave,Wave / round id,string,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,0,0,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,"household / farm (agriculture, livestock)",31907,37936,78432,80877,14479,89633,11867,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,"household / farm (agriculture, livestock)",31907,37936,78432,80877,14479,89633,11867,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,"household / farm (agriculture, livestock)",31907,37936,78432,80877,14479,89633,11867,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,"household / farm (agriculture, livestock)",31907,37936,78432,80877,14479,89633,11867,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,"household / farm (agriculture, livestock)",31907,37936,78432,80877,14479,89633,11867,,,,
hhid,Household id (unique within wave),double,,0,"household / farm (agriculture, livestock)",31907,37936,78432,80877,14479,89633,11867,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,"household / farm (agriculture, livestock)",31907,37936,78432,80877,14479,89633,11867,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,"household / farm (agriculture, livestock)",31907,37936,78432,80877,14479,89633,11867,,,,
rectype,Record type,string,,0,"household / farm (agriculture, livestock)",31907,37936,78432,80877,14479,89633,11867,,,,
strate,Area,int8,,0,"household / farm (agriculture, livestock)",31907,0,0,0,0,0,0,,,,
prefect,Province,int8,"1=Butare, 2=Byumba, 3=Cyangugu, 4=Gikongoro, 5=Gisenyi …",12,"household / farm (agriculture, livestock)",31907,0,0,0,0,0,0,,,,
