variable,label,type,value_labels,n_value_labels,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,43692,42678,98040,109359,19630,98582,12495,,,,
year,Survey year (mid-fieldwork),int16,,0,43692,42678,98040,109359,19630,98582,12495,,,,
wave,Wave / round id,string,,0,0,0,0,0,0,0,0,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,43692,42678,98040,109359,19630,98582,12495,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,43692,42678,98040,109359,19630,98582,12495,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,43692,42678,98040,109359,19630,98582,12495,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,43692,42678,98040,109359,19630,98582,12495,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,43692,42678,98040,109359,19630,98582,12495,,,,
hhid,Household id (unique within wave),double,,0,43692,42678,98040,109359,19630,98582,12495,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,43692,42678,98040,109359,19630,98582,12495,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,43692,42678,98040,109359,19630,98582,12495,,,,
rectype,Record type,string,,0,43692,42678,98040,109359,19630,98582,12495,,,,
strate,Area,int8,,0,43692,0,0,0,0,0,0,,,,
prefect,Province,int8,"1=Butare, 2=Byumba, 3=Cyangugu, 4=Gikongoro, 5=Gisenyi …",12,43692,0,0,0,0,0,0,,,,
s8aq20,Goods and Services?,int16,"201=Salt, 202=Veterinary care, 203=Traditional care, 204=Paid wathcman, 205=Upkeep of enclosure/stalls …",12,43692,0,0,0,0,0,0,,,,
s8aq21_v2,[EICV1..EICV1 version] Did you incur any expenses on this in last 12 months?,int8,"1=Yes, 2=No",2,40051,0,0,0,0,0,0,,s8aq21 (EICV2),,
s8aq22,Livestock,int16,"1=Cattle, 2=Sheep, 3=Goats, 4=Pigs, 5=Rabbits …",17,3560,5564,0,0,0,0,0,,,EICV1: For which type of livestock/poultry?,
s8aq23_v2,[EICV1..EICV1 version] How much in cash/in kind spent in last 12 months?,int32,,0,3560,0,0,0,0,0,0,,s8aq23 (EICV2),,
s8aq24_v2,[EICV1..EICV1 version] What was source of supplier?,int8,"1=Local market, 2=Co-operative, 3=Private enterprise, 4=Government, 5=Other",5,1812,0,0,0,0,0,0,,s8aq24 (EICV2),,
s8aq25,Purchases on credit,int8,"1=Yes, 2=No",2,1989,3877,0,0,0,0,0,,,EICV1: Was this obtained on credit?,
