variable,label,type,value_labels,n_value_labels,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,29128,33194,68628,80877,14479,80658,10224,,,,
year,Survey year (mid-fieldwork),int16,,0,29128,33194,68628,80877,14479,80658,10224,,,,
wave,Wave / round id,string,,0,0,0,0,0,0,0,0,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,29128,33194,68628,80877,14479,80658,10224,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,29128,33194,68628,80877,14479,80658,10224,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,29128,33194,68628,80877,14479,80658,10224,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,29128,33194,68628,80877,14479,80658,10224,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,29128,33194,68628,80877,14479,80658,10224,,,,
hhid,Household id (unique within wave),double,,0,29128,33194,68628,80877,14479,80658,10224,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,29128,33194,68628,80877,14479,80658,10224,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,29128,33194,68628,80877,14479,80658,10224,,,,
rectype,Record type,string,,0,29128,33194,68628,80877,14479,80658,10224,,,,
strate,Area,int8,,0,29128,0,0,0,0,0,0,,,,
prefect,Province,int8,"1=Butare, 2=Byumba, 3=Cyangugu, 4=Gikongoro, 5=Gisenyi …",12,29128,0,0,0,0,0,0,,,,
s8aq17,Type of animal product?,int16,"2401=Frech Milk, 2402=Yogurt, 2403=Butter, 2404=Cheese, 2407=Leather and Skins …",8,29128,0,0,0,0,0,0,,,,
s8aq18_v2,[EICV1..EICV1 version] Did you sell any in last 12 months?,int8,"1=Yes, 2=No",2,29128,0,0,0,0,0,0,,s8aq18 (EICV2),,
s8aq19_v2,[EICV1..EICV1 version] What was total value of sales?,int32,,0,653,0,0,0,0,0,0,,s8aq19 (EICV2),,
id6,Household number,int8,,0,0,33194,0,0,0,0,0,,,,
id1,Strata,int8,"1=City of Kigali, 2=Other urban, 3=Rural",3,0,33194,0,0,0,0,0,,,,
id2,Province,int8,"1=City of Kigali, 2=Kigali Ngali, 3=Gitarama, 4=Butare, 5=Gikongoro …",12,0,33194,0,0,0,0,0,,,,
item,Product codes,int8,"1=Fresh milk, 2=Curdled or sour milk, 3=Butter, 4=Cheese, 5=Eggs …",8,0,33194,68628,0,0,0,0,,,EICV2: Product code,"{""2"": [""Curdled milk"", ""Curdled or sour milk""], ""5"": [""Eggs"", ""Tanning (leather and skins)""], ""7"": [""Eggs"", ""Meat from animals""]}"
s8aq18,Sell product,int8,"1=Yes, 2=No",2,0,33194,0,0,0,0,0,,s8aq18_v2 (EICV1),,
s8aq19,Amount of sale,int32,,0,0,1310,0,0,0,0,0,,s8aq19_v2 (EICV1),,
dstrat,Design strata,int16,"111=Kigali lowest quartile socio-economic strata, 112=Kigali quartile 2 socio-economic strata, 113=Kigali quartile 3 socio-economic strata, 114=Kigali highest quartile socio-economic strata, 119=Kigali (semi-rural) …",32,0,33194,0,0,0,0,0,,,,
quintile,Quintile,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,0,0,68628,80877,0,80658,0,,,EICV4_CS: QUINTILE,
poverty,POVERTY,int8,"1=Extremely poor, 2=Poor, 3=Non-poor",3,0,0,68628,80877,0,0,0,,poverty_v2 (EICV5_CS),EICV3: Poverty status,
s8a3q2,Sold in the last 12 months,int8,"1=Yes, 2=No",2,0,0,68628,0,0,0,0,,,,
s8a3q3,Number of months sold in last 12 months,int8,,0,0,0,3583,0,0,0,0,,,,
s8a3q4,Sold in the last four weeks,int8,"1=Yes, 2=No",2,0,0,3583,0,0,0,0,,,,
s8a3q5,Quantity sold in the last four weeks,double,0=Missing,1,0,0,1289,0,0,0,0,,,,
s8a3q6,Total amount received from the sale in the last four weeks,int32,,0,0,0,1289,0,0,0,0,,,,
s8a3q7,How much on average dold per month,int32,,0,0,0,2296,0,0,0,0,,,,
ur2012,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,0,0,0,80877,14479,0,0,,,,
region,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,0,0,0,80877,14479,80658,0,,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
s7a3q1,Product codes,int8,"1=Fresh milk, 2=Curdled or sour milk, 3=Butter, 4=Cheese, 5=Eggs …",9,0,0,0,75952,13736,80658,10224,,,EICV4_CS: Livestock product codes; EICV4_VUP: Livestock product codes,
s7a3q1d,Livestock product description,string,,0,29128,33194,68628,80877,14479,80658,10224,,,,
s7a3q2,Sold in the last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,0,0,0,75952,13736,80658,10224,,,EICV4_CS: Sold livestock product in the last 12 months; EICV4_VUP: Sold livestock product in the last 12 months,
s7a3q3,Number of months sold in last 12 months,int8,99=Missing,1,0,0,0,3629,563,3481,432,,,,
s7a3q4,Sold in the last four weeks,int8,"1=Yes, 2=No, 9=Missing",3,0,0,0,3629,563,3481,432,,,EICV4_CS: Sold livestock product in the last 4 weeks; EICV4_VUP: Sold livestock product in the last 4 weeks,
s7a3q5,Quantity sold in the last 4 weeks,double,900001=More than 900000,1,0,0,0,1284,212,0,0,,,,
s7a3q6,Total amount received from the sale in the last 4 weeks,int32,"999999=Missing, 999999999=Missing",2,0,0,0,1284,212,1084,133,,,EICV4_CS: Income from the sale in the last 4 weeks; EICV4_VUP: Income from the sale in the last 4 weeks,
s7a3q7,How much on average sold per month,int32,999999999=Missing,1,0,0,0,3629,563,3481,432,,,,
hhtype,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,0,0,0,80877,0,0,0,,,,
rwanda,All Rwanda,int8,1=All Rwanda,1,0,0,0,80877,0,0,0,,,,
surveyh,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,0,0,0,80877,14479,0,0,,,,
consumption,aggregate consumption/ae in Jan14 Prices,double,,0,0,0,0,80877,0,0,0,,,,
s0q19m,Month of interview,int8,,0,0,0,0,80877,14479,0,0,,,,
s0q19y,Year of interview,int8,,0,0,0,0,80877,14479,0,0,,,,
vup_strata,"VUP stratum (province, component)",int8,,0,0,0,0,0,14479,0,0,,,,
poverty_v2,[EICV5_CS..EICV5_CS version] Welfare categories,int8,"1=Severely poor, 2= Moderately poor, 3=Non Poor",3,0,0,0,0,0,80658,0,,"poverty (EICV3, EICV4_CS)",,
s7a3q5a,Quantity sold in the last four weeks,double,90001=More than 900000,1,0,0,0,0,0,1084,133,,,,
s7a3q5b,Unit of measure,int8,"1=Liter, 2=Kg, 3=Unit",3,0,0,0,0,0,1084,133,,,,
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,0,0,0,0,0,0,10224,,,,
s0q18m,Month of interview,int8,,0,0,0,0,0,0,0,10224,,,,
s0q18y,Year of interview,int16,,0,0,0,0,0,0,0,10224,,,,
