variable,label,type,value_labels,n_value_labels,universe,n_EICV3,n_EICV4_CS,n_EICV5_CS,n_EICV5_VUP,n_EICV7_CS,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,"EICV3: household (transfers, other income); EICV4_CS: household (transfers, VUP, other income); EICV5_CS: household (transfers, VUP, other income); EICV5_VUP: household (transfers, VUP, other income); EICV7_CS: household (cash transfers, VUP, other income); EICV7_VUP: household (cash transfers, VUP, other income)",171696,187447,189468,21333,198588,49439,,,,
year,Survey year (mid-fieldwork),int16,,0,"EICV3: household (transfers, other income); EICV4_CS: household (transfers, VUP, other income); EICV5_CS: household (transfers, VUP, other income); EICV5_VUP: household (transfers, VUP, other income); EICV7_CS: household (cash transfers, VUP, other income); EICV7_VUP: household (cash transfers, VUP, other income)",171696,187447,189468,21333,198588,49439,,,,
wave,Wave / round id,string,,0,"EICV3: household (transfers, other income); EICV4_CS: household (transfers, VUP, other income); EICV5_CS: household (transfers, VUP, other income); EICV5_VUP: household (transfers, VUP, other income); EICV7_CS: household (cash transfers, VUP, other income); EICV7_VUP: household (cash transfers, VUP, other income)",0,0,0,0,0,0,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,"EICV3: household (transfers, other income); EICV4_CS: household (transfers, VUP, other income); EICV5_CS: household (transfers, VUP, other income); EICV5_VUP: household (transfers, VUP, other income); EICV7_CS: household (cash transfers, VUP, other income); EICV7_VUP: household (cash transfers, VUP, other income)",171696,187447,189468,21333,198588,49439,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,"EICV3: household (transfers, other income); EICV4_CS: household (transfers, VUP, other income); EICV5_CS: household (transfers, VUP, other income); EICV5_VUP: household (transfers, VUP, other income); EICV7_CS: household (cash transfers, VUP, other income); EICV7_VUP: household (cash transfers, VUP, other income)",171696,187447,189462,21333,198588,49439,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,"EICV3: household (transfers, other income); EICV4_CS: household (transfers, VUP, other income); EICV5_CS: household (transfers, VUP, other income); EICV5_VUP: household (transfers, VUP, other income); EICV7_CS: household (cash transfers, VUP, other income); EICV7_VUP: household (cash transfers, VUP, other income)",171696,187447,189468,21333,198588,49439,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,"EICV3: household (transfers, other income); EICV4_CS: household (transfers, VUP, other income); EICV5_CS: household (transfers, VUP, other income); EICV5_VUP: household (transfers, VUP, other income); EICV7_CS: household (cash transfers, VUP, other income); EICV7_VUP: household (cash transfers, VUP, other income)",171696,187447,189462,21333,198588,49439,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,"EICV3: household (transfers, other income); EICV4_CS: household (transfers, VUP, other income); EICV5_CS: household (transfers, VUP, other income); EICV5_VUP: household (transfers, VUP, other income); EICV7_CS: household (cash transfers, VUP, other income); EICV7_VUP: household (cash transfers, VUP, other income)",171696,187447,189468,21333,198588,49439,,,,
hhid,Household id (unique within wave),int32,,0,"EICV3: household (transfers, other income); EICV4_CS: household (transfers, VUP, other income); EICV5_CS: household (transfers, VUP, other income); EICV5_VUP: household (transfers, VUP, other income); EICV7_CS: household (cash transfers, VUP, other income); EICV7_VUP: household (cash transfers, VUP, other income)",171696,187447,189468,21333,198588,49439,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,"EICV3: household (transfers, other income); EICV4_CS: household (transfers, VUP, other income); EICV5_CS: household (transfers, VUP, other income); EICV5_VUP: household (transfers, VUP, other income); EICV7_CS: household (cash transfers, VUP, other income); EICV7_VUP: household (cash transfers, VUP, other income)",171696,187447,189462,21333,198588,49439,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,"EICV3: household (transfers, other income); EICV4_CS: household (transfers, VUP, other income); EICV5_CS: household (transfers, VUP, other income); EICV5_VUP: household (transfers, VUP, other income); EICV7_CS: household (cash transfers, VUP, other income); EICV7_VUP: household (cash transfers, VUP, other income)",171696,187447,189462,21333,198588,49439,,,,
quintile,Quintile,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,"EICV3: household (transfers, other income); EICV4_CS: household (transfers, VUP, other income); EICV5_CS: household (transfers, VUP, other income)",171696,187447,189468,0,0,0,,"quintile_v2 (EICV7_CS, EICV7_VUP)",EICV4_CS: QUINTILE,
poverty_v2,[EICV3..EICV4_CS version] POVERTY,int8,"1=Extremely poor, 2=Poor, 3=Non-poor",3,"EICV3: household (transfers, other income); EICV4_CS: household (transfers, VUP, other income)",171696,187447,0,0,0,0,,"poverty (EICV5_CS, EICV7_CS, EICV7_VUP)",EICV3: Poverty status; EICV4_CS: POVERTY,
item,Expenditure code,int8,"1=Taxes on property, 2=Other taxes, 3=Contributions to mutual aid, 4=Charitable works, 5=Gifts and donations …",12,"household (transfers, other income)",171696,0,0,0,0,0,,,,
s10eq2,Amount spent,int32,,0,"household (transfers, other income)",171696,0,0,0,0,0,,,,
ur2012,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,"household (transfers, VUP, other income)",0,187447,0,0,0,0,,,,
region,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,"household (transfers, VUP, other income)",0,187447,189468,0,0,0,,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
s9eq1,Expenditure code,int8,"1=Taxes on property, 2=Other taxes/Duties, 3=Contributions to mutual aid or developmental projects, 4=Charitable works, 5=Gifts and donations …",13,"household (transfers, VUP, other income)",0,187447,189462,21333,0,0,,,EICV4_CS: Other expenditure code,"{""9"": [""Death (funeral)"", ""Death _funeral_""]}"
s9eq1d,Other expenditure description,string,,0,"household (transfers, VUP, other income)",171696,187447,189468,21333,198588,49439,,,,
s9eq2,Amount spent,int32,9999999=Missing,1,"household (transfers, VUP, other income)",0,187447,189462,21333,0,0,,,EICV4_CS: Amount spent on other expenditure,
hhtype,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,"household (transfers, VUP, other income)",0,187447,0,0,0,0,,,,
rwanda,All Rwanda,int8,1=All Rwanda,1,"household (transfers, VUP, other income)",0,187447,0,0,0,0,,,,
surveyh,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,"household (transfers, VUP, other income)",0,187447,0,0,0,0,,,,
consumption,aggregate consumption/ae in Jan14 Prices,double,,0,"household (transfers, VUP, other income)",0,187447,0,0,0,0,,,,
s0q19m,Month of interview,int8,,0,"household (transfers, VUP, other income)",0,187447,0,0,0,0,,,,
s0q19y,Year of interview,int8,,0,"household (transfers, VUP, other income)",0,187447,0,0,0,0,,,,
poverty,Welfare Categories,int8,"1=Severaly Poor, 2=Moderately poor, 3=Non Poor",3,"EICV5_CS: household (transfers, VUP, other income); EICV7_CS: household (cash transfers, VUP, other income); EICV7_VUP: household (cash transfers, VUP, other income)",0,0,189462,0,198588,49439,,"poverty_v2 (EICV3, EICV4_CS)",EICV5_CS: Welfare categories,"{""1"": [""Severaly Poor"", ""Severely poor""]}"
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,"household (transfers, VUP, other income)",0,0,0,21333,0,0,,,,
s0q18m,Month of interview,int8,,0,"household (transfers, VUP, other income)",0,0,0,21333,0,0,,,,
s0q18y,Year of interview,int16,,0,"household (transfers, VUP, other income)",0,0,0,21333,0,0,,,,
s9cq1,Expenditure code,int8,"1=Taxes on property, 2=Other taxes/Duties, 3=Contributions to mutual aid or developmental projects, 4=Charitable works, 5=Gifts and donations (excluding  those declared above as transfers) …",13,"household (cash transfers, VUP, other income)",0,0,0,0,198588,49439,,,,
s9cq2,Amount spent,int32,,0,"household (cash transfers, VUP, other income)",0,0,0,0,198588,49439,,,,
strata_id,VUP Strata,int16,"1=Direct Support, 2=Financial Services, 3=NSDS, 4=Classic Public Work, 5=Expanded Public Work …",7,"household (cash transfers, VUP, other income)",0,0,0,0,198588,49439,,,EICV7_CS: strata_id,
quintile_v2,[EICV7_CS..EICV7_VUP version] Quintiles of real consumption per ae,int8,"1=Poor, 2=Poor/mid, 3=Mid, 4=Mid/upper, 5=Upper",5,"household (cash transfers, VUP, other income)",0,0,0,0,198588,49439,,"quintile (EICV3, EICV4_CS, EICV5_CS)",,
pov_jan,Total Poverty Headcount Ratio,int8,"0=Non Poor, 100=Poor",2,"household (cash transfers, VUP, other income)",0,0,0,0,198588,49439,,,,
epov_jan,Extreme Poverty Headcount Ratio,int8,"0=Non Extreme Poor, 100=Extreme Poor",2,"household (cash transfers, VUP, other income)",0,0,0,0,198588,49439,,,,
