variable,label,type,value_labels,n_value_labels,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV5_CS,n_EICV5_VUP,n_EICV7_CS,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,172500,314776,288380,306060,34463,397176,98878,,,,
year,Survey year (mid-fieldwork),int16,,0,172500,314776,288380,306060,34463,397176,98878,,,,
wave,Wave / round id,string,,0,1612233,1612233,1612233,1612233,1612233,1612233,1612233,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,172500,314776,288380,306060,34463,397176,98878,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,172500,314776,288380,306054,34463,397176,98878,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,172500,314776,288380,306060,34463,397176,98878,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,172500,314776,288380,306054,34463,397176,98878,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,172500,314776,288380,306060,34463,397176,98878,,,,
hhid,Household id (unique within wave),int32,,0,172500,314776,288380,306060,34463,397176,98878,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,172500,314776,288380,306054,34463,397176,98878,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,172500,314776,288380,306054,34463,397176,98878,,,,
id6,Household number,int8,,0,172500,0,0,0,0,0,0,,,,
id1,Strata,int8,"1=City of Kigali, 2=Other urban, 3=Rural",3,172500,0,0,0,0,0,0,,,,
id2,Province,int8,"1=City of Kigali, 2=Kigali Ngali, 3=Gitarama, 4=Butare, 5=Gikongoro …",12,172500,0,0,0,0,0,0,,,,
item,Item code,int8,"1=Social security, 2=VUP Direct support, 3=Old age grant, 4=FARG, 5=Local government education support …",25,172500,314776,0,0,0,0,0,,,EICV2: Item,"{""1"": [""(income) Social security"", ""Social security""], ""2"": [""(income) Compensation for appropriation or displacement"", ""VUP Direct support""], ""3"": [""(income) State pension"", ""Old age grant""], ""4"": [""(income) Other revenues"", ""FARG""], ""5"": [""(income) Social security (private)"", ""Local government education support""], ""6"": [""(income) Private pension"", ""Educational scholarships""], ""7"": [""(income) Insurance payment"", ""Food relief""], ""8"": [""(income) Inheritance"", ""Termination of emplyment allowance""], ""9"": [""(income) Gambling"", ""Government donations""], ""10"": [""(income) Sale of property"", ""Other benefits""], ""11"": [""(income) Sale of real estate and/or household assets"", ""Pension from private sector""], ""12"": [""(income) Contribution of non-household members"", ""inkunga yo kuzigama""], ""13"": [""(income) Property rental"", ""Insurance dividends""], ""14"": [""(income) Other revenue"", ""Dowry or inheritance""], ""15"": [""(expense) Taxes"", ""Gambling, lottery""], ""16"": [""(expense) Contribution to development projects"", ""Sale of land""], ""17"": [""(expense) Charitable donations"", ""Sale of fixed assets""], ""18"": [""(expense) Gifts (exclude transfers)"", ""Contribution for meals provided""], ""19"": [""(expense) Marriage (dowry)"", ""Property rent""], ""20"": [""(expense) Baptism"", ""NGO or charity""], ""21"": [""(expense) Deceased (funeral)"", ""Private contribution for health treatment""], ""22"": [""(expense) Religious festivals"", ""Other benefits""]}"
s10cq2,Amount,int32,,0,172299,0,0,0,0,0,0,,,,
dstrat,Design strata,int16,"111=Kigali lowest quartile socio-economic strata, 112=Kigali quartile 2 socio-economic strata, 113=Kigali quartile 3 socio-economic strata, 114=Kigali highest quartile socio-economic strata, 119=Kigali (semi-rural) …",32,172500,0,0,0,0,0,0,,,,
quintile,Quintile,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,0,314776,288380,306060,0,0,0,,"quintile_v2 (EICV7_CS, EICV7_VUP)",EICV4_CS: QUINTILE,
poverty_v2,[EICV3..EICV4_CS version] POVERTY,int8,"1=Extremely poor, 2=Poor, 3=Non-poor",3,0,314776,288380,0,0,0,0,,"poverty (EICV5_CS, EICV7_CS, EICV7_VUP)",EICV3: Poverty status; EICV4_CS: POVERTY,
s10cq2a,Amount received last 4 weeks,int32,,0,0,314776,0,0,0,0,0,,,,
s10cq2b,Amount received last 12 Months,int32,,0,0,314776,0,0,0,0,0,,,,
ur2012,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,0,0,288380,0,0,0,0,,,,
region,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,0,0,288380,306060,0,0,0,,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
