variable,label,type,value_labels,n_value_labels,universe,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,household (expenditure and own consumption),40425,1414994,1347319,242560,1472580,166044,,,,
year,Survey year (mid-fieldwork),int16,,0,household (expenditure and own consumption),40425,1414994,1347319,242560,1472580,166044,,,,
wave,Wave / round id,string,,0,household (expenditure and own consumption),0,0,0,0,0,0,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,household (expenditure and own consumption),40425,1414994,1347319,242560,1472580,166044,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,household (expenditure and own consumption),40425,1414994,1347319,242560,1472580,166044,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,household (expenditure and own consumption),40425,1414994,1347319,242560,1472580,166044,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,household (expenditure and own consumption),40425,1414994,1347319,242560,1472580,166044,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,household (expenditure and own consumption),40425,1414994,1347319,242560,1472580,166044,,,,
hhid,Household id (unique within wave),int32,,0,household (expenditure and own consumption),40425,1414994,1347319,242560,1472580,166044,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,household (expenditure and own consumption),40425,1414994,1347319,242560,1472580,166044,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,household (expenditure and own consumption),40425,1414994,1347319,242560,1472580,166044,,,,
id6,Household number,int8,,0,household (expenditure and own consumption),40425,0,0,0,0,0,,,,
id1,Strata,int8,"1=City of Kigali, 2=Other urban, 3=Rural",3,household (expenditure and own consumption),40425,0,0,0,0,0,,,,
id2,Province,int8,"1=City of Kigali, 2=Kigali Ngali, 3=Gitarama, 4=Butare, 5=Gikongoro …",12,household (expenditure and own consumption),40425,0,0,0,0,0,,,,
item_v2,[EICV2..EICV2 version] Item,int16,"1=Shelled local rice, 2=Maize, 3=Dry maize (grain), 4=Sorghum, 5=Wheat …",106,household (expenditure and own consumption),40425,0,0,0,0,0,,item (EICV3),,
s9dq2,Household consumed item from own produce since the last visit,int8,"1=Yes, 2=No",2,household (expenditure and own consumption),40425,0,0,0,0,0,,,,
s9dq3,Estimated number of months that this item was consumed during the last 12,int8,,0,household (expenditure and own consumption),36543,0,0,0,0,0,,,,
s9dq4,Visit 1,double,,0,household (expenditure and own consumption),40425,0,0,0,0,0,,,,
s9dq5,Visit 2,double,,0,household (expenditure and own consumption),40425,0,0,0,0,0,,,,
s9dq6,Visit 3,double,,0,household (expenditure and own consumption),40425,0,0,0,0,0,,,,
s9dq7,Visit 4,double,,0,household (expenditure and own consumption),40425,0,0,0,0,0,,,,
s9dq8,Visit 5,double,,0,household (expenditure and own consumption),40425,0,0,0,0,0,,,,
s9dq9,Visit 6,double,,0,household (expenditure and own consumption),40425,0,0,0,0,0,,,,
s9dq10,Visit 7,double,,0,household (expenditure and own consumption),40425,0,0,0,0,0,,,,
s9dq11,Visit 8,double,,0,household (expenditure and own consumption),40425,0,0,0,0,0,,,,
s9dq12,Visit 9,double,,0,household (expenditure and own consumption),40425,0,0,0,0,0,,,,
s9dq13,Visit 10,double,,0,household (expenditure and own consumption),40425,0,0,0,0,0,,,,
s9dq14,Unit of measure,int8,"1=Fanta bottle, 2=Primus bottle, 3=Whisky bottle, 4=Martini bottle, 5=Small bucket …",40,household (expenditure and own consumption),40217,0,0,0,0,0,,,,
s9dq15,Estimated unit price of item,double,,0,household (expenditure and own consumption),40425,0,0,0,0,0,,,,
kilos,Kilos or litres consumed,double,,0,household (expenditure and own consumption),39503,0,0,0,0,0,,,,
totns,Total in non standard units,double,,0,household (expenditure and own consumption),40425,0,0,0,0,0,,,,
dstrat,Design strata,int16,"111=Kigali lowest quartile socio-economic strata, 112=Kigali quartile 2 socio-economic strata, 113=Kigali quartile 3 socio-economic strata, 114=Kigali highest quartile socio-economic strata, 119=Kigali (semi-rural) …",32,household (expenditure and own consumption),40425,0,0,0,0,0,,,,
quintile,Quintile,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,household (expenditure and own consumption),0,1414994,1347319,0,1472580,0,,,EICV4_CS: QUINTILE,
poverty,POVERTY,int8,"1=Extremely poor, 2=Poor, 3=Non-poor",3,household (expenditure and own consumption),0,1414994,1347319,0,0,0,,poverty_v2 (EICV5_CS),EICV3: Poverty status,
item,Article,int16,"1=Local rice, 2=Maize (fresh), 3=Dry maize (grain), 4=Sorghum, 5=Wheat (grain) …",106,household (expenditure and own consumption),0,1414994,0,0,0,0,,item_v2 (EICV2),,
s9cq2,Has household consumed the product during the last 12 months,int8,"1=Yes, 2=No",2,household (expenditure and own consumption),0,1414994,0,0,0,0,,,,
s9cq3,Number of months article was consumed,int8,,0,household (expenditure and own consumption),0,237758,0,0,0,0,,,,
s9cq4,Visit 1,double,0=Missing,1,household (expenditure and own consumption),0,1414994,0,0,0,0,,,,
s9cq5,Visit 2,double,0=Missing,1,household (expenditure and own consumption),0,1414994,0,0,0,0,,,,
s9cq6,Visit 3,double,0=Missing,1,household (expenditure and own consumption),0,1414994,0,0,0,0,,,,
s9cq7,Visit 4,double,0=Missing,1,household (expenditure and own consumption),0,1414994,0,0,0,0,,,,
s9cq8,Visit 5,double,0=Missing,1,household (expenditure and own consumption),0,1414994,0,0,0,0,,,,
s9cq9,Visit 6,double,0=Missing,1,household (expenditure and own consumption),0,1414994,0,0,0,0,,,,
s9cq10,Visit 7,double,0=Missing,1,household (expenditure and own consumption),0,1414994,0,0,0,0,,,,
s9cq11,Visit 8,double,0=Missing,1,household (expenditure and own consumption),0,76214,0,0,0,0,,,,
s9cq12,Visit 9,double,0=Missing,1,household (expenditure and own consumption),0,76214,0,0,0,0,,,,
s9cq13,Visit 10,double,0=Missing,1,household (expenditure and own consumption),0,76214,0,0,0,0,,,,
s9cq14,Unit of measure declared,int8,"0=No consumption during the visit, 1= bottle of Fanta, 2= Bottle Primus, 3= bottle Wisky, 4= Bottle Martine …",41,household (expenditure and own consumption),0,118593,0,0,0,0,,,,
s9cq15,Current unit price of the product,int16,0=Not Applicable,1,household (expenditure and own consumption),0,118593,0,0,0,0,,,,
ur2012,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,household (expenditure and own consumption),0,0,1347319,242560,0,0,,,,
region,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,household (expenditure and own consumption),0,0,1347319,242560,1472580,0,,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
s8cq0_v2,[EICV4_CS..EICV4_VUP version] Article,int16,"1=Local rice, 2=Maize (fresh), 3=Dry maize (grain), 4=Sorghum, 5=Wheat (grain) …",101,household (expenditure and own consumption),0,0,1346229,242501,0,0,,"s8cq0 (EICV5_CS, EICV5_VUP)",,
s8cq0d,Description,string,,0,household (expenditure and own consumption),40425,1414994,1347319,242560,1472580,166044,,,EICV4_CS: Article description; EICV4_VUP: Article description,
s8cq1,COICOP code details,string,,0,household (expenditure and own consumption),40425,1414994,1347319,242560,1472580,166044,,,EICV4_CS: COICOP code; EICV4_VUP: COICOP code,
s8cq1d,COICOP value,string,,0,household (expenditure and own consumption),40425,1414994,1347319,242560,1472580,166044,,,,
s8cq2,Number of months article was consumed,int8,"0=None, 99=Missing",2,household (expenditure and own consumption),0,0,1346229,242501,1472580,166044,,,,
s8cq3_v2,[EICV4_CS..EICV4_VUP version] Visit 2,double,,0,household (expenditure and own consumption),0,0,1346229,242501,0,0,,"s8cq3 (EICV5_CS, EICV5_VUP)",,
s8cq4,Visit 2,double,,0,household (expenditure and own consumption),0,0,1346229,242501,1472580,166044,,,EICV4_CS: Visit 3; EICV4_VUP: Visit 3,
