variable,label,type,value_labels,n_value_labels,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,17071,22258,59016,53535,8157,42837,4629,,,,
year,Survey year (mid-fieldwork),int16,,0,17071,22258,59016,53535,8157,42837,4629,,,,
wave,Wave / round id,string,,0,207503,207503,207503,207503,207503,207503,207503,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,17071,22258,59016,53535,8157,42837,4629,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,17071,22258,59016,53535,8157,42837,4629,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,17071,22258,59016,53535,8157,42837,4629,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,17071,22258,59016,53535,8157,42837,4629,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,17071,22258,59016,53535,8157,42837,4629,,,,
hhid,Household id (unique within wave),double,,0,17071,22258,59016,53535,8157,42837,4629,,,,
pid,Person number within the household,int8,"0=Missing, 99=Exit code",2,0,22258,0,0,0,0,0,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,17071,22258,59016,53535,8157,42837,4629,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,17071,22258,59016,53535,8157,42837,4629,,,,
rectype,Record type,string,,0,17071,22258,59016,53535,8157,42837,4629,,,,
strate,Area,int8,,0,17071,0,0,0,0,0,0,,,,
prefect,Province,int8,"1=Butare, 2=Byumba, 3=Cyangugu, 4=Gikongoro, 5=Gisenyi …",12,17071,0,0,0,0,0,0,,,,
s8cq0,Did member of household plant any crops on parcels last 12 months?,int8,"1=Yes, 2=No",2,6420,0,0,0,0,0,0,,,,
s8cq1_v2,[EICV1..EICV1 version] ID Number of Operator/Holder,int8,,0,16195,0,0,0,0,0,0,,s8cq1 (EICV3),,
s8cq2_v3,[EICV1..EICV1 version] ID Number of interviewee,int8,,0,16195,0,0,0,0,0,0,,"s8cq2 (EICV3), s8cq2_v2 (EICV2)",,
s8cq3_v2,[EICV1..EICV1 version] Parcel Number,int8,,0,16195,0,0,0,0,0,0,,s8cq3 (EICV2),,
s8cq4,Surface area,double,0=Missing,1,16195,0,59016,0,0,0,0,,s8cq4_v2 (EICV2),EICV1: Area (hectares),
s8cq5_v2,[EICV1..EICV1 version] Is this parcel irrigated?,int8,"1=Yes, 2=No",2,16195,0,0,0,0,0,0,,"s8cq5 (EICV2, EICV3)",,
s8cq6_v2,[EICV1..EICV1 version] Does household own this parcel?,int8,"1=Yes, 2=No",2,16195,0,0,0,0,0,0,,"s8cq6 (EICV2, EICV3)",,
s8cq7_v2,[EICV1..EICV1 version] Does household have the right to sell or use as collater,int8,"1=Yes, to sell, 2=Yes, security, 3=No",3,13562,0,0,0,0,0,0,,"s8cq7 (EICV2, EICV3)",,
s8cq8_v2,"[EICV1..EICV1 version] If this parcel sold now, how much would it be worth?",int32,,0,13562,0,0,0,0,0,0,,"s8cq8 (EICV2, EICV3)",,
s8cq9_v2,[EICV1..EICV1 version] How did you obtain use of the parcel?,int8,"1=Rent (cash or in kind), 2=Sharecropping, 3=Loan/Free, 4=Appropriation, 5=Other",5,2633,0,0,0,0,0,0,,s8cq9 (EICV3),,
s8cq10_v3,[EICV1..EICV1 version] What was the cost (include in kind) of renting during th,int32,,0,1747,0,0,0,0,0,0,,"s8cq10 (EICV3), s8cq10_v2 (EICV2)",,
s8cq11_v2,[EICV1..EICV1 version] What proportion (%) of crop goes to the landlord?,int8,,0,68,0,0,0,0,0,0,,s8cq11 (EICV3),,
s8cq12_v2,[EICV1..EICV1 version] Has the parcel been cultivated during the last 12 months,int8,"1=Yes, 2=No",2,16195,0,0,0,0,0,0,,s8cq12 (EICV3),,
s8cq13a_v2,"[EICV1..EICV1 version] Hh mem #1 who worked the parcel, excluding holder",int8,98=Non-household member,1,13560,0,0,0,0,0,0,,s8cq13a (EICV3),,
s8cq13b_v2,"[EICV1..EICV1 version] Hh mem #2 who worked the parcel, excluding holder",int8,98=Non-household member,1,8499,0,0,0,0,0,0,,s8cq13b (EICV3),,
s8cq13c_v2,"[EICV1..EICV1 version] Hh mem #3 who worked the parcel, excluding holder",int8,98=Non-household member,1,6557,0,0,0,0,0,0,,s8cq13c (EICV3),,
s8cq14_v2,[EICV1..EICV1 version] Who decided what crops to grow?,int8,"1=Head of household, 2=Holder, 3=Other household members, 4=Non-household members",4,15439,0,0,0,0,0,0,,s8cq14 (EICV3),,
id6,Household number,int8,,0,0,22258,0,0,0,0,0,,,,
id1,Strata,int8,"1=City of Kigali, 2=Other urban, 3=Rural",3,0,22258,0,0,0,0,0,,,,
id2,Province,int8,"1=City of Kigali, 2=Kigali Ngali, 3=Gitarama, 4=Butare, 5=Gikongoro …",12,0,22258,0,0,0,0,0,,,,
s8cq2_v2,[EICV2..EICV2 version] ID of person interviewed,int8,,0,0,22235,0,0,0,0,0,,"s8cq2 (EICV3), s8cq2_v3 (EICV1)",,
s8cq3,ID of field,int8,,0,0,22258,0,0,0,0,0,,s8cq3_v2 (EICV1),,
