variable,label,type,value_labels,n_value_labels,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV5_CS,n_EICV7_CS,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,32153,34785,68398,66081,64314,62110,,,,
year,Survey year (mid-fieldwork),int16,,0,32153,34785,68398,66081,64314,62110,,,,
wave,Wave / round id,string,,0,327841,327841,327841,327841,327841,327841,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,32153,34785,68398,66081,64314,62110,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,32153,34785,68398,66081,64314,62110,"EICV1: household key table (['s6_housing', 's0_id', 'eicv1_remap_weights']); EICV2: id1_n; EICV3: province; EICV4_CS: province; EICV5_CS: province; EICV7_CS: province",,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,32153,34785,68398,66081,64314,62110,"EICV1: household key table (['s6_housing', 's0_id', 'eicv1_remap_weights']); EICV2: id2_n; EICV3: district; EICV4_CS: district; EICV5_CS: district; EICV7_CS: district",,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,32153,34785,68398,66081,64314,62110,"EICV1: household key table (['s6_housing', 's0_id', 'eicv1_remap_weights']); EICV2: id0; EICV3: urb2002; EICV4_CS: ur2_2012; EICV5_CS: ur; EICV7_CS: ur",,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,32153,34785,68398,66081,64314,62110,"EICV1: household key table (['s6_housing', 's0_id', 'eicv1_remap_weights']); EICV2: clust; EICV4_CS: clust; EICV5_CS: clust; EICV7_CS: clust",,,
hhid,Household id (unique within wave),double,,0,32153,34785,68398,66081,64314,62110,EICV1: key; EICV2: key,,,
pid,Person number within the household,int32,,0,32153,34785,68398,66081,64314,62110,EICV1: id; EICV3: PID % 100 (PID = hhid*100 + person),,,
sex,"Sex (1 male, 2 female)",int8,"1=Male, 2=Female, 9=Missing",3,32153,34785,68398,66081,64314,62110,EICV1: s1q1; EICV2: s1q1; EICV3: s1q1; EICV4_CS: s1q1; EICV5_CS: s1q1; EICV7_CS: s1q1,,,
age,Age in years,int16,"998=Don't know, 999=Missing",2,32153,34785,68398,66081,64314,62110,EICV1: s1q3a; EICV2: s1q3a; EICV3: s1q3y; EICV4_CS: s1q3y; EICV5_CS: s1q3y; EICV7_CS: s1q3y,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,32153,34785,68398,66081,64314,62110,"EICV1: household key table (['s6_housing', 's0_id', 'eicv1_remap_weights']); EICV2: hh_wt; EICV3: hh_wt; EICV4_CS: weight; EICV5_CS: weight; EICV7_CS: weight",,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,32153,34785,68398,66081,64314,62110,,,,
strate,Strata,int8,"1=Kigali Urban, 2=Other Urban, 3=Rural",3,32153,0,0,0,0,0,EICV1: module s5_migration,,,
prefect,Province,int8,"1=Butare, 2=Byumba, 3=Cyangugu, 4=Gikongoro, 5=Gisenyi …",12,32153,0,0,0,0,0,EICV1: module s5_migration,,,
s1q2,Relation with the head of household,int8,"1=Household head (HH), 2=Spouse of HH, 3=Son or daughter of HH, 4=Step or adopted or foster child of HH, 5=Parent of HH …",15,32153,34785,68398,66081,64314,62110,EICV1: module eicv1_jobstatus_subsistence1; EICV2: module jobstatus_subsistence1,,EICV1: Relation with Head of Household; EICV2: Relationship to the head of household,"{""1"": [""Head"", ""Head of household"", ""Household head (HH)"", ""Household head _HH_""], ""3"": [""Son or daughter of HH"", ""Son or daughter of the head of household"", ""Son/Daughter""], ""4"": [""Child in custody"", ""Grandson/daugther"", ""Step or adopted or foster child of HH""], ""5"": [""Father or mother of HH"", ""Father or mother of the head of household"", ""Father/Mother"", ""Parent of HH""], ""6"": [""Brother or sister of HH"", ""Brother or sister of the head of household"", ""Relative of Head or spouse""], ""7"": [""Domestic and peiople related"", ""Grand child of HH"", ""Petit fils /fille du CM""], ""8"": [""Boarders and other people related"", ""Other relationship to the head of household"", ""Parent in law of HH""], ""2"": [""Spouse"", ""Spouse of HH""], ""9"": [""Brother or  sister in law to HH"", ""No relationship to the head of household""], ""10"": [""Nephew/Niece"", ""Other relationship to HH""], ""11"": [""No relationship to HH"", ""Other relationship to HH""], ""12"": [""Domestic worker"", ""Waged Domestic worker""]}"
s1q3b,Age in months,int8,,0,5929,0,0,0,0,0,EICV1: module eicv1_econbase,,,
s1q4_v2,[EICV1..EICV2 version] Civil status,int8,"1=Married monogamous, 2=Married polygamous, 3=Living together, 4=Divorced or separated, 5=Single …",9,20750,22515,0,0,0,0,,"s1q4 (EICV3, EICV4_CS, EICV5_CS, EICV7_CS)",EICV1: Civil state; EICV2: Civil status,"{""1"": [""Married monogamous"", ""Married not head of household""], ""2"": [""Free union"", ""Married polygamous""], ""3"": [""Divorced"", ""Living together""], ""4"": [""Divorced or separated"", ""Separated""], ""6"": [""Widow or widower"", ""Widowed""]}"
s1q5_v2,[EICV1..EICV1 version] Spouse resides in household,int8,"1=Yes, 2=No",2,7997,0,0,0,0,0,,"s1q5 (EICV2, EICV3, EICV4_CS, EICV5_CS)",,
s1q6_v2,[EICV1..EICV1 version] ID of spouse,int8,,0,7763,0,0,0,0,0,,"s1q6 (EICV2, EICV3, EICV4_CS, EICV5_CS, EICV7_CS)",,
s1q7_v3,[EICV1..EICV1 version] Place of birth,int8,"1=Butare, 2=Byumba, 3=Cyangugu, 4=Gikongoro, 5=Gisenyi …",18,32153,0,0,0,0,0,,"s1q7 (EICV2, EICV3, EICV4_CS, EICV5_CS), s1q7_v2 (EICV7_CS)",,
s1q8_v2,[EICV1..EICV1 version] Nationality,int8,"20=Rwandan, 21=Burundian, 22=Congolese, 23=Ugandan, 24=Tanzanian …",7,32153,0,0,0,0,0,,"s1q8 (EICV2, EICV3, EICV4_CS, EICV5_CS, EICV7_CS)",,
s1q9_v3,[EICV1..EICV1 version] Have you been away?,int8,"1=Yes, 2=No",2,32153,0,0,0,0,0,,"s1q9 (EICV2, EICV3, EICV4_CS, EICV5_CS), s1q9_v2 (EICV7_CS)",,
s1q10_v4,[EICV1..EICV1 version] Length of absence,int8,,0,1053,0,0,0,0,0,,"s1q10 (EICV3, EICV5_CS), s1q10_v2 (EICV2, EICV4_CS), s1q10_v3 (EICV7_CS)",,
s1q11_v2,[EICV1..EICV7_CS version] primary n reason for absence during enumeration,int8,"1=Studies, 2=Seasonal work, 3=Working away now, 4=Health care, 5=Attend ceremony …",10,437,0,0,0,0,2661,,"s1q11 (EICV3, EICV4_CS, EICV5_CS), s1q11_v3 (EICV2)",EICV1: Reason for absence; EICV7_CS: primary n reason for absence during enumeration,"{""1"": [""Studies"", ""Study""], ""3"": [""Normal Work"", ""Working away now""], ""4"": [""Health care"", ""Other Work""], ""5"": [""Attend ceremony"", ""Health""], ""6"": [""Ceremonies"", ""Visit friend or family""], ""7"": [""Training"", ""Visiting""], ""8"": [""Detention or compulsory service"", ""Training""], ""9"": [""Living with relatives"", ""Otherspecify""]}"
s1q12_v4,[EICV1..EICV1 version] Have you lived in another household?,int8,"1=Yes, 2=No",2,437,0,0,0,0,0,,"s1q12 (EICV3, EICV4_CS, EICV5_CS), s1q12_v2 (EICV7_CS), s1q12_v3 (EICV2)",,
s1q13_v2,[EICV1..EICV2 version] Household member,int8,"1=Yes, 2=No",2,32153,34785,0,0,0,0,,"s1q13 (EICV3, EICV4_CS, EICV7_CS), s1q13_v3 (EICV5_CS)",EICV1: Household member status; EICV2: Household member,
s1q14_v2,[EICV1..EICV7_CS version] Household membership,int8,"1=Yes, 2=No",2,32098,0,0,0,0,62110,,"s1q14 (EICV3, EICV4_CS, EICV5_CS)",EICV1: Does the father live in the household?; EICV7_CS: Household membership,
s1q15_v3,[EICV1..EICV1 version] ID of father,int8,,0,12267,0,0,0,0,0,,"s1q15 (EICV5_CS), s1q15_v2 (EICV4_CS)",,
s1q16_v2,[EICV1..EICV1 version] Level of father,int8,"11=Primary-First, 12=Primary-Second, 13=Primary-Third, 14=Primary-Fourth, 15=Primary-Fifth …",27,19831,0,0,0,0,0,,s1q16 (EICV5_CS),,
s1q17,Nature of father,int8,"1=Agriculture/Livestock/Fishing, 2=Trade, 3=Employer, 4=Artisan, 5=Professional …",9,19831,0,0,0,0,0,,,,
s1q18,Does mother live in household?,int8,"1=Yes, 2=No",2,32098,0,0,0,0,0,,,,
s1q19,Id of mother,int8,,0,17149,0,0,0,0,0,,,,
s1q20,Mother,int8,"11=Primary-First, 12=Primary-Second, 13=Primary-Third, 14=Primary-Fourth, 15=Primary-Fifth …",26,14949,0,0,0,0,0,,,,
s1q21,Nature of mother,int8,"1=Agriculture/Livestock/Fishing, 2=Trade, 3=Employer, 4=Artisan, 5=Professional …",9,14949,0,0,0,0,0,,,,
s2aq1,ID of person interviewed,int8,,0,25123,28018,0,0,0,0,EICV1: module s2_education; EICV2: module s2_education,s2aq1_v2 (EICV3),EICV1: Id of interviewed person,
s2aq2,Ever been to school,int8,"1=Yes, 2=No",2,25143,28018,56116,0,0,0,EICV1: module eicv1_econbase; EICV2: module s2_education,,,
s2aq3_v3,[EICV1..EICV1 version] Highest level of education completed?,int8,"10=Didn't achieve Primary-First, 11=Primary-First, 12=Primary-Second, 13=Primary-Third, 14=Primary-Fourth …",28,2484,0,0,0,0,0,,"s2aq3 (EICV3), s2aq3_v2 (EICV2)",,
s2aq4_v3,[EICV1..EICV1 version] Highest Certificate/Diploma attained?,int8,"1=Certificate (Completed Primary), 2=Fin tronc commun, 3=Certificate Post primary, 4=Diploma A (Technical professional), 5=Diploma of Humanities (Completed D6) …",11,2484,0,0,0,0,0,,"s2aq4 (EICV3), s2aq4_v2 (EICV2)",,
s2aq5_v2,[EICV1..EICV1 version] Highest class attained,int8,,0,16397,0,0,0,0,0,,s2aq5 (EICV2),,
s2aq6_v3,[EICV1..EICV1 version] Attended in the last 12 months,int8,"1=Yes, 2=No",2,16397,0,0,0,0,0,,"s2aq6 (EICV3), s2aq6_v2 (EICV2)",,
s2aq7,Absent from school last week,int8,"1=Yes, 2=No, 3=Not studying",3,7321,0,21871,0,0,0,EICV1: module s2_education,s2aq7_v2 (EICV2),EICV1: Class hours missed last week?,
s2aq8_v2,[EICV1..EICV1 version] Time spent going to school (minutes),int16,,0,7321,0,0,0,0,0,,s2aq8 (EICV3),,
s2aq9a_v2,[EICV1..EICV1 version] School registration fees,int32,,0,7321,0,0,0,0,0,,s2aq9a (EICV3),,
s2aq9b_v2,[EICV1..EICV1 version] Contributions to parent associations,int32,,0,7321,0,0,0,0,0,,s2aq9b (EICV3),,
s2aq9c,Expenses for school uniforms,int32,,0,7321,0,0,0,0,0,EICV1: module s2_education,,,
s2aq9d,Expenses for books and material,int32,,0,7321,0,0,0,0,0,EICV1: module s2_education,,,
s2aq9e,Expenses for transport to & from school,int32,,0,7321,0,0,0,0,0,EICV1: module s2_education,,,
s2aq9f,"Expenses for food, board, lodging at school",int32,,0,7321,0,0,0,0,0,EICV1: module s2_education,,,
s2aq9g,"Expenses for clubs, field trips etc.",int32,,0,7321,0,0,0,0,0,EICV1: module s2_education,,,
s2aq9h,Other educational expenses,int32,,0,7321,0,0,0,0,0,EICV1: module s2_education,,,
s2aq10_v2,[EICV1..EICV1 version] Scholarships?,int8,"1=Yes, 2=No",2,7321,0,0,0,0,0,,s2aq10 (EICV3),,
s2aq11_v3,[EICV1..EICV1 version] Amount of scholarship,int32,,0,140,0,0,0,0,0,,"s2aq11 (EICV3), s2aq11_v2 (EICV2)",,
s2aq12_v2,[EICV1..EICV1 version] Primary source of education funding,int8,"1=Father, 2=Mother, 3=Both, 4=Other members of household, 5=Other relative …",9,7321,0,0,0,0,0,,s2aq12 (EICV2),,
s2aq13,Reason for dropping out of school,int8,"1=Cost, 2=Work, 3=Marriage, 4=Change of residence, 5=Excluded …",10,16397,9973,0,0,0,0,EICV1: module s2_education; EICV2: module s2_education,s2aq13_v2 (EICV3),EICV1: Dropped out of school,"{""1"": [""Cost"", ""Yes""], ""2"": [""No"", ""Work""]}"
s2aq14_v2,[EICV1..EICV1 version] Reason for dropping out?,int8,"1=Cost, 2=Work, 3=Marriage, 4=Change of residence, 5=Expulsion …",10,9202,0,0,0,0,0,,s2aq14 (EICV3),,
s2bq1,Highest class attained in primary school,int8,"10=1st year primary-unfinished, 11=1st year of primary, 12=2nd year of primary, 13=3rd year of primary, 14=4th year of primary …",9,16397,22306,0,0,0,0,EICV1: module s2_education; EICV2: module s2_education,,EICV1: Highest primary class,"{""10"": [""1st year primary-unfinished"", ""Didn't achieve Primary-First""], ""11"": [""1st year of primary"", ""Primary-First""], ""12"": [""2nd year of primary"", ""Primary-Second""], ""13"": [""3rd year of primary"", ""Primary-Third""], ""14"": [""4th year of primary"", ""Primary-Fourth""], ""15"": [""5th year of primary"", ""Primary-Fifth""], ""16"": [""6th or 7th year of primary"", ""Primary-Sixth/Seventh""]}"
s2bq2_v2,[EICV1..EICV1 version] Was primary school interrupted?,int8,"1=Yes, 2=No",2,16394,0,0,0,0,0,,s2bq2 (EICV2),,
s2bq3a,How long interrupted in years?,int8,,0,1573,0,0,0,0,0,EICV1: module s2_education,,,
s2bq3b,How long interrrupted in months?,int8,,0,1573,0,0,0,0,0,EICV1: module s2_education,,,
s2bq4_v2,[EICV1..EICV1 version] Repeat any primary classes?,int8,"1=Yes, 2=No",2,16394,0,0,0,0,0,,s2bq4 (EICV2),,
