variable,label,type,value_labels,n_value_labels,n_EICV4_VUP,n_EICV5_VUP,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,10606,6596,15039,,,,
year,Survey year (mid-fieldwork),int16,,0,10606,6596,15039,,,,
wave,Wave / round id,string,,0,32241,32241,32241,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,10606,6596,15039,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,10606,6596,15039,EICV4_VUP: province; EICV5_VUP: province; EICV7_VUP: province,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,10606,6596,15039,EICV4_VUP: district; EICV5_VUP: district; EICV7_VUP: district,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,10606,6596,15039,EICV4_VUP: ur2_2012; EICV5_VUP: ur; EICV7_VUP: ur,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,10606,6596,15039,EICV4_VUP: clust; EICV5_VUP: clust; EICV7_VUP: clust,,,
hhid,Household id (unique within wave),int32,,0,10606,6596,15039,EICV5_VUP: key_17,,,
pid,Person number within the household,int32,,0,10606,6596,15039,EICV5_VUP: pid_17,,,
sex,"Sex (1 male, 2 female)",int8,"1=Male, 2=Female, 9=Missing",3,10606,6596,15039,EICV4_VUP: s1q1; EICV5_VUP: s1q1; EICV7_VUP: s1q1,,,
age,Age in years,int16,"998=Don't know, 999=Missing",2,10606,6596,15039,EICV4_VUP: s1q3y; EICV5_VUP: s1q3y; EICV7_VUP: s1q3y,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,10606,6596,15039,EICV4_VUP: weight; EICV5_VUP: weight; EICV7_VUP: weight,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,10606,6596,15039,,,,
ur2012,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,10606,0,0,,,,
region,Region,int8,"1=Kigali City, 2=Other Urban, 3=Rural Southern, 4=Rural Western, 5=Rural Northern …",6,10606,0,0,,,,
s0q19m,Month of interview,int8,,0,10606,0,0,,,,
s0q19y,Year of interview,int8,,0,10606,0,0,,,,
surveyh,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,10606,0,0,,,,
quintile_v2,[EICV4_VUP..EICV4_VUP version] QUINTILE,string,,0,10606,6596,15039,,quintile (EICV7_VUP),,
poverty_v2,[EICV4_VUP..EICV4_VUP version] POVERTY,int8,"1=Severely poor, 2= Moderately poor, 3=Non Poor",3,0,0,0,,poverty (EICV7_VUP),,
consumption,aggregate consumption/ae in Jan14 Prices,double,,0,10606,0,0,,,,
s1q2,Relation with the head of household,int8,"1=Household head (HH), 2=Spouse of HH, 3=Son or daughter of HH, 4=Step or adopted or foster child of HH, 5=Parent of HH …",15,10606,6596,15039,,,,"{""1"": [""Household head (HH)"", ""Household head _HH_""], ""5"": [""Father or mother of HH"", ""Parent of HH""], ""10"": [""Nephew/Niece"", ""Other relationship to HH""], ""11"": [""No relationship to HH"", ""Other relationship to HH""], ""12"": [""Domestic worker"", ""Waged Domestic worker""]}"
s1q3m,Age (Months),int8,,0,1477,846,2185,,,EICV5_VUP: Age _Months_,
s1q4,Marital status,int8,"1=Married monogamously with legal certificate, 2=Married monogamously without legal certificate, 3=Married polygamously, 4=Divorced, 5=Separated …",9,7220,4765,10571,,,,"{""4"": [""Divorced"", ""Living together""], ""5"": [""Divorced"", ""Separated""], ""6"": [""Separated"", ""Single""], ""7"": [""Single"", ""Widowed""]}"
s1q5,Place of birth,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",38,10606,6596,0,,,,"{""42"": [""Gakenke"", ""Gkenke""]}"
s1q6,Nationality,int8,"1=Nigeria, Nigerie, 2=Ethiopia, Ethiopie, 3=Egypt, Egypte, 4=DR Congo, RD Congo,DRC, RDC, 5=Tanzania, Tanzanie …",195,10606,6596,15039,,,,"{""60"": [""Rwandese"", ""Spain, Espagne""], ""61"": [""Burundian"", ""Ukraine""], ""62"": [""Congolese"", ""Poland, Pologne""], ""63"": [""Romania"", ""Ugandan""], ""64"": [""Netherlands, Hollande, Pays bas"", ""Tanzanian""], ""65"": [""Belgium, Belgique"", ""Kenyan""], ""66"": [""Czech Republic (Czechia)"", ""Other African""], ""67"": [""Greece, Grece"", ""Other foriegn""], ""99"": [""Missing"", ""United States of Amerique, Etats Unis d' \u00c1merique,USA, United States, US""]}"
s1q7,Absent from household in the last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,10606,6596,0,,s1q7_v2 (EICV7_VUP),EICV4_VUP: Absent in the last 12 months,
