variable,label,type,value_labels,n_value_labels,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,n_EICV7_CS,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,6733,4333,14461,24413,4759,38142,6099,43810,10777,,,,
year,Survey year (mid-fieldwork),int16,,0,6733,4333,14461,24413,4759,38142,6099,43810,10777,,,,
wave,Wave / round id,string,,0,153527,153527,153527,153527,153527,153527,153527,153527,153527,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,6733,4333,14461,24413,4759,38142,6099,43810,10777,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,6733,4333,14461,24413,4759,38142,6099,43810,10777,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,6733,4333,14461,24413,4759,38142,6099,43810,10777,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,6733,4333,14461,24413,4759,38142,6099,43810,10777,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,6733,4333,14461,24413,4759,38142,6099,43810,10777,,,,
hhid,Household id (unique within wave),double,,0,6733,4333,14461,24413,4759,38142,6099,43810,10777,,,,
pid,Person number within the household,int8,"0=Not a household member, 99=Exit code",2,0,4332,0,0,0,38142,5756,43057,10764,,,,"{""0"": [""Non household member"", ""Not a household member""]}"
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,6733,4333,14461,24413,4759,38142,6099,43810,10777,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,6733,4333,14461,24413,4759,38142,6099,43810,10777,,,,
rectype,Record type,string,,0,6733,4333,14461,24413,4759,38142,6099,43810,10777,,,,
strate,Area,int8,,0,6733,0,0,0,0,0,0,0,0,,,,
prefect,Province,int8,"1=Butare, 2=Byumba, 3=Cyangugu, 4=Gikongoro, 5=Gisenyi …",12,6733,0,0,0,0,0,0,0,0,,,,
s12cq1,Any hh member have a savings account (include tontines)?,int8,"1=Yes, 2=No",2,6472,0,0,0,0,0,0,0,0,,,,
s12cq2,Item number,int8,,0,1716,0,0,0,0,0,0,0,0,,,,
s12cq3,ID no of saver,int8,,0,1715,0,0,0,0,0,0,0,0,,,,
s12cq4,Does this person have any savings?,int8,"1=Yes, 2=No",2,1715,0,0,0,0,0,0,0,0,,,,
s12cq5,Current amount of savings,int32,,0,779,0,0,0,0,0,0,0,0,,,,
s12cq6,Amount deposited during last 12 months,int32,,0,779,0,0,0,0,0,0,0,0,,,,
s12cq7,Amount withdrawn during last 12 months,int32,,0,779,0,0,0,0,0,0,0,0,,,,
s12cq8,Does this person participate in tontines (credit union)?,int8,"1=Yes, 2=No",2,1714,0,0,0,0,0,0,0,0,,,,
s12cq9,Total amt received fromtontines during last 12 months,int32,,0,1070,0,0,0,0,0,0,0,0,,,,
s12cq10,Total amt paid into tontines during last 12 months,int32,,0,1070,0,0,0,0,0,0,0,0,,,,
id6,Household number,int8,,0,0,4333,0,0,0,0,0,0,0,,,,
id1,Strata,int8,"1=City of Kigali, 2=Other urban, 3=Rural",3,0,4333,0,0,0,0,0,0,0,,,,
id2,Province,int8,"1=City of Kigali, 2=Kigali Ngali, 3=Gitarama, 4=Butare, 5=Gikongoro …",12,0,4333,0,0,0,0,0,0,0,,,,
item,Sequence,int8,99=Code de sortie,1,0,3,0,0,0,0,0,0,0,,,,
s11cq4_v2,[EICV2..EICV2 version] Savings account,int8,"1=Yes, 2=No",2,0,4324,0,0,0,0,0,0,0,,s11cq4 (EICV3),,
s11cq5_v2,[EICV2..EICV2 version] Amount of savings,int32,-1=Missing,1,0,1881,0,0,0,0,0,0,0,,s11cq5 (EICV3),,
s11cq6_v2,[EICV2..EICV2 version] Amount of deposits in the last 12 months,int32,-1=Missing,1,0,1881,0,0,0,0,0,0,0,,s11cq6 (EICV3),,
s11cq7,Amount deposited in last 12 months,int32,"-1=Missing, 999999999=Missing",2,0,1881,8455,0,0,0,0,0,0,,,EICV2: Amount of withdrawals in the last 12 months,
s11cq8_v2,[EICV2..EICV2 version] Belong to a tontine (community savings),int8,"1=Yes, 2=No",2,0,4322,0,0,0,0,0,0,0,,s11cq8 (EICV3),,
s11cq9_v2,[EICV2..EICV2 version] Amount received in the last 12 months,int32,,0,0,3033,0,0,0,0,0,0,0,,s11cq9 (EICV3),,
s11cq10,Total recieved in last 12 months,int32,,0,0,3032,8973,0,0,0,0,0,0,,,EICV2: Amount of contributions in the last 12 months,
dstrat,Design strata,int16,"111=Kigali lowest quartile socio-economic strata, 112=Kigali quartile 2 socio-economic strata, 113=Kigali quartile 3 socio-economic strata, 114=Kigali highest quartile socio-economic strata, 119=Kigali (semi-rural) …",32,0,4333,0,0,0,0,0,0,0,,,,
