variable,label,type,value_labels,n_value_labels,universe,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,n_EICV7_CS,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,"EICV2: household (housing, services); EICV3: household (housing, services); EICV4_CS: household (housing, services); EICV4_VUP: household (housing, services); EICV5_CS: household (housing, services); EICV5_VUP: household (housing, services); EICV7_CS: household (housing, shocks, services); EICV7_VUP: household (housing, shocks, services)",62100,200312,216285,36900,218700,24660,225810,56565,,,,
year,Survey year (mid-fieldwork),int16,,0,"EICV2: household (housing, services); EICV3: household (housing, services); EICV4_CS: household (housing, services); EICV4_VUP: household (housing, services); EICV5_CS: household (housing, services); EICV5_VUP: household (housing, services); EICV7_CS: household (housing, shocks, services); EICV7_VUP: household (housing, shocks, services)",62100,200312,216285,36900,218700,24660,225810,56565,,,,
wave,Wave / round id,string,,0,"EICV2: household (housing, services); EICV3: household (housing, services); EICV4_CS: household (housing, services); EICV4_VUP: household (housing, services); EICV5_CS: household (housing, services); EICV5_VUP: household (housing, services); EICV7_CS: household (housing, shocks, services); EICV7_VUP: household (housing, shocks, services)",0,0,0,0,0,0,0,0,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,"EICV2: household (housing, services); EICV3: household (housing, services); EICV4_CS: household (housing, services); EICV4_VUP: household (housing, services); EICV5_CS: household (housing, services); EICV5_VUP: household (housing, services); EICV7_CS: household (housing, shocks, services); EICV7_VUP: household (housing, shocks, services)",62100,200312,216285,36900,218700,24660,225810,56565,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,"EICV2: household (housing, services); EICV3: household (housing, services); EICV4_CS: household (housing, services); EICV4_VUP: household (housing, services); EICV5_CS: household (housing, services); EICV5_VUP: household (housing, services); EICV7_CS: household (housing, shocks, services); EICV7_VUP: household (housing, shocks, services)",62100,200312,216285,36900,218700,24660,225810,56565,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,"EICV2: household (housing, services); EICV3: household (housing, services); EICV4_CS: household (housing, services); EICV4_VUP: household (housing, services); EICV5_CS: household (housing, services); EICV5_VUP: household (housing, services); EICV7_CS: household (housing, shocks, services); EICV7_VUP: household (housing, shocks, services)",62100,200312,216285,36900,218700,24660,225810,56565,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,"EICV2: household (housing, services); EICV3: household (housing, services); EICV4_CS: household (housing, services); EICV4_VUP: household (housing, services); EICV5_CS: household (housing, services); EICV5_VUP: household (housing, services); EICV7_CS: household (housing, shocks, services); EICV7_VUP: household (housing, shocks, services)",62100,200312,216285,36900,218700,24660,225810,56565,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,"EICV2: household (housing, services); EICV3: household (housing, services); EICV4_CS: household (housing, services); EICV4_VUP: household (housing, services); EICV5_CS: household (housing, services); EICV5_VUP: household (housing, services); EICV7_CS: household (housing, shocks, services); EICV7_VUP: household (housing, shocks, services)",62100,200312,216285,36900,218700,24660,225810,56565,,,,
hhid,Household id (unique within wave),int32,,0,"EICV2: household (housing, services); EICV3: household (housing, services); EICV4_CS: household (housing, services); EICV4_VUP: household (housing, services); EICV5_CS: household (housing, services); EICV5_VUP: household (housing, services); EICV7_CS: household (housing, shocks, services); EICV7_VUP: household (housing, shocks, services)",62100,200312,216285,36900,218700,24660,225810,56565,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,"EICV2: household (housing, services); EICV3: household (housing, services); EICV4_CS: household (housing, services); EICV4_VUP: household (housing, services); EICV5_CS: household (housing, services); EICV5_VUP: household (housing, services); EICV7_CS: household (housing, shocks, services); EICV7_VUP: household (housing, shocks, services)",62100,200312,216285,36900,218700,24660,225810,56565,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,"EICV2: household (housing, services); EICV3: household (housing, services); EICV4_CS: household (housing, services); EICV4_VUP: household (housing, services); EICV5_CS: household (housing, services); EICV5_VUP: household (housing, services); EICV7_CS: household (housing, shocks, services); EICV7_VUP: household (housing, shocks, services)",62100,200312,216285,36900,218700,24660,225810,56565,,,,
id6,Household number,int8,,0,"household (housing, services)",62100,0,0,0,0,0,0,0,,,,
id1,Strata,int8,"1=City of Kigali, 2=Other urban, 3=Rural",3,"household (housing, services)",62100,0,0,0,0,0,0,0,,,,
id2,Province,int8,"1=City of Kigali, 2=Kigali Ngali, 3=Gitarama, 4=Butare, 5=Gikongoro …",12,"household (housing, services)",62100,0,0,0,0,0,0,0,,,,
sid,Service ID,int8,"1=Drinking water, 2=Food market, 3=Public transport, 4=All season road, 5=Primary school …",9,"household (housing, services)",62100,0,0,0,0,0,0,0,,,,
s5eq1a,Hours,int8,,0,"household (housing, services)",62062,0,0,0,0,0,0,0,,,,
s5eq1b,Minutes,int8,,0,"household (housing, services)",62057,0,0,0,0,0,0,0,,,,
s5eq2_v2,[EICV2..EICV2 version] Household uses service,int8,"1=Not at all, 2=Infrequently, 3=Often, 4=Regularly",4,"household (housing, services)",61989,0,0,0,0,0,0,0,,"s5eq2 (EICV3, EICV4_CS, EICV4_VUP)",,
s5eq3,Reason for not utilizing service,int8,"1=Too far, 2=Too expensive, 3=Poor quality of service, 4=Missing personnel, 5=Missing equipment …",7,"household (housing, services)",28845,0,0,0,0,0,0,0,,,,
s5eq4,Distance to the nearest service,int32,"0=No distance, 1=Not satisfied, 2=Satisfied, 3=Don't know, 999999=Missing",5,"household (housing, services)",61877,0,132213,22459,0,0,0,0,,s5eq4_v2 (EICV3),EICV2: Satisfied with service,
s5eq5_v3,[EICV2..EICV2 version] Service development during the last 12 months,int8,"1=Worse, 2=Same, 3=Better, 4=Don't know",4,"household (housing, services)",61872,0,0,0,0,0,0,0,,"s5eq5 (EICV4_CS, EICV4_VUP), s5eq5_v2 (EICV3)",,
dstrat,Design strata,int16,"111=Kigali lowest quartile socio-economic strata, 112=Kigali quartile 2 socio-economic strata, 113=Kigali quartile 3 socio-economic strata, 114=Kigali highest quartile socio-economic strata, 119=Kigali (semi-rural) …",32,"household (housing, services)",62100,0,0,0,0,0,0,0,,,,
quintile,Quintile,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,"household (housing, services)",0,200312,216285,0,218700,0,0,0,,"quintile_v2 (EICV7_CS, EICV7_VUP)",EICV4_CS: QUINTILE; EICV4_VUP: QUINTILE,
poverty_v2,[EICV3..EICV4_VUP version] POVERTY,int8,"1=Severely poor, 2= Moderately poor, 3=Non Poor",3,"household (housing, services)",0,200312,216285,0,0,0,0,0,,"poverty (EICV5_CS, EICV7_CS, EICV7_VUP)",EICV3: Poverty status; EICV4_CS: POVERTY; EICV4_VUP: POVERTY,"{""1"": [""Extremely poor"", ""Severely poor""], ""2"": ["" Moderately poor"", ""Poor""], ""3"": [""Non Poor"", ""Non-poor""]}"
item,ID number of basic service,int8,"1=Main drinking water source, 2=Nearest market, 3=Public transport, 4=All weather roads, 5=Pre-primary school …",14,"household (housing, services)",0,200312,0,0,0,0,0,0,,,,
s5eq1,Frequency of use of nearest service,int8,"1=Not at all, 2=Sometimes, 3=Often, 4=Regularly, 5=Not aware of service …",6,"household (housing, services)",0,200312,216285,36900,0,0,0,0,,,EICV3: Frequency of use of service,"{""5"": [""Don't know"", ""Not aware of service""]}"
s5eq2,Main reason for little or no use,int8,"1=Too far, 2=Too expensive, 3=Poor quality of service, 4=Too few staff, 5=Not enough equipment …",9,"household (housing, services)",0,83692,113479,17712,0,0,0,0,,s5eq2_v2 (EICV2),EICV3: Main reason of litle or not used,"{""5"": [""Lack of equipment"", ""Not enough equipment""], ""6"": [""Do not need it"", ""No need to use it""], ""7"": [""Infrequent need"", ""Other""]}"
s5eq3h,Time to arrive at nearest service (hours),int8,"91=More than 90 hours, 99=Missing",2,"household (housing, services)",0,183899,132213,22459,0,0,0,0,,,EICV3: Time to arrive to the service (hours),"{""91"": [""More than 90 hours"", ""More than 90 minutes""]}"
s5eq3m,Time to arrive at nearest service (minutes),int8,99=Missing,1,"household (housing, services)",0,183899,132213,22459,0,0,0,0,,,EICV3: Time to arrive to the service (minutes),
s5eq4_v2,[EICV3..EICV3 version] Mode of transport to access service,int8,"1=Foot, 2=Bicycle, 3=Motorcycle, 4=Vehicle, 5=Minibus …",6,"household (housing, services)",0,183899,0,0,0,0,0,0,,"s5eq4 (EICV2, EICV4_CS, EICV4_VUP)",,
s5eq5_v2,[EICV3..EICV3 version] Service quality satisfaction,int8,"1=Satisfied, 2=Not satisfied, 3=Not applicable, 4=Do not know",4,"household (housing, services)",0,183899,0,0,0,0,0,0,,"s5eq5 (EICV4_CS, EICV4_VUP), s5eq5_v3 (EICV2)",,
s5eq6,Satisfied with service quality,int8,"1=Satisfied, 2=Not satisfied, 3=Improving, 4=Do not know, 8=Don't know …",6,"household (housing, services)",0,183899,132213,22459,0,0,0,0,,,EICV3: Service quality in last 12 months,"{""1"": [""Declining"", ""Satisfied""], ""2"": [""Not satisfied"", ""Same""]}"
ur2012,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,"household (housing, services)",0,0,216285,36900,0,0,0,0,,,,
region,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,"household (housing, services)",0,0,216285,36900,218700,0,0,0,,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
s5eq0,ID of basic service,int8,"1=Main Drinking/clean Water source, 2=Food market/ shop, 3=Market for selling farm produce, 4=Public transport stage, 5=All-weather roads …",15,"household (housing, services)",0,0,216285,36900,0,0,0,0,,,,
s5eq0d,Basic service description,string,,0,"household (housing, services)",62100,200312,216285,36900,218700,24660,225810,56565,,,,
