variable,label,type,value_labels,n_value_labels,n_EICV5_CS,n_EICV5_VUP,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,42252,4577,,,,
year,Survey year (mid-fieldwork),int16,,0,42252,4577,,,,
wave,Wave / round id,string,,0,0,0,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,42252,4577,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,42252,4577,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,42252,4577,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,42252,4577,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,42252,4577,,,,
hhid,Household id (unique within wave),int32,,0,42252,4577,,,,
pid,Person number within the household,int8,,0,0,4507,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,42252,4577,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,42252,4577,,,,
region,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,42252,0,,,,
poverty,Welfare categories,int8,"1=Severely poor, 2= Moderately poor, 3=Non Poor",3,42252,0,,,,
quintile,Quintile,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,42252,0,,,,
s10cq3,Id Number of Tontine,int8,,0,12430,0,,,,
s10cq8,participate in a tontine,int8,"1=Yes, 2=No",2,42252,0,,,,
s10cq9,Total recieved in last 12 months,int32,,0,12429,0,,,,
s10cq10,Total contributed in last 12 months,int32,0=Not applicable,1,12429,0,,,,
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,0,4577,,,,
s10c2q3,Id Number of Tontine,int8,,0,0,1464,,,,
s10c2q8,participate in a tontine,int8,"1=Yes, 2=No",2,0,4577,,,,
s10c2q9,Total recieved in last 12 months,int32,,0,0,1464,,,,
s10c2q10,Total contributed in last 12 months,int32,0=Not applicable,1,0,1464,,,,
s0q18m,Month of interview,int8,,0,0,4577,,,,
s0q18y,Year of interview,int16,,0,0,4577,,,,
