variable,label,type,value_labels,n_value_labels,universe,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,n_EICV7_CS,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,"EICV1: household (transfers); EICV2: household (transfers, other income); EICV3: household (transfers, other income); EICV4_CS: household (transfers, VUP, other income); EICV4_VUP: household (transfers, VUP, other income); EICV5_CS: household (transfers, VUP, other income); EICV5_VUP: household (transfers, VUP, other income); EICV7_CS: household (cash transfers, VUP, other income); EICV7_VUP: household (cash transfers, VUP, other income)",11692,16494,89947,80723,14652,89487,10844,33353,9313,,,,
year,Survey year (mid-fieldwork),int16,,0,"EICV1: household (transfers); EICV2: household (transfers, other income); EICV3: household (transfers, other income); EICV4_CS: household (transfers, VUP, other income); EICV4_VUP: household (transfers, VUP, other income); EICV5_CS: household (transfers, VUP, other income); EICV5_VUP: household (transfers, VUP, other income); EICV7_CS: household (cash transfers, VUP, other income); EICV7_VUP: household (cash transfers, VUP, other income)",11692,16494,89947,80723,14652,89487,10844,33353,9313,,,,
wave,Wave / round id,string,,0,"EICV1: household (transfers); EICV2: household (transfers, other income); EICV3: household (transfers, other income); EICV4_CS: household (transfers, VUP, other income); EICV4_VUP: household (transfers, VUP, other income); EICV5_CS: household (transfers, VUP, other income); EICV5_VUP: household (transfers, VUP, other income); EICV7_CS: household (cash transfers, VUP, other income); EICV7_VUP: household (cash transfers, VUP, other income)",0,0,0,0,0,0,0,0,0,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,"EICV1: household (transfers); EICV2: household (transfers, other income); EICV3: household (transfers, other income); EICV4_CS: household (transfers, VUP, other income); EICV4_VUP: household (transfers, VUP, other income); EICV5_CS: household (transfers, VUP, other income); EICV5_VUP: household (transfers, VUP, other income); EICV7_CS: household (cash transfers, VUP, other income); EICV7_VUP: household (cash transfers, VUP, other income)",11692,16494,89947,80723,14652,89487,10844,33353,9313,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,"EICV1: household (transfers); EICV2: household (transfers, other income); EICV3: household (transfers, other income); EICV4_CS: household (transfers, VUP, other income); EICV4_VUP: household (transfers, VUP, other income); EICV5_CS: household (transfers, VUP, other income); EICV5_VUP: household (transfers, VUP, other income); EICV7_CS: household (cash transfers, VUP, other income); EICV7_VUP: household (cash transfers, VUP, other income)",11692,16494,89947,80043,14652,88913,10844,33353,9313,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,"EICV1: household (transfers); EICV2: household (transfers, other income); EICV3: household (transfers, other income); EICV4_CS: household (transfers, VUP, other income); EICV4_VUP: household (transfers, VUP, other income); EICV5_CS: household (transfers, VUP, other income); EICV5_VUP: household (transfers, VUP, other income); EICV7_CS: household (cash transfers, VUP, other income); EICV7_VUP: household (cash transfers, VUP, other income)",11692,16494,89947,80043,14652,89487,10844,33353,9313,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,"EICV1: household (transfers); EICV2: household (transfers, other income); EICV3: household (transfers, other income); EICV4_CS: household (transfers, VUP, other income); EICV4_VUP: household (transfers, VUP, other income); EICV5_CS: household (transfers, VUP, other income); EICV5_VUP: household (transfers, VUP, other income); EICV7_CS: household (cash transfers, VUP, other income); EICV7_VUP: household (cash transfers, VUP, other income)",11692,16494,89947,80043,14652,88913,10844,33353,9313,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,"EICV1: household (transfers); EICV2: household (transfers, other income); EICV3: household (transfers, other income); EICV4_CS: household (transfers, VUP, other income); EICV4_VUP: household (transfers, VUP, other income); EICV5_CS: household (transfers, VUP, other income); EICV5_VUP: household (transfers, VUP, other income); EICV7_CS: household (cash transfers, VUP, other income); EICV7_VUP: household (cash transfers, VUP, other income)",11692,16494,89947,80723,14652,89487,10844,33353,9313,,,,
hhid,Household id (unique within wave),double,,0,"EICV1: household (transfers); EICV2: household (transfers, other income); EICV3: household (transfers, other income); EICV4_CS: household (transfers, VUP, other income); EICV4_VUP: household (transfers, VUP, other income); EICV5_CS: household (transfers, VUP, other income); EICV5_VUP: household (transfers, VUP, other income); EICV7_CS: household (cash transfers, VUP, other income); EICV7_VUP: household (cash transfers, VUP, other income)",11692,16494,89947,80723,14652,89487,10844,33353,9313,,,,
pid,Person number within the household,int8,"0=Non household member, 99=Exit code",2,"household (transfers, other income)",0,50,0,0,0,0,0,0,0,,,,
