variable,label,type,value_labels,n_value_labels,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,n_EICV7_CS,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,12788,19197,98521,84413,13140,85640,8592,68175,16256,,,,
year,Survey year (mid-fieldwork),int16,,0,12788,19197,98521,84413,13140,85640,8592,68175,16256,,,,
wave,Wave / round id,string,,0,406722,406722,406722,406722,406722,406722,406722,406722,406722,,,,
sample,"CS = national cross-section, VUP = VUP booster, PANEL = EICV3-4 panel link",string,,0,12788,19197,98521,84413,13140,85640,8592,68175,16256,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,12788,19197,98521,84413,13140,84767,8592,68175,16256,,,,
dist,"District (11-57, NISR current codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,12788,19197,98521,84413,13140,85640,8592,68175,16256,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,12788,19197,98521,84413,13140,84767,8592,68175,16256,,,,
cluster,Sampling cluster / enumeration area (as shipped),string,,0,12788,19197,98521,84413,13140,85640,8592,68175,16256,,,,
hhid,Household id (unique within wave),double,,0,12788,19197,98521,84413,13140,85640,8592,68175,16256,,,,
pid,Person number within the household,int8,"0=Non household member, 99=Exit code",2,0,256,0,0,0,0,0,0,0,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,12788,19197,98521,84413,13140,85640,8592,68175,16256,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,12788,19197,98521,84413,13140,85640,8592,68175,16256,,,,
rectype,Record type,string,,0,12788,19197,98521,84413,13140,85640,8592,68175,16256,,,,
strate,Area,int8,,0,12788,0,0,0,0,0,0,0,0,,,,
prefect,Province,int8,"1=Butare, 2=Byumba, 3=Cyangugu, 4=Gikongoro, 5=Gisenyi …",12,12788,0,0,0,0,0,0,0,0,,,,
s11aq1,Sent money/goods to absent hh member or other person?,int8,"1=Yes, 2=No",2,6420,0,0,0,0,0,0,0,0,,,,
s11aq2,ID No if member or 98 if not member of hh,int8,98=not a hh member,1,10154,0,0,0,0,0,0,0,0,,,,
s11aq3,Relationship to head of hh,int8,"1=Father/Mother, 2=Son/Daughter, 3=Brother/Sister, 4=Spouse/Wife, 5=In-laws …",7,9955,0,0,0,0,0,0,0,0,,,,
s11aq4,Sex,int8,"1=M, 2=F",2,9955,0,0,0,0,0,0,0,0,,,,
s11aq5,Where does recipient live?,int8,"1=Same countryside, 2=Kigali, 3=Other centres, 4=Other countryside, 5=Adjacent countries …",7,10154,0,0,0,0,0,0,0,0,,,,
s11aq6a,Number of payments,int8,,0,10154,0,0,0,0,0,0,0,0,,,,
s11aq6b,Time unit code - for payments to person,int8,"1=Daily, 2=Weekly, 3=Monthly, 4=Annually",4,10154,0,0,0,0,0,0,0,0,,,,
s11aq7,Will they be repaid at some future time?,int8,"1=Yes, 2=No",2,10154,0,0,0,0,0,0,0,0,,,,
s11aq8,Total cash sent or given to person during last 12 months?,int32,0=none,1,10153,0,0,0,0,0,0,0,0,,,,
s11aq9,Total value of food sent or given to person during last 12 months?,int32,0=none,1,10153,0,0,0,0,0,0,0,0,,,,
s11aq10,Total value of other goods sent or given to person during last 12 months?,int32,0=none,1,10153,0,0,0,0,0,0,0,0,,,,
id6,Household number,int8,,0,0,19197,0,0,0,0,0,0,0,,,,
id1,Strata,int8,"1=City of Kigali, 2=Other urban, 3=Rural",3,0,19197,0,0,0,0,0,0,0,,,,
id2,Province,int8,"1=City of Kigali, 2=Kigali Ngali, 3=Gitarama, 4=Butare, 5=Gikongoro …",12,0,19197,0,0,0,0,0,0,0,,,,
s10aq3,Relation with head of household,int8,"1=Head of household, 2=Spouse of the HH, 3=Son or daughter of the HH, 4=Chikd in care of HH, 5=Parent of the HH …",10,0,0,97899,0,0,0,0,0,0,,,EICV2: Relation with the head of household,"{""2"": [""Spouse"", ""Spouse of the HH""], ""3"": [""Children"", ""Son or daughter of the HH""], ""4"": [""Adopted child"", ""Chikd in care of HH""], ""5"": [""Parent of the HH"", ""Parents""], ""6"": [""Sibling of the HH"", ""Siblings""], ""7"": [""Grandchild of HH"", ""In laws""], ""8"": [""Other related"", ""Other relativeof the HH""], ""9"": [""No relation"", ""No relation to the HH""]}"
s10aq4,Sex,int8,"1=Male, 2=Female, 3=N/A",3,0,0,97899,0,0,0,0,0,0,,,,
s10aq5,Location of the beneficiary,int8,"1=Same village or town, 2=Kigali, 3=Other city, 4=Other rural, 5=Neighboring countries …",7,0,19193,98521,0,0,0,0,0,0,,,EICV2: Residence of the beneficiary,"{""1"": [""Same location"", ""Same village or town""], ""7"": [""Countries outside of Africa"", ""Non African countries""]}"
s10aq6a,Frequency of payments,int8,,0,0,19193,98521,0,0,0,0,0,0,,,EICV2: Frequency the transfers are sent,
s10aq6b,Time unit declared,int8,"1=Day, 2=Week, 3=Month, 4=Trimester, 5=Year …",6,0,19194,98521,0,0,0,0,0,0,,,EICV2: Time unit,"{""1"": [""Daily"", ""Day""], ""2"": [""Week"", ""Weekly""], ""3"": [""Month"", ""Monthly""], ""4"": [""Annually"", ""Trimester""]}"
s10aq7,Payments require reimbursement,int8,"1=Yes, 2=No",2,0,19056,98521,0,0,0,0,0,0,,,EICV2: Transfer require reimbursement,
s10aq8_v2,[EICV2..EICV2 version] Amount sent,int32,,0,0,19195,0,0,0,0,0,0,0,,s10aq8 (EICV3),,
s10aq9_v2,[EICV2..EICV2 version] Amount in food transfers sent,int32,,0,0,19196,0,0,0,0,0,0,0,,s10aq9 (EICV3),,
s10aq10_v2,[EICV2..EICV2 version] Amount in-kind sent,int32,,0,0,19196,0,0,0,0,0,0,0,,s10aq10 (EICV3),,
dstrat,Design strata,int16,"111=Kigali lowest quartile socio-economic strata, 112=Kigali quartile 2 socio-economic strata, 113=Kigali quartile 3 socio-economic strata, 114=Kigali highest quartile socio-economic strata, 119=Kigali (semi-rural) …",32,0,19197,0,0,0,0,0,0,0,,,,
quintile,Quintile,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,0,0,98521,84413,0,85640,0,0,0,,"quintile_v2 (EICV7_CS, EICV7_VUP)",EICV4_CS: QUINTILE,
