# EICV checks report

Generated by 03_checks.py.

## A. Python pooled person file vs old Stata outputs (3 Jul 2026; EICV1/2 were not processed then)

| section | statistic | Python | reference | result |
|---|---|---:|---:|---|
| A | exact duplicate rows dropped before saving the pooled files (Matteo's rule; all files; informational) | 59,913 |  | n/a |
| A | EICV3 person rows | 68,398 | 68,398 | PASS |
| A | EICV3 sum wt (persons) | 10,762,085 | 10,762,085 | PASS |
| A | EICV3 households | 14,308 | 14,308 | PASS |
| A | EICV3 male | 32,490 | 32,490 | PASS |
| A | EICV3 female | 35,908 | 35,908 | PASS |
| A | EICV4_CS person rows | 66,081 | 66,081 | PASS |
| A | EICV4_CS sum wt (persons) | 11,432,047 | 11,432,047 | PASS |
| A | EICV4_CS households | 14,419 | 14,419 | PASS |
| A | EICV4_CS male | 31,544 | 31,544 | PASS |
| A | EICV4_CS female | 34,537 | 34,537 | PASS |
| A | EICV5_CS person rows | 64,314 | 64,314 | PASS |
| A | EICV5_CS sum wt (persons) | 11,893,443 | 11,893,443 | PASS |
| A | EICV5_CS households | 14,580 | 14,580 | PASS |
| A | EICV5_CS male | 30,778 | 30,778 | PASS |
| A | EICV5_CS female | 33,536 | 33,536 | PASS |
| A | EICV7_CS person rows | 62,110 | 62,110 | PASS |
| A | EICV7_CS sum wt (persons) | 13,549,457 | 13,549,457 | PASS |
| A | EICV7_CS households | 15,054 | 15,054 | PASS |
| A | EICV7_CS male | 29,675 | 29,675 | PASS |
| A | EICV7_CS female | 32,435 | 32,435 | PASS |

## B. Stata 17 recomputation from the written .dta files

| section | statistic | Python | Stata | result |
|---|---|---:|---:|---|
| B | EICV1 person rows | 32,153 | 32,153 | PASS |
| B | EICV1 sum wt | 7,979,930 | 7,979,930 | PASS |
| B | EICV1 male | 14,928 | 14,928 | PASS |
| B | EICV1 female | 17,225 | 17,225 | PASS |
| B | EICV1 households (person file) | 6,420 | 6,420 | PASS |
| B | EICV2 person rows | 34,785 | 34,785 | PASS |
| B | EICV2 sum wt | 9,491,397 | 9,491,397 | PASS |
| B | EICV2 male | 16,528 | 16,528 | PASS |
