scope,wave,native,clean_name,clean_label,native_label
pooled:EICV_pooled_person.dta,EICV2,active,eicv_economically_active,"EICV 2006: Economically active, NISR derived",Usually Active
pooled:EICV_pooled_person.dta,"EICV1,EICV2,EICV3,EICV4_CS,EICV5_CS,EICV7_CS",age,eicv_age,EICV: Age in completed years,Age in years
pooled:EICV_pooled_person.dta,EICV1,age_5,eicv_age_five_year_bands,"EICV 2001: Five-year age bands, NISR derived",Age on five year cohorts
pooled:EICV_pooled_person.dta,EICV2,agricwork,eicv_agricultural_worker,"EICV 2006: Works in agriculture, NISR derived",Worker in agriculture
pooled:EICV_pooled_person.dta,EICV1,as4bq12a,eicv_annual_salary_cash,EICV 2001: Annual salary in cash,Annual salary in cash
pooled:EICV_pooled_person.dta,EICV1,as4bq18a,eicv_annual_value_bonuses,"EICV 2001: Annual value of bonuses, allowances etc","Annual value of bonuses, allowances etc."
pooled:EICV_pooled_person.dta,EICV1,as4bq21a,eicv_annual_salary_kind,EICV 2001: Annual salary in kind,Annual salary in kind
pooled:EICV_pooled_person.dta,EICV1,as4bq23a,eicv_other_types_annual_payments,EICV 2001: Other types of annual payments,Other types of annual payments
pooled:EICV_pooled_person.dta,EICV1,as4bq36a,eicv_annual_value_deductions,EICV 2001: Annual value of deductions for training,Annual value of deductions for training
pooled:EICV_pooled_person.dta,EICV1,as4bq38a,eicv_annual_allowance,EICV 2001: Annual allowance for accommodation,Annual allowance for accommodation
pooled:EICV_pooled_person.dta,EICV1,as4bq40a,eicv_annual_allowance_transport,EICV 2001: Annual allowance for transport,Annual allowance for transport
pooled:EICV_pooled_person.dta,EICV1,childages,eicv_child_age_bands,"EICV 2001: Child age bands, NISR derived",Child Age Bands
pooled:EICV_pooled_person.dta,"EICV1,EICV2,EICV3,EICV4_CS,EICV5_CS,EICV7_CS",cluster,eicv_cluster,EICV: Sampling cluster or village identifier,Sampling cluster / enumeration area (as shipped)
