# LFS checks report

Generated by 03_checks.py.

## A. Python pooled file vs old Stata outputs (3 Jul 2026)

| section | statistic | Python | reference | result |
|---|---|---:|---:|---|
| A | 2017 rows | 77,761 | 77,761 | PASS |
| A | 2017 sum wt | 11,628,681 | 11,628,681 | PASS |
| A | 2017 weighted 16+ pop | 6,761,080 | 6,761,080 | PASS |
| A | 2017 districts | 30 | 30 | PASS |
| A | 2017 male | 37,447 | 37,447 | PASS |
| A | 2017 female | 40,314 | 40,314 | PASS |
| A | 2018 rows | 76,670 | 76,670 | PASS |
| A | 2018 sum wt | 11,889,219 | 11,889,219 | PASS |
| A | 2018 weighted 16+ pop | 6,966,096 | 6,966,096 | PASS |
| A | 2018 districts | 30 | 30 | PASS |
| A | 2018 male | 37,066 | 37,066 | PASS |
| A | 2018 female | 39,604 | 39,604 | PASS |
| A | 2019 rows | 81,778 | 81,778 | PASS |
| A | 2019 sum wt | 12,216,163 | 12,216,163 | PASS |
| A | 2019 weighted 16+ pop | 7,231,536 | 7,231,536 | PASS |
| A | 2019 districts | 30 | 30 | PASS |
| A | 2019 male | 39,337 | 39,337 | PASS |
| A | 2019 female | 42,441 | 42,441 | PASS |
| A | 2020 rows | 70,172 | 70,172 | PASS |
| A | 2020 sum wt | 12,499,074 | 12,499,074 | PASS |
| A | 2020 weighted 16+ pop | 7,472,601 | 7,472,601 | PASS |
| A | 2020 districts | 30 | 30 | PASS |
| A | 2020 male | 33,884 | 33,884 | PASS |
| A | 2020 female | 36,288 | 36,288 | PASS |
| A | 2021 rows | 71,947 | 71,947 | PASS |
| A | 2021 sum wt | 12,786,879 | 12,786,879 | PASS |
| A | 2021 weighted 16+ pop | 7,718,871 | 7,718,871 | PASS |
| A | 2021 districts | 30 | 30 | PASS |
| A | 2021 male | 34,652 | 34,652 | PASS |
| A | 2021 female | 37,295 | 37,295 | PASS |
| A | 2022 rows | 70,424 | 70,424 | PASS |
| A | 2022 sum wt | 13,078,028 | 13,078,028 | PASS |
| A | 2022 weighted 16+ pop | 7,963,586 | 7,963,586 | PASS |
| A | 2022 districts | 30 | 30 | PASS |
| A | 2022 male | 33,830 | 33,830 | PASS |
| A | 2022 female | 36,594 | 36,594 | PASS |
| A | 2023 rows | 71,849 | 71,849 | PASS |
| A | 2023 sum wt | 13,362,858 | 13,362,858 | PASS |
